BARCODE,ARR_DESIGN,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,MATERIAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SPECIES,EXP_TEST_TYPE,SINGLE_REPEAT_TYPE,SEX_TYPE,STRAIN_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
3017911029,Rat230_2,698,4,4,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,29 day,0,%,Control
3017906018,Rat230_2,698,4,5,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,29 day,0,%,Control
3017906001,Rat230_2,698,5,1,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,4 day,9999,%,High
3017906002,Rat230_2,698,5,3,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,4 day,9999,%,High
3017906003,Rat230_2,698,5,5,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,4 day,9999,%,High
3017906007,Rat230_2,698,6,1,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,8 day,9999,%,High
3017906008,Rat230_2,698,6,3,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,8 day,9999,%,High
3017906009,Rat230_2,698,6,4,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,8 day,9999,%,High
3017906013,Rat230_2,698,7,2,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,15 day,9999,%,High
3017906014,Rat230_2,698,7,3,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,15 day,9999,%,High
3017906015,Rat230_2,698,7,5,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,15 day,9999,%,High
3017906019,Rat230_2,698,8,1,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,29 day,9999,%,High
3017906020,Rat230_2,698,8,4,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,29 day,9999,%,High
3017906021,Rat230_2,698,8,5,Liver,A,1% cholesterol + 0.25% sodium cholate,CH+DS-Na,161,Rat,in vivo,Repeat,Male,Crj:CD(SD)IGS,Diet,6,29 day,9999,%,High
3017239017,Rat230_2,448,1,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017239018,Rat230_2,448,1,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017239019,Rat230_2,448,1,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017239029,Rat230_2,448,2,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017239030,Rat230_2,448,2,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017240001,Rat230_2,448,2,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017220022,Rat230_2,448,3,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017220023,Rat230_2,448,3,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017220024,Rat230_2,448,3,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017221004,Rat230_2,448,4,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017221005,Rat230_2,448,4,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017221006,Rat230_2,448,4,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017239020,Rat230_2,448,5,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,10,ug/kg,Low
3017239021,Rat230_2,448,5,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,10,ug/kg,Low
3017258002,Rat230_2,448,5,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,10,ug/kg,Low
3017240002,Rat230_2,448,6,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,10,ug/kg,Low
3017240003,Rat230_2,448,6,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,10,ug/kg,Low
3017240004,Rat230_2,448,6,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,10,ug/kg,Low
3017220025,Rat230_2,448,7,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,10,ug/kg,Low
3017220026,Rat230_2,448,7,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,10,ug/kg,Low
3017220027,Rat230_2,448,7,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,10,ug/kg,Low
3017221007,Rat230_2,448,8,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,10,ug/kg,Low
3017221008,Rat230_2,448,8,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,10,ug/kg,Low
3017221009,Rat230_2,448,8,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,10,ug/kg,Low
3017239023,Rat230_2,448,13,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,300,ug/kg,Middle
3017239024,Rat230_2,448,13,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,300,ug/kg,Middle
3017239025,Rat230_2,448,13,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,300,ug/kg,Middle
3017240005,Rat230_2,448,14,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,300,ug/kg,Middle
3017240006,Rat230_2,448,14,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,300,ug/kg,Middle
3017240007,Rat230_2,448,14,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,300,ug/kg,Middle
3017220028,Rat230_2,448,15,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,300,ug/kg,Middle
3017220029,Rat230_2,448,15,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,300,ug/kg,Middle
3017220030,Rat230_2,448,15,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,300,ug/kg,Middle
3017221010,Rat230_2,448,16,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,300,ug/kg,Middle
3017221011,Rat230_2,448,16,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,300,ug/kg,Middle
3017221012,Rat230_2,448,16,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,300,ug/kg,Middle
3017258003,Rat230_2,448,21,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,3000,ug/kg,High
3017239027,Rat230_2,448,21,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,3000,ug/kg,High
3017239028,Rat230_2,448,21,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,3000,ug/kg,High
3017240008,Rat230_2,448,22,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,3000,ug/kg,High
3017240009,Rat230_2,448,22,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,3000,ug/kg,High
3017240010,Rat230_2,448,22,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,3000,ug/kg,High
3017221001,Rat230_2,448,23,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,3000,ug/kg,High
3017221002,Rat230_2,448,23,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,3000,ug/kg,High
3017221003,Rat230_2,448,23,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,3000,ug/kg,High
3017221013,Rat230_2,448,24,1,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,3000,ug/kg,High
3017221014,Rat230_2,448,24,2,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,3000,ug/kg,High
3017221015,Rat230_2,448,24,3,Liver,A,LPS,LPS,00A07,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,3000,ug/kg,High
3017222010,Rat230_2,449,1,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017222011,Rat230_2,449,1,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017222012,Rat230_2,449,1,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017222022,Rat230_2,449,2,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017222023,Rat230_2,449,2,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017222024,Rat230_2,449,2,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017223004,Rat230_2,449,3,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017223005,Rat230_2,449,3,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017223006,Rat230_2,449,3,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017223016,Rat230_2,449,4,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017223017,Rat230_2,449,4,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017223018,Rat230_2,449,4,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017222013,Rat230_2,449,5,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,1,ug/kg,Low
3017222014,Rat230_2,449,5,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,1,ug/kg,Low
3017222015,Rat230_2,449,5,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,1,ug/kg,Low
3017222025,Rat230_2,449,6,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,1,ug/kg,Low
3017222026,Rat230_2,449,6,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,1,ug/kg,Low
3017222027,Rat230_2,449,6,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,1,ug/kg,Low
3017223007,Rat230_2,449,7,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,1,ug/kg,Low
3017223008,Rat230_2,449,7,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,1,ug/kg,Low
3017223009,Rat230_2,449,7,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,1,ug/kg,Low
3017223019,Rat230_2,449,8,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,1,ug/kg,Low
3017223020,Rat230_2,449,8,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,1,ug/kg,Low
3017223021,Rat230_2,449,8,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,1,ug/kg,Low
3017222016,Rat230_2,449,9,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,3,ug/kg,Middle
3017222017,Rat230_2,449,9,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,3,ug/kg,Middle
3017222018,Rat230_2,449,9,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,3,ug/kg,Middle
3017222028,Rat230_2,449,10,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,3,ug/kg,Middle
3017222029,Rat230_2,449,10,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,3,ug/kg,Middle
3017222030,Rat230_2,449,10,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,3,ug/kg,Middle
3017223010,Rat230_2,449,11,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,3,ug/kg,Middle
3017223011,Rat230_2,449,11,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,3,ug/kg,Middle
3017223012,Rat230_2,449,11,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,3,ug/kg,Middle
3017223022,Rat230_2,449,12,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,3,ug/kg,Middle
3017223023,Rat230_2,449,12,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,3,ug/kg,Middle
3017223024,Rat230_2,449,12,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,3,ug/kg,Middle
3017222019,Rat230_2,449,13,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,10,ug/kg,High
3017222020,Rat230_2,449,13,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,10,ug/kg,High
3017222021,Rat230_2,449,13,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,10,ug/kg,High
3017223001,Rat230_2,449,14,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,10,ug/kg,High
3017223002,Rat230_2,449,14,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,10,ug/kg,High
3017223003,Rat230_2,449,14,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,10,ug/kg,High
3017223013,Rat230_2,449,15,3,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,10,ug/kg,High
3017223014,Rat230_2,449,15,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,10,ug/kg,High
3017223015,Rat230_2,449,15,5,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,10,ug/kg,High
3017223025,Rat230_2,449,16,1,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,10,ug/kg,High
3017223026,Rat230_2,449,16,2,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,10,ug/kg,High
3017223027,Rat230_2,449,16,4,Liver,A,TNFƒ¿,TNF,00A08,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,10,ug/kg,High
3017271018,Rat230_2,455,1,2,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017273008,Rat230_2,455,1,3,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017273009,Rat230_2,455,1,4,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,0,ug/kg,Control
3017273019,Rat230_2,455,2,1,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017273020,Rat230_2,455,2,2,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017273021,Rat230_2,455,2,5,Liver,B,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,0,ug/kg,Control
3017276019,Rat230_2,455,3,2,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017276020,Rat230_2,455,3,3,Liver,B,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017276021,Rat230_2,455,3,5,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,0,ug/kg,Control
3017277026,Rat230_2,455,4,1,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017277027,Rat230_2,455,4,4,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017277028,Rat230_2,455,4,5,Liver,B,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,24 hr,0,ug/kg,Control
3017273010,Rat230_2,455,5,1,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,30,ug/kg,Low
3017273011,Rat230_2,455,5,2,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,30,ug/kg,Low
3017273012,Rat230_2,455,5,3,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,3 hr,30,ug/kg,Low
3017273022,Rat230_2,455,6,1,Liver,C,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,30,ug/kg,Low
3017273023,Rat230_2,455,6,2,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,30,ug/kg,Low
3017273024,Rat230_2,455,6,5,Liver,C,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,6 hr,30,ug/kg,Low
3017276022,Rat230_2,455,7,3,Liver,A,tunicamycin,TUN,00A02,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,intraperitoneal injection,6,9 hr,30,ug/kg,Low
