NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
PMCH	1568	1	9	13	4	11	0.0511242521802754	1
TAC1	1574	1	9	13	4	11	0.0511242521802754	1
TAC3	1575	1	9	13	4	11	0.0511242521802754	1
OXT	1585	1	9	13	4	11	0.0511242521802754	1
UTS2	1614	1	9	13	4	11	0.0511242521802754	1
UTS2B	1615	1	9	13	4	11	0.0511242521802754	1
HTR1A	1629	1	9	13	4	15	0.0511242521802754	1
GNAQ	1630	1	9	13	4	16	0.0538491098525659	1
DRD1	1643	1	9	13	4	15	0.0511242521802754	1
HTR2A	1644	1	9	13	4	15	0.0511242521802754	1
PTAFR	1645	1	9	13	4	15	0.0511242521802754	1
HTR4	1647	1	9	13	4	15	0.0511242521802754	1
ADRA1A	1665	1	9	14	5	13	0.0680993680996063	1
ADRB2	1673	1	9	14	5	13	0.0680993680996063	1
ADORA2A	1678	1	9	13	4	15	0.0511242521802754	1
BDKRB1	1684	1	9	13	4	15	0.0511242521802754	1
F2RL1	1700	1	9	13	4	15	0.0511242521802754	1
PRSS1	1701	1	9	13	4	11	0.0511242521802754	1
PRDM16	1833	1	9	13	4	13	0.0322662274991021	1
LPAR1	1835	1	9	13	4	15	0.0511242521802754	1
P2RY10	1836	1	9	13	4	15	0.0511242521802754	1
NMUR2	1838	1	9	13	4	15	0.0511242521802754	1
F2RL2	1840	1	9	13	4	15	0.0511242521802754	1
OXGR1	1842	1	9	13	4	15	0.0511242521802754	1
NMBR	1843	1	9	13	4	15	0.0511242521802754	1
CYSLTR1	1847	1	9	13	4	15	0.0511242521802754	1
OXTR	1848	1	9	13	4	15	0.0511242521802754	1
P2RY1	1850	1	9	13	4	15	0.0511242521802754	1
LPAR6	1867	1	9	13	4	15	0.0511242521802754	1
P2RY4	1869	1	9	13	4	15	0.0511242521802754	1
LPAR3	1870	1	9	13	4	15	0.0511242521802754	1
ADORA2B	1872	1	9	13	4	15	0.0511242521802754	1
ADRA1D	1874	1	9	14	5	13	0.0680993680996063	1
EDNRA	1876	1	9	13	4	15	0.0511242521802754	1
AVPR1A	1879	1	9	14	5	13	0.0680993680996063	1
FFAR2	1880	1	9	14	5	13	0.0680993680996063	1
HCRTR2	1884	1	9	13	4	15	0.0511242521802754	1
CCKAR	1885	1	9	13	4	15	0.0511242521802754	1
GPR119	1886	1	9	13	4	15	0.0511242521802754	1
CHRM3	1888	1	9	13	4	15	0.0511242521802754	1
CHRM5	1889	1	9	13	4	15	0.0511242521802754	1
PRLHR	1895	1	9	13	4	15	0.0511242521802754	1
DRD5	1897	1	9	13	4	15	0.0511242521802754	1
F2RL3	1902	1	9	13	4	15	0.0511242521802754	1
PTGER1	1911	1	9	14	5	13	0.0680993680996063	1
PTGFR	1916	1	9	14	5	13	0.0680993680996063	1
PTGIR	1917	1	9	14	5	13	0.0680993680996063	1
FFAR1	1926	1	9	13	4	15	0.0511242521802754	1
FFAR4	1929	1	9	13	4	15	0.0511242521802754	1
GHSR	1945	1	9	13	4	15	0.0511242521802754	1
GRPR	1956	1	9	13	4	15	0.0511242521802754	1
MC3R	1962	1	9	13	4	15	0.0511242521802754	1
RAD21	1968	1	9	14	5	8	0.0471253542550156	1
HRH1	1970	1	9	13	4	15	0.0511242521802754	1
LFNG	2026	1	9	16	7	5	0.107153481035333	1
LTB4R	2040	1	9	13	4	15	0.0511242521802754	1
S1PR2	2066	1	9	13	4	15	0.0511242521802754	1
S1PR3	2068	1	9	13	4	15	0.0511242521802754	1
CCKBR	2111	1	9	13	4	15	0.0511242521802754	1
STYX	2171	1	9	16	7	8	0.0653855034497847	1
TACR1	2173	1	9	13	4	15	0.0511242521802754	1
TACR2	2174	1	9	13	4	15	0.0511242521802754	1
TACR3	2175	1	9	13	4	15	0.0511242521802754	1
BDKRB2	2254	1	9	13	4	15	0.0511242521802754	1
LPAR4	2255	1	9	13	4	15	0.0511242521802754	1
EDNRB	2267	1	9	13	4	15	0.0511242521802754	1
AVPR1B	2294	1	9	13	4	15	0.0511242521802754	1
CDH15	2296	1	9	14	5	12	0.0640451274303905	1
MC5R	2297	1	9	13	4	15	0.0511242521802754	1
MCHR1	2298	1	9	13	4	15	0.0511242521802754	1
APOE	2318	1	9	13	4	11	0.0428009456163411	1
APPL1	2321	1	9	12	3	18	0.0238668635402636	1
GALR2	2329	1	9	13	4	15	0.0511242521802754	1
HTR2B	2334	1	9	13	4	15	0.0511242521802754	1
UTS2R	2494	1	9	13	4	15	0.0511242521802754	1
ADRA1B	2498	1	9	14	5	13	0.0680993680996063	1
GPR132	2590	1	9	13	4	15	0.0511242521802754	1
GPR17	2592	1	9	13	4	15	0.0511242521802754	1
HCRTR1	2604	1	9	13	4	15	0.0511242521802754	1
HRH2	2613	1	9	13	4	15	0.0511242521802754	1
HTR2C	2618	1	9	13	4	15	0.0511242521802754	1
HTR6	2619	1	9	13	4	15	0.0511242521802754	1
HTR7	2620	1	9	13	4	15	0.0511242521802754	1
P2RY13	2667	1	9	13	4	14	0.0535217866190455	1
MC1R	2672	1	9	14	5	13	0.0680993680996063	1
MC4R	2673	1	9	13	4	15	0.0511242521802754	1
MCHR2	2674	1	9	13	4	15	0.0511242521802754	1
MLNR	2685	1	9	13	4	15	0.0511242521802754	1
MRGPRX1	2690	1	9	13	4	15	0.0511242521802754	1
MRGPRX2	2691	1	9	13	4	15	0.0511242521802754	1
NUAK2	2732	1	9	13	4	6	0.0511242521802754	1
P2RY11	2738	1	9	13	4	15	0.0511242521802754	1
DBH	2863	1	9	13	4	11	0.0511242521802754	1
HDC	2866	1	9	13	4	11	0.0511242521802754	1
TPH1	2869	1	9	13	4	11	0.0511242521802754	1
INHBE	2889	1	9	14	5	3	0.0680993680996063	1
LEFTY2	2914	1	9	14	5	3	0.0680993680996063	1
TAC4	2936	1	9	13	4	11	0.0511242521802754	1
PPARGC1A	3110	1	9	13	4	13	0.0473959237494497	1
STRADB	3223	1	9	14	5	12	0.0407966488570223	1
TLE1	3311	1	9	14	5	8	0.0471253542550156	1
RHOC	3364	1	9	13	4	14	0.0473959237494497	1
NMI	330	-1	9	13	4	14	0.0322662274991021	1
TLX1	385	-1	9	13	4	16	0.0322662274991021	1
RUNX1	399	-1	9	14	5	12	0.0471253542550156	1
ABL2	414	-1	9	13	4	14	0.0473959237494497	1
PPM1D	432	-1	9	14	5	14	0.0532533085570312	1
DDX5	537	-1	9	14	5	13	0.0222696796882731	1
LATS1	833	-1	9	14	5	12	0.0589781926514272	1
TGFB1I1	1194	-1	9	15	6	11	0.0492778461204077	1
AGRP	1569	-1	9	13	4	11	0.0511242521802754	1
PTK7	1978	-1	9	12	3	17	0.0110354527815531	1
AMOT	2044	-1	9	14	5	12	0.0589781926514272	1
TJP2	2207	-1	9	14	5	12	0.0589781926514272	1
CRTC3	2533	-1	9	13	4	9	0.0428009456163411	1
GPC4	2588	-1	9	15	6	9	0.0762465450161561	1
SEPT4	3127	-1	9	14	5	12	0.0407966488570223	1
CABP1	30	1	8	15	7	9	0.107980288501765	1
ITCH	51	1	8	15	7	11	0.107980288501765	1
MAPK14	92	1	8	13	5	15	0.0988057149050397	1
TIA1	94	1	8	14	6	11	0.114247062427199	1
HNRNPD	95	1	8	14	6	11	0.114247062427199	1
TIAL1	102	1	8	14	6	11	0.114247062427199	1
PRKACG	226	1	8	13	5	15	0.0832017209343769	1
PRKCG	232	1	8	11	3	19	0.0350181920048079	1
ROCK1	285	1	8	13	5	15	0.0914074963832349	1
NCOA1	395	1	8	12	4	15	0.0618090813352001	1
PRMT6	422	1	8	15	7	8	0.066253537403776	1
BIRC3	457	1	8	11	3	18	0.0282146586734014	1
IL1A	466	1	8	14	6	11	0.114247062427199	1
COPS5	512	1	8	12	4	17	0.0458660514660742	1
APC2	561	1	8	11	3	17	0.0483942903234761	1
MAP2K6	597	1	8	13	5	15	0.0988057149050397	1
TNFRSF1B	883	1	8	12	4	15	0.0618090813352001	1
MAPK9	933	1	8	15	7	11	0.128114268670607	1
PDK2	948	1	8	13	5	14	0.0832017209343769	1
TGFB3	1012	1	8	15	7	10	0.137508945554634	1
SMAD7	1037	1	8	12	4	17	0.0618090813352001	1
BAMBI	1056	1	8	15	7	10	0.137508945554634	1
DACT2	1127	1	8	15	7	10	0.137508945554634	1
ESR2	1177	1	8	16	8	8	0.178165065893968	1
SYNJ2BP	1187	1	8	13	5	1	0.104916454153822	1
USP4	1190	1	8	15	7	10	0.137508945554634	1
SMURF2	1192	1	8	13	5	14	0.0655433178880987	1
WIF1	1233	1	8	12	4	14	0.0815436212902537	1
MAP3K13	1255	1	8	13	5	12	0.0914074963832349	1
RANBP3	1309	1	8	16	8	9	0.140638769146696	1
GDF1	1314	1	8	15	7	10	0.137508945554634	1
STK39	1396	1	8	13	5	15	0.0988057149050397	1
HNF1A	1408	1	8	11	3	16	0.0543308504892405	1
PARD3	1415	1	8	16	8	8	0.161034998756756	1
GAL	1514	1	8	12	4	11	0.0815436212902537	1
GDF10	1522	1	8	15	7	10	0.137508945554634	1
GDF3	1523	1	8	15	7	10	0.137508945554634	1
GDF7	1524	1	8	15	7	10	0.137508945554634	1
GDF9	1525	1	8	15	7	10	0.137508945554634	1
MLN	1570	1	8	12	4	11	0.0815436212902537	1
NMS	1576	1	8	12	4	11	0.0815436212902537	1
NMU	1577	1	8	12	4	11	0.0815436212902537	1
HCRT	1588	1	8	12	4	11	0.0815436212902537	1
PRLH	1598	1	8	12	4	11	0.0815436212902537	1
CORT	1610	1	8	13	5	11	0.0914074963832349	1
MINK1	1637	1	8	13	5	15	0.0988057149050397	1
BCAP31	1651	1	8	14	6	11	0.0298449878918986	1
KHDRBS2	1732	1	8	16	8	7	0.0441899240041368	1
CARD9	1790	1	8	15	7	11	0.128114268670607	1
ARVCF	1804	1	8	14	6	11	0.114247062427199	1
CTNND2	1805	1	8	14	6	11	0.114247062427199	1
PPP2R5A	1822	1	8	15	7	10	0.137508945554634	1
P2RY6	1882	1	8	12	4	16	0.076022138757962	1
ROBO1	2012	1	8	11	3	17	0.0350181920048079	1
LPAR2	2034	1	8	12	4	16	0.0618090813352001	1
FURIN	2043	1	8	15	7	10	0.146094504184553	1
CDON	2097	1	8	14	6	13	0.114247062427199	1
TBXA2R	2181	1	8	11	3	18	0.0591848224801229	1
ERCC2	2276	1	8	10	2	12	0.034466586657849	1
AIMP1	2328	1	8	13	5	12	0.0655433178880987	1
GTF2H2	2466	1	8	11	3	16	0.0543308504892405	1
TBL1Y	2468	1	8	15	7	6	0.146094504184553	1
FPR2	2573	1	8	12	4	15	0.0692872303365653	1
GALP	2577	1	8	12	4	11	0.0815436212902537	1
KMT2D	2643	1	8	11	3	16	0.0543308504892405	1
LIPH	2650	1	8	12	4	13	0.0618090813352001	1
ASH2L_DPY30_KMT2D_RBBP5_WDR5	2683	1	8	11	3	16	0.0543308504892405	1
P2RY2	2740	1	8	13	5	14	0.0988057149050397	1
POU4F1	2781	1	8	11	3	16	0.0543308504892405	1
POU4F2	2782	1	8	11	3	16	0.0543308504892405	1
ITGA1	2813	1	8	10	2	19	0.018894892477722	1
NTN3	2848	1	8	14	6	12	0.114247062427199	1
CHAT	2864	1	8	12	4	11	0.0815436212902537	1
TH	2865	1	8	12	4	12	0.076022138757962	1
FCGR3A	3010	1	8	13	5	14	0.0988057149050397	1
GNA15	3028	1	8	13	5	15	0.0988057149050397	1
GNA14	3029	1	8	13	5	15	0.0988057149050397	1
KHDRBS1	3111	1	8	16	8	7	0.0441899240041368	1
GTF2H3	3124	1	8	10	2	12	0.034466586657849	1
CD8A	3195	1	8	13	5	14	0.0988057149050397	1
GTF2H4	3216	1	8	10	2	12	0.034466586657849	1
PLCB2	3226	1	8	13	5	15	0.0988057149050397	1
SNX1	3387	1	8	12	4	11	0.0815436212902537	1
PHB2	77	-1	8	11	3	16	0.0543308504892405	1
HNRNPA0	96	-1	8	14	6	11	0.114247062427199	1
PARN	101	-1	8	14	6	11	0.114247062427199	1
CHUK	126	-1	8	14	6	13	0.0475439071061222	1
CASP10	202	-1	8	12	4	16	0.016354680759325	1
CREBBP	392	-1	8	16	8	9	0.0441899240041368	1
BCL3	552	-1	8	14	6	13	0.0960793618708133	1
GZMB	626	-1	8	12	4	16	0.0378728906512775	1
MPG	710	-1	8	11	3	16	0.0543308504892405	1
SMARCAD1	989	-1	8	14	6	10	0.08642098380432	1
SH3BP5	993	-1	8	15	7	7	0.146094504184553	1
MST1R	1355	-1	8	13	5	14	0.0305588513584305	1
CAMK2A	1620	-1	8	15	7	11	0.107980288501765	1
MYRIP	1716	-1	8	15	7	9	0.107980288501765	1
GRK4	1852	-1	8	12	4	11	0.0815436212902537	1
PTPRR	1958	-1	8	13	5	15	0.0988057149050397	1
RCAN1	1986	-1	8	12	4	11	0.0692872303365653	1
RUNX2	2061	-1	8	14	6	11	0.021991804378213	1
SS18L1	2155	-1	8	16	8	7	0.0441899240041368	1
DUSP26	2315	-1	8	12	4	17	0.0850572065350312	1
IRF2BP1	2627	-1	8	14	6	2	0.114247062427199	1
IL16	2833	-1	8	11	3	17	0.0350181920048079	1
IBTK	2998	-1	8	15	7	7	0.146094504184553	1
ESRRA	3109	-1	8	12	4	9	0.0618090813352001	1
MMP7	3141	-1	8	9	1	21	0.00432500812007453	1
RBL1	3153	-1	8	13	5	13	0.0832017209343769	1
SAFB	3163	-1	8	11	3	16	0.0543308504892405	1
CRYAB	3174	-1	8	13	5	14	0.0475446866130299	1
NRBP1	3317	-1	8	12	4	15	0.0458660514660742	1
SERPINB8	3401	-1	8	14	6	9	0.122243349870045	1
MMS19	3510	-1	8	11	3	16	0.0543308504892405	1
LCK	52	1	7	13	6	14	0.168393321293093	1
HTR1B	80	1	7	12	5	15	0.127214167637092	1
AKT1	125	1	7	12	5	16	0.114906624731324	1
MDM2	135	1	7	13	6	14	0.0515003255452293	1
ATAD2	148	1	7	13	6	13	0.129248205382205	1
TRRAP	172	1	7	13	6	12	0.142525804375928	1
MYC	173	1	7	13	6	14	0.142525804375928	1
MAP2K4	177	1	7	12	5	16	0.150201476985349	1
RALB	220	1	7	15	8	10	0.197442963596807	1
BIRC6	240	1	7	11	4	16	0.0759171897679113	1
FUBP1	297	1	7	13	6	12	0.142525804375928	1
ATF2	340	1	7	15	8	5	0.212089876768432	1
BCL2	382	1	7	12	5	15	0.0649423649953546	1
DDX17	387	1	7	11	4	16	0.0420088034110558	1
KMT2E	442	1	7	13	6	9	0.155626264792637	1
DOT1L	448	1	7	13	6	12	0.142525804375928	1
BIRC5	459	1	7	11	4	17	0.0759171897679113	1
SMARCB1	526	1	7	14	7	11	0.114407001853919	1
PIAS4	588	1	7	14	7	12	0.128248930485458	1
BTK	589	1	7	15	8	10	0.226743385097886	1
KAT2A	620	1	7	14	7	11	0.183935971767218	1
MAPK11	637	1	7	16	9	8	0.255877110230571	1
TXN	643	1	7	11	4	17	0.0420088034110558	1
ADRM1	655	1	7	15	8	6	0.197442963596807	1
BIRC7	706	1	7	11	4	16	0.0759171897679113	1
PPA1	801	1	7	12	5	15	0.114906624731324	1
GNA11	809	1	7	12	5	16	0.139089940091688	1
TGFBR1	831	1	7	15	8	10	0.212089876768432	1
UBE2D3	921	1	7	13	6	14	0.129248205382205	1
MAP2K7	937	1	7	13	6	14	0.155626264792637	1
FKBP1A	988	1	7	11	4	18	0.0643262078268237	1
MAX	991	1	7	13	6	12	0.142525804375928	1
RARB	1020	1	7	11	4	17	0.109839796966117	1
MAPK8IP2	1080	1	7	13	6	14	0.155626264792637	1
NR0B1	1169	1	7	14	7	10	0.156132681601778	1
NOTCH2	1220	1	7	15	8	7	0.212089876768432	1
LTC4S	1245	1	7	12	5	15	0.150201476985349	1
MKNK1	1250	1	7	13	6	8	0.168393321293093	1
GRK6	1299	1	7	12	5	15	0.0772536962795663	1
MIB2	1307	1	7	12	5	1	0.150201476985349	1
UCHL5	1308	1	7	15	8	9	0.197442963596807	1
APLN	1443	1	7	11	4	11	0.119911811334376	1
APELA	1444	1	7	11	4	11	0.119911811334376	1
PDYN	1497	1	7	11	4	11	0.119911811334376	1
ANXA1	1508	1	7	11	4	11	0.119911811334376	1
MT-RNR2	1509	1	7	11	4	9	0.109839796966117	1
SAA1	1510	1	7	11	4	9	0.109839796966117	1
PNOC	1578	1	7	11	4	11	0.119911811334376	1
QRFP	1602	1	7	11	4	11	0.119911811334376	1
SST	1611	1	7	12	5	11	0.139089940091688	1
CHRM2	1640	1	7	12	5	15	0.127214167637092	1
ARHGEF7	1655	1	7	13	6	13	0.155626264792637	1
ROCK2	1657	1	7	11	4	16	0.128475749876055	1
NAIP	1711	1	7	11	4	16	0.0759171897679113	1
SHANK1	1715	1	7	13	6	13	0.155626264792637	1
OPRD1	1756	1	7	12	5	15	0.127214167637092	1
OPRL1	1758	1	7	12	5	15	0.127214167637092	1
TAB3	1777	1	7	13	6	14	0.155626264792637	1
PPP2R1A	1818	1	7	11	4	18	0.0643262078268237	1
PPP3CA	1826	1	7	12	5	15	0.127214167637092	1
P2RY14	1837	1	7	12	5	15	0.127214167637092	1
FPR1	1851	1	7	12	5	15	0.127214167637092	1
DAB2IP	1893	1	7	12	5	16	0.0649423649953546	1
PTCRA	1908	1	7	13	6	13	0.155626264792637	1
PCM1	1909	1	7	11	4	15	0.0529511193491506	1
GALR3	1940	1	7	12	5	15	0.127214167637092	1
HTR1D	1971	1	7	12	5	15	0.127214167637092	1
SAV1	2074	1	7	12	5	13	0.139089940091688	1
OMG	2089	1	7	11	4	13	0.0875177889346977	1
NSD3	2149	1	7	13	6	12	0.129248205382205	1
TAL1	2176	1	7	13	6	10	0.129248205382205	1
APLNR	2292	1	7	12	5	15	0.127214167637092	1
ADRB1	2664	1	7	13	6	12	0.142525804375928	1
NECTIN3	2880	1	7	14	7	7	0.183935971767218	1
CDK19	2965	1	7	12	5	1	0.150201476985349	1
HTT	2991	1	7	11	4	16	0.0759171897679113	1
MAPKAP1	3017	1	7	12	5	15	0.114906624731324	1
CD9	3062	1	7	10	3	13	0.0506554772117217	1
WIPF1	3201	1	7	13	6	2	0.168393321293093	1
SFRP4	3210	1	7	13	6	8	0.129248205382205	1
VLDLR	3398	1	7	12	5	1	0.150201476985349	1
LRP8	3434	1	7	12	5	1	0.150201476985349	1
FASTK	3438	1	7	13	6	8	0.155626264792637	1
NECTIN1	3446	1	7	14	7	7	0.183935971767218	1
CAV1	2	-1	7	13	6	14	0.0636980026047697	1
CASP3	91	-1	7	11	4	18	0.0759171897679113	1
HBP1	170	-1	7	13	6	12	0.142525804375928	1
IKBKE	227	-1	7	10	3	20	0.0309391244103748	1
RHEB	243	-1	7	9	2	20	0.0280447626845586	1
PUF60	296	-1	7	13	6	12	0.142525804375928	1
IL10	333	-1	7	9	2	20	0.0450423470445718	1
CTBP1	445	-1	7	15	8	10	0.212089876768432	1
UBE2M	483	-1	7	12	5	14	0.102375847864031	1
CDK11A	523	-1	7	12	5	1	0.150201476985349	1
CDK11B	524	-1	7	12	5	1	0.150201476985349	1
CSNK1E	607	-1	7	14	7	12	0.114407001853919	1
KAT6A	612	-1	7	12	5	15	0.0416394095250759	1
HDAC1	619	-1	7	13	6	14	0.142525804375928	1
PAF1	628	-1	7	11	4	6	0.0989139391302152	1
NR1I3	677	-1	7	12	5	13	0.0772536962795663	1
GADD45A	721	-1	7	14	7	12	0.183935971767218	1
SUV39H1	766	-1	7	13	6	8	0.155626264792637	1
TRIM25	829	-1	7	12	5	13	0.0897783813051457	1
JAK3	856	-1	7	12	5	15	0.021643373093276	1
MARK2	900	-1	7	11	4	17	0.0989139391302152	1
APAF1	952	-1	7	11	4	16	0.0759171897679113	1
RLIM	1191	-1	7	11	4	17	0.0989139391302152	1
KREMEN1	1263	-1	7	11	4	13	0.0759171897679113	1
KREMEN2	1264	-1	7	11	4	13	0.0759171897679113	1
CAPRIN2	1346	-1	7	11	4	13	0.0759171897679113	1
RSPO1	1535	-1	7	11	4	13	0.0759171897679113	1
GRK2	1731	-1	7	11	4	18	0.0989139391302152	1
ERC1	1774	-1	7	13	6	11	0.0763737817646778	1
PTPN22	1935	-1	7	13	6	13	0.155626264792637	1
YWHAB	2029	-1	7	13	6	14	0.129248205382205	1
FST	2036	-1	7	13	6	2	0.168393321293093	1
ROS1	2058	-1	7	11	4	17	0.0420088034110558	1
SARS	2072	-1	7	13	6	12	0.142525804375928	1
SGK2	2094	-1	7	13	6	13	0.0893750069112841	1
SKP1	2118	-1	7	13	6	14	0.0763737817646778	1
SRCAP	2143	-1	7	15	8	8	0.0704864926422637	1
THBS1	2202	-1	7	15	8	10	0.111265972079741	1
LATS2	2310	-1	7	14	7	11	0.197611399348256	1
CUL1	2335	-1	7	12	5	16	0.102375847864031	1
MOB1B	2687	-1	7	13	6	9	0.180544483716071	1
MOB1A	2688	-1	7	13	6	9	0.180544483716071	1
NF2	2712	-1	7	13	6	9	0.180544483716071	1
NSD2	2729	-1	7	12	5	14	0.102375847864031	1
CDK14	2747	-1	7	11	4	13	0.0759171897679113	1
SOST	2935	-1	7	11	4	13	0.0759171897679113	1
COPS6	3235	-1	7	11	4	16	0.0759171897679113	1
MYCBP	3313	-1	7	13	6	12	0.142525804375928	1
PSMB4	3325	-1	7	12	5	14	0.102375847864031	1
