Gene_Id	mitomycin-c_HCC515_24 h_10 µM
CLTC	-2.993964195
COL1A1	3.212741852
COL4A1	1.022013426
CREB1	-0.358115047
CRK	-6.997774124
CRKL	0.603666782
CRYZ	0.447981298
CSK	0.978913248
CSNK1A1	-0.777891159
CSNK1E	-1.421090364
CSNK2A2	-3.26078701
CSRP1	-8.317592621
CTNND1	0.604283214
CTSD	7.676440239
CTSL	4.590286732
CYB561	-0.27990219
DAG1	-1.139323711
DAXX	1.294852257
DCK	-2.303401947
DCTD	-3.105335236
DDB2	1.472792149
GADD45A	0.982939005
DDX10	1.166472793
DECR1	3.014727354
DFFA	2.189461708
DFFB	-2.008880615
DLD	-1.498785853
DNM1	4.80228281
DNMT1	-0.897725523
DNMT3A	3.041684866
DPH2	1.177355886
DSG2	1.908805847
TSC22D3	3.075171947
DUSP3	-0.549580097
DUSP4	0.830549955
DUSP6	1.052979589
TOR1A	3.794948101
E2F2	-5.870925426
ECH1	-3.282507896
EDN1	2.284613132
EGF	-4.572890282
EGFR	-8.404470444
EGR1	1.456403255
EIF4EBP1	0.01909228
EIF4G1	-0.17239818
EIF5	-1.426365614
ELAVL1	-2.530260086
CTTN	1.07771945
EPB41L2	1.266726732
EPHA3	-0.412011921
EPHB2	1.249278069
EPRS	0.956783473
NR2F6	-2.24564743
ERBB2	7.568995476
ERBB3	0.080359779
ETFB	0.849724412
ETS1	3.141819477
ETV1	-4.230718136
EXT1	-0.393537402
EZH2	-1.716547966
FAH	-6.934409142
PTK2B	0.14446184
FAT1	-2.383272171
FDFT1	-0.743625879
FGFR2	1.527805209
FGFR4	10
FHL2	-1.010763407
FKBP4	1.830133915
FOXO3	2.312474966
FOS	0.783277392
FPGS	-4.251457214
FUT1	-0.647545159
FYN	-0.465897709
SLC37A4	-1.081416607
GAA	2.292877197
GABPB1	0.592064023
GALE	1.014327049
GAPDH	4.559165001
GATA2	4.527395248
GATA3	-0.961440086
GFPT1	0.509363711
GHR	1.245573759
GLI2	1.703317642
GLRX	-1.595930576
GNA11	1.739688635
GNA15	1.228219271
GNAI1	-4.194491386
GNAI2	1.959238291
GNAS	-0.574941397
SFN	-0.435985446
GPC1	4.853085041
GPER1	-1.714162111
GRB7	2.913099527
GRB10	-1.249248147
GRN	0.204771087
NR3C1	-4.797490597
CXCL2	1.366475463
GSTM2	-5.807435036
GSTZ1	-2.998319626
MSH6	-5.685475349
GTF2A2	-3.878516197
GTF2E2	-1.45682168
HSD17B10	-0.303542942
HADH	1.304551482
HDAC2	5.947460175
HIF1A	1.451382637
HK1	-1.982940674
HLA-DMA	0.232990682
HLA-DRA	2.420741558
HMGCR	1.746940017
HMGCS1	-1.972152829
HMOX1	-8.883554459
HOXA5	1.452455163
HOXA10	0.140160918
HPRT1	0.459366679
HES1	2.373146057
DNAJB2	2.740703106
HSPA1A	3.266679525
HSPA4	-6.029806614
HSPA8	-2.489681244
HSPB1	0.246035352
HSPD1	-0.95771122
DNAJB1	0.382248253
ICAM1	0.058886833
ICAM3	-4.278982162
ID2	-7.791537762
IDE	9.27067852
IFNAR1	-0.892547309
IGF1R	-7.60854435
IGF2R	-5.972940922
IGFBP3	-3.951747417
IGHMBP2	0.876319349
IKBKB	6.020834446
IL1B	0.892096996
IL4R	-1.595830441
IL13RA1	-1.301926732
ILK	-0.98478657
INPP1	-1.836812139
INSIG1	-3.72529459
ITGAE	-2.880345106
ITGB5	-4.184481621
JUN	-3.735062122
KCNK1	2.370017052
KIF5C	-6.178649902
KIT	0.794377804
KTN1	-5.058907032
LAMA3	3.038400173
STMN1	1.118525267
LBR	0.038633049
LGALS8	0.098652899
LIG1	-1.014562607
LIPA	-1.739124298
LOXL1	0.347861558
LRPAP1	-2.005072117
LYN	-8.039165497
SMAD3	0.168313414
MAN2B1	2.794170141
MAT2A	-0.823536634
MBNL1	-0.037222624
MCM3	-1.180844784
ME2	0.154113948
MEF2C	-5.996067047
MAP3K4	-3.409258842
MEST	3.838282824
MIF	7.23008728
FOXO4	-6.938785553
MMP1	4.79117775
MMP2	-0.702993035
MNAT1	-0.400101274
MSRA	-8.414686203
MUC1	-2.396459341
MYBL2	-2.803344965
MYC	3.682439327
GADD45B	-2.394380569
MYLK	0.895899534
MYO10	2.383445024
NCK1	-2.060828686
NFATC3	-0.889437735
NFATC4	1.045922279
NFE2L2	1.390829086
NFIL3	-2.991608143
NFKB2	3.806282997
NFKBIA	0.031340241
NFKBIB	-1.288105011
NFKBIE	-4.566446304
NIT1	0.673975766
NMT1	0.38164413
NOS3	2.597726583
CNOT4	0.959360719
NOTCH1	0.906228423
PNP	4.991054535
NPC1	-4.156305313
SLC11A2	4.651854515
NRAS	3.23002696
NUCB2	-2.367696524
NUP88	-0.553892791
NVL	1.900183201
ORC1	-2.089228868
OXA1L	0.309883893
OXCT1	0.748820126
PAFAH1B1	0.312873751
PAFAH1B3	-4.130477905
SERPINE1	0
PAK1	1.930165768
PCBD1	-0.975693524
PCCB	0.072537422
PCK2	1.8425529
PCM1	4.095441818
PCMT1	-0.402744323
PCNA	-0.132351607
PDGFA	0.585870147
PFKL	5.358876228
PGAM1	1.031716943
PGM1	3.143950462
PHKA1	1.177461982
PHKB	-0.682551205
PHKG2	6.574324131
PIK3C2B	-4.086852551
PIK3C3	-1.201985121
PIK3CA	3.081257343
PIN1	5.325166702
PLA2G4A	0.333268523
PLCB3	1.184811711
PLK1	-0.51679039
PLP2	0.398381114
PLS1	2.183710575
PLSCR1	2.234027386
PMAIP1	-9.495344162
PMM2	0.773188829
POLB	-3.565478563
POLE2	-1.581418157
POLR2I	2.147148371
POLR2K	0.687710583
PPARD	2.350695372
PPARG	1.906424046
PPIC	4.731402874
PPOX	1.71122241
PPP2R5A	2.565400124
PPP2R5E	1.013649225
PRCP	-7.473068237
PRKACA	5.084095001
PRKCD	-7.040775299
PRKCH	-2.018053293
PRKCQ	-1.642744303
MAPK9	-0.054834694
MAPK13	2.302504301
MAP2K5	2.258430481
PRKX	-4.627483845
PROS1	1.865037441
LGMN	0.092118725
HTRA1	0.390568882
PSMB8	0.518368781
PSMB10	-1.831067443
PSMD2	0.598427057
PSMD4	0.461259127
PSMD9	1.746502161
PSMD10	0.813681483
PSME1	3.147741795
PSME2	3.765472651
PTGS2	3.58602047
PTK2	2.929370403
PTPN1	-1.505455017
PTPN6	1.216383696
PTPN12	-2.799610615
PTPRC	0.907866418
PTPRF	5.327352524
PTPRK	-1.99741745
PXMP2	-1.427296162
PXN	-1.329185724
PYCR1	-2.513279438
PYGL	3.814646244
RAB4A	0.71238035
RAB27A	-3.124927044
RAC2	1.264178038
RAD9A	1.260087132
RAD51C	-5.26468277
MOK	0.637894332
RALA	0.340737164
RALB	-2.218290091
RALGDS	2.457591534
RAP1GAP	3.834050179
RASA1	4.980662823
RB1	-0.830315888
KDM5A	-0.095544875
RELB	-9.244781494
RFC2	-0.273024231
RFC5	-3.215728283
RFNG	-4.064029217
RFX5	-2.197407246
RGS2	1.150214076
RHEB	0.224001735
RNH1	0.145319
RPA1	-1.623137236
RPA2	2.139505148
RPA3	1.513476014
MRPL12	-2.148090839
RPN1	-2.075690031
RPS5	-0.753672957
RPS6	0.858617663
RPS6KA1	-2.059439421
RSU1	-2.200927973
RTN2	-0.337522328
S100A4	3.833845139
S100A13	-1.826799631
SATB1	-0.765061975
SCP2	3.975890636
CCL2	2.305963278
SDHB	-0.039656952
SGCB	2.062018871
SHB	-4.264922619
SHC1	0.802391887
SKIV2L	-0.724939942
SKP1	0.89533335
SLC1A4	2.644785404
SMARCA4	1.20707202
SMARCC1	-4.224020958
SMARCD2	0.175351202
SNAP25	-2.031417847
SNCA	1.02889359
SOX2	-3.711103678
SOX4	3.064556599
SPAG4	1.940452337
SPP1	-5.518886089
SPR	0.655143857
SPTAN1	-0.858288109
SRC	-1.565639615
STAT1	1.800620079
STAT3	-2.400036335
STAT5B	0.729234576
AURKA	0.207334518
STK10	3.086397648
STX1A	-1.373275518
STX4	-4.22146225
STXBP1	-4.507346153
STXBP2	-2.695993185
SUPV3L1	1.821288586
SUV39H1	-5.511930466
SYK	0.677439451
SYPL1	-0.038954787
TARBP1	0
TBP	5.926925659
TBX2	1.597704053
TBXA2R	0.754835129
TCEA2	-3.095960617
VPS72	-1.940556526
TCTA	-1.388387799
DYNLT3	0.584242046
TERT	-8.007282257
TESK1	2.042385578
TFAP2A	-2.475695133
TFDP1	-4.16644907
TGFB3	-3.673102379
TGFBR2	-3.778255939
TIAM1	-1.759800673
TIMP2	-1.738593578
TJP1	3.222521067
TLE1	0.919882059
TLR4	2.118759155
TSPAN6	4.214584827
TSPAN4	-6.234599113
TOP2A	7.2188797
TP53	2.736381769
TP53BP1	-6.311793327
TP53BP2	4.711815834
TPD52L2	-3.002419472
TPM1	2.043845177
TSTA3	0.786617696
TXNRD1	-2.012791872
UBE2A	3.139280796
UGDH	1.55839932
NR1H2	-4.039253235
USP1	1.929194689
VDAC1	-3.165766239
WFS1	-0.185110554
WRB	-0.1467219
XBP1	0.151763916
XPNPEP1	0.050607786
ZFP36	1.053763986
ZNF131	2.059804201
ZMYM2	-3.783122778
PAX8	0.046997488
CXCR4	0.455059826
IFRD2	1.761683226
MAPKAPK3	1.524548292
USP7	-2.358568668
REEP5	-1.196053982
ST7	0.989702463
KAT6A	-2.356688023
PDHX	-0.208044559
FOSL1	2.94881773
HMGA2	2.228729248
NCOA3	2.09489131
NRIP1	0.929756165
SMC1A	1.365380049
LAGE3	2.354121208
AXIN1	-4.294427872
CDC45	-1.149093628
FZD1	1.697369576
FZD7	0.759739041
HIST2H2BE	2.913223505
PIP4K2B	-5.82570982
NCK2	-1.318850636
DYRK3	-0.804349422
DUSP11	-6.817827225
RAE1	-8.500533104
PIK3R3	1.246273518
NIPSNAP1	3.246500254
IKBKAP	-4.957758904
HAT1	-0.729926169
MAPKAPK5	6.008823395
BHLHE40	-0.496661216
MKNK1	2.593779087
CASK	-0.661857247
AKR7A2	4.663809299
RUVBL1	5.34989357
PSMG1	-3.010847092
BECN1	1.213901997
MBTPS1	-2.473995209
EED	-0.552723169
CTNNAL1	1.56381762
RNMT	3.68250227
PEX11A	3.558521748
CREG1	0.24965781
INPP4B	-1.781441808
IQGAP1	-5.94702673
SOCS2	-0.050788522
CFLAR	-1.42945385
CDK5R1	-9.038192749
ST3GAL5	-2.053012133
IER3	-4.407465935
SQSTM1	6.320768833
SLC5A6	-3.962182045
CPNE3	0.340639353
CCNA1	0.447178066
TIMELESS	-1.816592932
P4HA2	0.244902104
PLOD3	3.841377258
NOL3	3.341154099
SLC25A14	2.762659073
MPZL1	-5.667716503
MAP7	0.756440043
DNAJA3	-1.455846667
USP14	1.113546133
MTA1	9.885654449
PDLIM1	-3.484210014
SMC3	4.09518528
PRPF4	1.680877328
CCNB2	-1.502107859
CCNE2	3.934595823
SYNGR3	7.72783041
LPAR2	5.258511543
ARHGEF2	1.620283008
ZW10	4.074801445
AURKB	-1.432201266
VAPB	4.903701305
NOLC1	1.152769566
UBE2L6	-9.849095345
MAPKAPK2	4.469760895
CYTH1	-0.0123716
ITGB1BP1	-2.148352385
BCL7B	1.992819309
COPB2	-3.242533207
ADGRG1	-0.586117864
TM9SF2	1.1491189
MAP4K4	0.833692908
HOMER2	-0.349004418
SH3BP5	0.527188122
PIGB	4.38980341
PSMF1	3.989129782
SPTLC2	1.274246335
TBPL1	4.867259979
BAG3	1.518752575
POLR1C	1.923227191
SPAG7	-1.156738758
FEZ2	4.461309433
IKBKE	-0.63552326
MTFR1	-2.734899044
HS2ST1	0.213350534
IPO13	-0.684375823
VGLL4	-5.21025753
NUP93	-0.583066761
UBE3C	3.06750083
EDEM1	1.807485223
TRAM2	-0.615273237
CEP57	-1.198409677
KIAA0100	-7.644011974
HERPUD1	1.62297225
KIAA0355	2.722174644
USP6NL	0.872984111
CCP110	-5.434696674
MLEC	-1.09526217
TATDN2	-1.11651814
MRPL19	4.978776932
SCRN1	4.378209114
EFCAB14	3.805271626
KEAP1	-1.830548882
MELK	-0.711066961
PLEKHM1	6.777087212
C2CD5	2.907689333
KIAA0753	2.903243303
C2CD2L	-0.073848784
TOMM70A	1.22066474
KIAA0196	-0.228529871
KLHL21	-2.855608225
ARNT2	-6.090147972
FAM20B	0.409595311
NCAPD2	-1.753703594
PAN2	5.464878082
LPGAT1	1.632006288
KIF14	-0.814071298
OXSR1	-2.083089113
MVP	-1.77346921
DMTF1	-0.251550615
GNPDA1	2.927453041
HDAC6	0.788696527
PARP2	-1.33487463
MAMLD1	2.938621998
DNAJB6	4.167355061
SMC4	3.654639483
ABCC5	4.270952225
ABCB6	-2.332441092
DNM1L	2.287887096
TSPAN3	0.14173755
KIF20A	0.615846992
ARL4C	-5.490972519
TRAP1	4.830168724
G3BP1	3.791734219
MBNL2	0.859447122
CEBPZ	3.272866249
SLC25A13	-0.498597026
SORBS3	-3.371365309
RBM6	8.64176178
TXNDC9	-4.630108356
TRIM13	-1.321360826
TRIB1	-0.062734976
MFSD10	1.109062195
SLC35B1	5.008206367
TIMM17B	-4.628349781
AKAP8	1.883793235
STUB1	-0.213001996
NET1	0.331667989
SMNDC1	2.872973442
PAK4	1.046248078
TNIP1	-0.996291459
IKZF1	0.268463433
TMEM5	0.026167065
HMG20B	-1.864073753
MYL9	-0.140336782
LYPLA1	-1.928325534
PPIE	-2.911292315
VAV3	0.994297624
LRRC41	-0.592711449
CRTAP	1.923303247
VAT1	2.633880138
STK25	2.382805824
APPBP2	-0.767680526
CHERP	-0.043582067
HYOU1	-3.972383499
RPP38	-0.672888279
SLC35A1	-0.30686301
DRAP1	-1.497499824
PAICS	-2.416157722
ST6GALNAC2	0.099050045
STAMBP	-1.470990181
NPRL2	-1.797087789
IGF2BP2	6.623782158
YKT6	1.865872502
CGRRF1	0.023658395
RRAGA	1.204762697
GNB5	-0.749195099
EBP	-2.627808571
CNPY3	0.744399309
YME1L1	1.166721821
TCFL5	0.076721981
KDM5B	-1.677751064
POP4	-6.523225784
ARPP19	0.899294496
ZNF274	0.544914126
MTHFD2	-7.127086639
WASF3	-7.49711132
UTP14A	0.481809199
FRS2	-0.055554047
CLPX	-0.231669351
PGRMC1	-2.555099964
MALT1	-1.68239212
CPSF4	1.660559058
BLCAP	-2.39073658
TCERG1	5.33471632
RNPS1	5.958113194
TOMM34	-3.833407164
PDIA5	-9.977556229
MLLT11	-0.437790513
EBNA1BP2	4.221670151
TMED10	-0.958672047
ASCC3	1.258765221
SLC27A3	0.549176514
KIF2C	-6.956922531
CCDC85B	-4.235692024
TLK2	-1.476534128
KDELR2	2.068027258
RAB31	3.400813103
B4GAT1	5.632716656
PAPD7	0.936650634
UBE2C	2.605414391
DUSP14	1.481209278
TOPBP1	-0.08779636
PRSS23	-1.153105021
PWP1	2.335149765
PKIG	1.047209144
CORO1A	3.803606987
LSM6	1.652821898
PSIP1	-1.503500938
SLC2A6	1.183380008
NISCH	0.767002642
CHEK2	-8.031882286
PRAF2	-4.275415897
POLG2	1.057734013
CHP1	0.939933717
PNKP	1.004067183
ECD	0.696130693
DDX42	-1.530825138
TWF2	-1.106149673
CASC3	-5.696000576
COG2	2.742163658
ATF5	-4.036375046
MTF2	-1.344198585
PUF60	-1.667465687
RAB11FIP2	-0.612870693
CLSTN1	-1.506384969
FOXJ3	1.228247523
KIAA0907	-0.571762681
EPN2	-0.650566638
SACM1L	0.658622384
ATF6	-2.156141281
RPIA	0.248564348
RAB21	-0.250566185
SPEN	2.735616684
FBXO21	-0.019364223
RBM34	3.260911703
WDTC1	1.178537726
XPO7	-1.297911167
TBC1D9B	2.407717943
RRP1B	-0.652654171
MYCBP2	-3.612252235
CDK19	1.823542595
GPATCH8	0.378367752
MAST2	0.907094002
DCUN1D4	3.716222763
FCHO1	4.473468781
SNX13	1.646037102
ATP11B	-0.734749019
JMJD6	4.858740807
RRS1	-0.689852715
RRP12	1.541632414
SYNE2	0.969469547
PDS5A	1.36107707
CAMSAP2	-5.346815586
ATMIN	3.381090403
TRIM2	-2.23085475
KIAA1033	1.116754055
USP22	3.438246727
WDR7	-2.654700518
JADE2	-8.734366417
ARHGEF12	1.365839601
PPP1R13B	0.679907441
RRP8	-1.068686605
NUDCD3	-7.103611946
SIRT3	3.943431139
SLC35A3	-0.005799264
ICMT	-0.37789312
MACF1	1.316320539
SUZ12	-0.038036749
KAT6B	2.341722012
NNT	-2.498738289
ADAT1	-1.907790422
TMEM50A	4.796216011
KLHDC2	-0.575703561
ACOT9	0.578888714
SSBP2	0.911806107
NUP62	-2.663995266
ARFIP2	0.39950785
LSM5	-0.623533845
PLA2G15	1.781854153
TMEM2	0.459459335
ZNF318	3.808850288
FBXO7	3.383220196
SPDEF	-0.160536036
BAMBI	-0.389885485
BACE2	-1.171586037
COG4	1.336870551
MPC2	-1.390689135
CLIC4	0.122166708
C2CD2	-4.664349079
TIPARP	1.944362998
TSKU	0.9898386
RNF167	-3.848584652
LRP10	-3.941462994
ZNF451	1.692664504
SENP6	1.901323318
RAI14	2.594278574
KIF1BP	-0.075698793
TES	0.529088497
PHGDH	0.292481303
MYCBP	2.008462906
CHIC2	1.264083266
TIMM9	-0.806458771
AKAP8L	1.375026941
ATP2C1	-6.904155731
TRAPPC3	-0.830812573
ATP5S	-8.423503876
TNFRSF21	1.995467901
SESN1	-3.590154171
HTATSF1	2.932880878
TMEM97	-0.656665444
BZW2	4.397469521
CHMP4A	5.278804302
GTPBP8	0.989031494
DNAJC15	0.647506237
PACSIN3	-0.396097064
RBM15B	1.959472179
HOOK2	-4.532430649
SNX11	0.633419991
TIMM22	1.783336043
NENF	-1.161204338
UBQLN2	-2.917694092
ERO1A	0.056776986
DNTTIP2	1.531754971
PIK3R4	-3.527231693
HDGFRP3	-5.217944145
COPS7A	0.15754205
NSDHL	-0.11246933
HEBP1	1.793800592
MTERF3	0.624142408
AMDHD2	-3.28383255
ISOC1	-4.488669395
MRPS16	0.216766298
FIS1	4.688288689
GOLT1B	1.696588278
GLOD4	3.018926382
GMNN	6.743283272
LAP3	0.082597688
NOSIP	-3.263936043
DERA	-1.808972716
SCCPDH	1.165020585
MRPS2	1.100957036
VPS28	-3.587388515
HSD17B11	2.719709396
NUSAP1	2.609772921
SCAND1	-0.776979506
CD320	0.416039824
NGRN	-2.786227703
SNX7	3.142830849
ATP6V1D	2.203683853
ZNF589	3.354376316
PRKAG2	-1.710998535
UBE2J1	-2.852025986
EVL	-1.644654274
HACD3	-0.252040774
UFM1	0.3725425
LSR	-2.646879196
DHRS7	-2.99658823
CAB39	3.152586937
ARID4B	-7.094738007
NUDT9	4.396627426
CYCS	-3.652605057
TERF2IP	0.161291748
GFOD1	5.235946655
KCTD5	0.935920358
TMCO1	0.007488251
DHX29	2.612680435
EXOSC4	0.239355683
DDIT4	1.013969898
PAF1	1.121982098
P4HTM	2.073880196
SLC35F2	2.913784027
ZNF586	0.277414978
FBXL12	-1.176350832
TEX10	-1.555407286
YTHDF1	2.68568325
TXNL4B	0.928601861
HERC6	3.381860495
PIH1D1	0.465766609
PPP2R3C	-8.880401611
FKBP14	3.278302193
CDCA4	0.14701283
PLEKHJ1	0.119200855
HEATR1	-7.279468536
ANO10	3.413334846
UBR7	-5.466557503
FAIM	-2.517500639
ADI1	-2.53645134
ABCF3	-1.684453011
ENOSF1	1.135817647
LRRC16A	-3.3258183
ANKRD10	0.201234147
STAP2	1.055489421
IARS2	5.273431301
NUP133	-8.746277809
CNDP2	0.529588878
FAM63A	0.077210002
KDM3A	0.082705274
PECR	0.69222939
EAPP	0.489039302
CISD1	-6.083904266
ZNF395	3.603548765
KLHL9	1.317147732
NPDC1	-0.553506255
TM9SF3	3.016014576
PAK6	-5.012063026
DUSP22	-0.485537171
ADCK3	1.516213417
CIAPIN1	1.213974953
PLSCR3	3.655910492
SCYL3	-1.784546137
LYRM1	0.27781111
ZMIZ1	0.299948871
MCOLN1	0.16707477
THAP11	0.807566881
ABHD6	1.459211111
TRIB3	-0.716197729
POLD4	-1.77577877
SQRDL	-1.550839663
ENOPH1	1.575329304
PRUNE	-1.369642258
SNX6	-0.966603696
FASTKD5	1.325284004
ELAC2	0.395244926
ABHD4	-2.7129879
MCUR1	0.633375823
RBKS	-2.605824232
ATG3	-0.188210994
NARFL	1.52726078
ZDHHC6	-1.271320701
ACBD3	-1.416965246
CERK	1.141997933
NT5DC2	-2.714748144
ACD	-0.767846644
INTS3	5.761275291
TRAK2	1.158014774
METRN	2.252274036
ELOVL6	0.417715907
TMEM109	0.629099965
CCDC86	-0.558247149
TRAPPC6A	-2.23999691
CHAC1	-4.152880669
MBOAT7	0.434179127
PRR15L	-1.917796373
CRELD2	1.418562174
FSD1	-2.532760143
TCTN1	-4.403441429
CHMP6	-7.776320457
NPEPL1	-1.328086495
FAM57A	-2.936999321
NUP85	3.899673224
TCEAL4	-0.437343806
DHDDS	0.395202011
DENND2D	-0.989847779
FBXO11	-5.067077637
CCDC92	4.446412086
COASY	-4.253018379
WDR61	-3.666858673
TSEN2	0.17483297
PRR7	-3.681854486
ITFG1	0.348850548
GDPD5	-1.610592842
GRWD1	-1.842736244
ARID5B	-3.857139826
TUBB6	-7.288030624
PSRC1	0.974354386
ADO	-9.719946861
HIST1H2BK	0.959417701
MICALL1	2.877556562
UBE3B	-1.576081038
HN1L	-1.557056904
SLC25A46	5.885204315
COG7	-8.243300438
MAPK1IP1L	0.671704888
TBC1D31	0.85948664
H2AFV	-0.917185426
RPL39L	3.847568989
CANT1	-3.087044954
WIPF2	-2.98079586
TICAM1	-2.570720196
TXLNA	3.082625866
SPRED2	2.156869888
EML3	-0.609195173
TMEM110	-2.920617819
FAM69A	5.244413376
