Gene_Id	tert-butylhydroquinone_JURKAT_24 h_100 nM
CREB1	-0.717295706
CRK	-0.365821302
CRKL	0.212370425
CRYZ	-0.717152774
CSK	-0.38828367
CSNK1A1	0.3359873
CSNK1E	0.131056666
CSNK2A2	-0.476117074
CSRP1	0.130394727
CTNND1	-0.38474381
CTSD	1.02035141
CTSL	-0.706045032
CYB561	0.198589936
DAG1	-0.543401778
DAXX	0.550214767
DCK	0.550721884
DCTD	0.263965428
DDB2	-0.223809615
GADD45A	0.09276662
DDX10	0.67453599
DECR1	-0.840342641
DFFA	0.132427245
DFFB	0.240870073
DLD	-0.222256124
DNM1	-0.242366046
DNMT1	0.163648456
DNMT3A	-0.017836399
DPH2	0.120142072
DSG2	0.591485679
TSC22D3	2.320781708
DUSP3	0.337825716
DUSP4	-0.325822562
DUSP6	0.114568166
TOR1A	-0.174563617
E2F2	0.220017791
ECH1	-1.199736357
EDN1	0.61353755
EGF	0.177535594
EGFR	-0.01576978
EGR1	-2.408874273
EIF4EBP1	0.06422472
EIF4G1	-0.34968695
EIF5	0.435857177
ELAVL1	0.001611034
CTTN	-0.617932677
EPB41L2	-0.585081697
EPHA3	-0.377195656
EPHB2	-0.268833369
EPRS	0.995128989
NR2F6	-0.073355168
ERBB2	0.458600014
ERBB3	-0.769207597
ETFB	0.10695371
ETS1	0.390151292
ETV1	-0.338277131
EXT1	-0.519307494
EZH2	-0.307789266
FAH	0.060932271
PTK2B	1.406376362
FAT1	0.40844062
FDFT1	0.901195645
FGFR2	0.03875266
FGFR4	-0.313813895
FHL2	0.460426271
FKBP4	0.478844166
FOXO3	-0.502678156
FOS	-0.022097632
FPGS	0.326205581
FUT1	0.105955653
FYN	-0.089930087
SLC37A4	1.042568326
GAA	0.669991195
GABPB1	-1.213522434
GALE	-0.091635689
GAPDH	4.654130936
GATA2	0.069117188
GATA3	-0.122098148
GFPT1	-0.992218912
GHR	0.145292446
GLI2	-0.659999669
GLRX	-5.417698383
GNA11	-0.204403922
GNA15	0.075154215
GNAI1	0.415996909
GNAI2	0.913130522
GNAS	0.16311492
SFN	0.430030376
GPC1	0.546550214
GPER1	0.0070979
GRB7	0.322699845
GRB10	-0.982557595
GRN	1.042596817
NR3C1	-0.127782375
CXCL2	0.354171455
GSTM2	-0.799953222
GSTZ1	0.537853718
MSH6	0.155215561
GTF2A2	-0.937468886
GTF2E2	-0.406595021
HSD17B10	0.899940133
HADH	0.432118803
HDAC2	0.007520996
HIF1A	-0.242824212
HK1	0.238002449
HLA-DMA	0.098835863
HLA-DRA	0.408621788
HMGCR	-1.308263659
HMGCS1	-0.036863245
HMOX1	0.234087452
HOXA5	0.098825067
HOXA10	0.345308959
HPRT1	0.039903477
HES1	2.015861988
DNAJB2	0.374275178
HSPA1A	0.329016685
HSPA4	-0.141707957
HSPA8	-0.556422412
HSPB1	0.550512731
HSPD1	1.027457714
DNAJB1	0.353445947
ICAM1	0.194228381
ICAM3	-0.455221593
ID2	-0.253225893
IDE	0.689019084
IFNAR1	-0.317568421
IGF1R	0.230172679
IGF2R	0.043230236
IGFBP3	0.181976438
IGHMBP2	-0.141368866
IKBKB	0.614919662
IL1B	-0.749505818
IL4R	-0.167225912
IL13RA1	-1.826281428
ILK	-0.231677145
INPP1	-0.00840047
INSIG1	-0.86954391
ITGAE	-0.169890612
ITGB5	0.350305796
JUN	-0.161052793
KCNK1	-1.651765823
KIF5C	-0.214085132
KIT	0.756042063
KTN1	0.624591112
LAMA3	1.476904392
STMN1	-0.343234956
LBR	-0.362940878
LGALS8	0.704286158
LIG1	0.410152286
LIPA	0.119747236
LOXL1	0.312958509
LRPAP1	-0.049780041
LYN	1.163773656
SMAD3	-0.245988891
MAN2B1	1.135412216
MAT2A	0.024842227
MBNL1	0.619221449
MCM3	1.134698629
ME2	0.459400743
MEF2C	0.689890981
MAP3K4	-0.204029739
MEST	-0.024429047
MIF	0.418993831
FOXO4	0.609092832
MMP1	0.221630991
MMP2	-0.886603773
MNAT1	0.109753847
MSRA	0.334451973
MUC1	0.714054286
MYBL2	0.918786645
MYC	0.265006304
GADD45B	0.573680401
MYLK	-0.505937397
MYO10	-0.451581687
NCK1	-0.016857993
NFATC3	-0.42368862
NFATC4	-0.888274312
NFE2L2	-0.93961966
NFIL3	0.398180962
NFKB2	-0.181749076
NFKBIA	0.244913667
NFKBIB	-0.147966996
NFKBIE	0.427716821
NIT1	-0.002631813
NMT1	-0.383414656
NOS3	-0.018756766
CNOT4	0.32455653
NOTCH1	-0.354467392
PNP	0.082682505
NPC1	0.434821904
SLC11A2	-0.425140321
NRAS	-0.000794053
NUCB2	1.152108788
NUP88	1.006679654
NVL	0.394343913
ORC1	-2.819598436
OXA1L	0.475613445
OXCT1	0.601870716
PAFAH1B1	0.255888343
PAFAH1B3	0.158494696
SERPINE1	-1.491362095
PAK1	0.541838169
PCBD1	0.082377359
PCCB	0.044495583
PCK2	0.486129194
PCM1	0.094363853
PCMT1	0.54582119
PCNA	-0.442969918
PDGFA	0.489621401
PFKL	0.314898491
PGAM1	0.212030873
PGM1	-0.471728653
PHKA1	-0.004100025
PHKB	0.1411632
PHKG2	0.144924209
PIK3C2B	-0.192954764
PIK3C3	0.101393931
PIK3CA	0.210349247
PIN1	-0.079547971
PLA2G4A	-1.669566989
PLCB3	-0.390322626
PLK1	0.458804965
PLP2	-0.228132755
PLS1	-0.376810491
PLSCR1	-0.228976011
PMAIP1	-0.049549088
PMM2	-0.391956806
POLB	1.438658237
POLE2	0.621182144
POLR2I	0.77975291
POLR2K	-1.832389116
PPARD	0.356189191
PPARG	1.792039633
PPIC	-0.631814003
PPOX	-0.50060153
PPP2R5A	-0.151668951
PPP2R5E	-0.403360009
PRCP	0.187432677
PRKACA	1.838701129
PRKCD	-0.230544657
PRKCH	0.353403181
PRKCQ	0.253115863
MAPK9	-0.067233466
MAPK13	0.181486264
MAP2K5	0.473448157
PRKX	-0.02534952
PROS1	-0.60398674
LGMN	-0.225622818
HTRA1	0.150563896
PSMB8	0.34003967
PSMB10	0.821877599
PSMD2	-0.27493906
PSMD4	0.077314369
PSMD9	-0.531629264
PSMD10	-0.331851125
PSME1	-0.292357296
PSME2	-0.980429471
PTGS2	-0.060327336
PTK2	2.193990946
PTPN1	0.037905961
PTPN6	0.338669866
PTPN12	-0.596470475
PTPRC	-0.079949997
PTPRF	0.678350151
PTPRK	-0.067357391
PXMP2	-0.536714792
PXN	-0.686948657
PYCR1	0.181037724
PYGL	-1.103626251
RAB4A	0.142933741
RAB27A	3.140253544
RAC2	0.144588634
RAD9A	-1.848952055
RAD51C	-0.038257584
MOK	-0.332898319
RALA	-0.772044599
RALB	-0.268016458
RALGDS	0.062702343
RAP1GAP	0.173794225
RASA1	-0.022465415
RB1	0.240607947
KDM5A	-0.493405581
RELB	0.09689723
RFC2	0.411034763
RFC5	0.622163236
RFNG	0.066336572
RFX5	1.002053261
RGS2	-0.398843676
RHEB	-0.585543633
RNH1	-0.251987159
RPA1	0.391302943
RPA2	-0.202680662
RPA3	1.802528143
MRPL12	-0.427009732
RPN1	0.298732042
RPS5	0.31475237
RPS6	1.177615762
RPS6KA1	0.104778349
RSU1	0.479590356
RTN2	0.285516679
S100A4	-0.298152059
S100A13	-0.300562561
SATB1	-0.113719478
SCP2	-0.423977256
CCL2	0.898389816
SDHB	-0.111384094
SGCB	-0.397675753
SHB	-0.211017877
SHC1	-0.189851314
SKIV2L	-0.134283096
SKP1	0.525491953
SLC1A4	-0.582254887
SMARCA4	-0.364892811
SMARCC1	0.013982177
SMARCD2	-0.302159369
SNAP25	0.092957571
SNCA	0.347891331
SOX2	-0.061233819
SOX4	-0.406226218
SPAG4	0.636867404
SPP1	0.52306056
SPR	0.046584889
SPTAN1	1.087073803
SRC	0.266900003
STAT1	0.724022865
STAT3	-0.660320044
STAT5B	-0.331404924
AURKA	-0.18091163
STK10	0.282731771
STX1A	-0.126517087
STX4	0.453298956
STXBP1	-0.476644009
STXBP2	-0.039446652
SUPV3L1	-0.517207742
SUV39H1	0.125692278
SYK	-0.111601546
SYPL1	-0.979621232
TARBP1	-0.190168187
TBP	0.043750167
TBX2	-0.457621127
TBXA2R	0.207828268
TCEA2	-0.076339543
VPS72	-0.066750944
TCTA	-0.723230064
DYNLT3	0.436869621
TERT	0.131742805
TESK1	1.324681044
TFAP2A	0.285478711
TFDP1	-0.099309132
TGFB3	-0.384390235
TGFBR2	-0.171226859
TIAM1	-0.309681237
TIMP2	0.174097136
TJP1	-0.075707532
TLE1	0.516200006
TLR4	-0.276670426
TSPAN6	-0.273486435
TSPAN4	-0.479420662
TOP2A	-0.345773727
TP53	-0.588496983
TP53BP1	0.199571133
TP53BP2	-0.027017299
TPD52L2	0.653781414
TPM1	0.082512617
TSTA3	1.273893237
TXNRD1	0.106318869
UBE2A	0.099462539
UGDH	0.763589382
NR1H2	-0.823348165
USP1	-0.261968911
VDAC1	0.926155388
WFS1	0.101293519
WRB	-0.484377682
XBP1	-0.190842673
XPNPEP1	-0.554904044
ZFP36	0.316896468
ZNF131	0.176479191
ZMYM2	-0.089980736
PAX8	0.589047849
CXCR4	0.455994219
IFRD2	0.587333441
MAPKAPK3	0.875277638
USP7	-1.340929031
REEP5	0.745167136
ST7	0.436641902
KAT6A	0.192298546
PDHX	0.007964104
FOSL1	-0.724676073
HMGA2	-0.550743937
NCOA3	0.679937422
NRIP1	0.262346655
SMC1A	0.251120746
LAGE3	-0.417751014
AXIN1	-1.946053028
CDC45	-0.530764699
FZD1	-0.8710199
FZD7	-0.491660655
HIST2H2BE	0.310363352
PIP4K2B	0.859939516
NCK2	0.398805648
DYRK3	-0.473058343
DUSP11	-0.45809707
RAE1	-7.911672115
PIK3R3	0.114154421
NIPSNAP1	-0.140820742
IKBKAP	-4.518408775
HAT1	0.606875956
MAPKAPK5	0.325780392
BHLHE40	0.499468625
MKNK1	-0.581482649
CASK	0.534299254
AKR7A2	0.21268104
RUVBL1	-0.252545446
PSMG1	-0.038666911
BECN1	-0.327389091
MBTPS1	-0.060944587
EED	-0.111564904
CTNNAL1	-0.572409511
RNMT	-3.550065041
PEX11A	-0.098607108
CREG1	0.216072291
INPP4B	-0.318197966
IQGAP1	0.478592038
SOCS2	-0.188256681
CFLAR	0.423432082
CDK5R1	0.270938456
ST3GAL5	0.568439364
IER3	-0.422616661
SQSTM1	-0.078012526
SLC5A6	0.153110549
CPNE3	-0.591995955
CCNA1	-0.375175655
TIMELESS	-0.284399986
P4HA2	0.492683142
PLOD3	0.250735939
NOL3	0.816137969
SLC25A14	0.071889013
MPZL1	0.109364137
MAP7	-0.74633348
DNAJA3	0.094484739
USP14	-0.538147926
MTA1	0.812631607
PDLIM1	1.031916022
SMC3	-0.414844811
PRPF4	-0.246944532
CCNB2	1.563230634
CCNE2	0.020753499
SYNGR3	-0.027667917
LPAR2	0.281607211
ARHGEF2	-0.194666401
ZW10	2.513716459
AURKB	0.874252856
VAPB	0.156540185
NOLC1	-0.613841057
UBE2L6	-0.271533638
MAPKAPK2	-0.087465763
CYTH1	0.261127502
ITGB1BP1	0.663554728
BCL7B	-0.804131329
COPB2	-0.970365703
ADGRG1	4.933782578
TM9SF2	-1.066689014
MAP4K4	-1.166514397
HOMER2	-0.525241852
SH3BP5	-0.479051292
PIGB	0.130764261
PSMF1	-0.248040974
SPTLC2	-0.158849224
TBPL1	1.350631714
BAG3	0.02180586
POLR1C	0.102967724
SPAG7	2.042691469
FEZ2	-0.190645978
IKBKE	0.276679933
MTFR1	-0.109182514
HS2ST1	0.616933525
IPO13	-0.188346297
VGLL4	0.097209536
NUP93	0.614815533
UBE3C	-0.542952061
EDEM1	-0.123994358
TRAM2	0.046624713
CEP57	0.369358897
KIAA0100	1.736491799
HERPUD1	0.710084021
KIAA0355	0.252732426
USP6NL	-0.491122246
CCP110	0.49589932
MLEC	0.436898887
TATDN2	-0.252488494
MRPL19	0.258131355
SCRN1	0.211230248
EFCAB14	-1.054934978
KEAP1	-0.355920434
MELK	0.617467999
PLEKHM1	-0.116483003
C2CD5	-0.072906598
KIAA0753	0.178750396
C2CD2L	-0.467594385
TOMM70A	-0.122654237
KIAA0196	-1.108430147
KLHL21	-0.169152543
ARNT2	0.465871871
FAM20B	-0.835587025
NCAPD2	-0.45077154
PAN2	0.252885222
LPGAT1	-0.119197071
KIF14	0.581058383
OXSR1	-0.857597709
MVP	0.207453668
DMTF1	-0.211827159
GNPDA1	0.234971553
HDAC6	-0.44409737
PARP2	1.552844763
MAMLD1	0.733860195
DNAJB6	0.464167029
SMC4	-1.083144903
ABCC5	0.499012351
ABCB6	1.148567796
DNM1L	-0.387045473
TSPAN3	-0.175248191
KIF20A	0.716864645
ARL4C	0.194642514
TRAP1	-0.401063144
G3BP1	0.020037711
MBNL2	1.064324975
CEBPZ	1.122056961
SLC25A13	0.32222563
SORBS3	0.517293572
RBM6	0.395187795
TXNDC9	1.164555311
TRIM13	0.064982131
TRIB1	-0.219692409
MFSD10	0.616289973
SLC35B1	0.286660641
TIMM17B	0.030927196
AKAP8	0.209520042
STUB1	-0.017662607
NET1	0.694774747
SMNDC1	-0.398528963
PAK4	0.005040824
TNIP1	-0.500755906
IKZF1	-0.456866145
TMEM5	-0.11787498
HMG20B	-0.666575491
MYL9	-0.195873231
LYPLA1	-0.48066622
PPIE	0.181750685
VAV3	-0.284715444
LRRC41	0.220887348
CRTAP	0.477528393
VAT1	0.363049448
STK25	0.349480927
APPBP2	0.012886532
CHERP	0.179967374
HYOU1	0.338662535
RPP38	-1.621710539
SLC35A1	-0.610660672
DRAP1	-0.303196013
PAICS	-0.272210747
ST6GALNAC2	0.531955481
STAMBP	0.444142997
NPRL2	-0.11676053
IGF2BP2	-0.879571795
YKT6	0.585942566
CGRRF1	0.259316385
RRAGA	-0.476865709
GNB5	0.652161956
EBP	2.261602879
CNPY3	0.680669904
YME1L1	0.478061825
TCFL5	-0.124613613
KDM5B	0.214011222
POP4	1.016798735
ARPP19	0.141214564
ZNF274	0.293842852
MTHFD2	0.204058677
WASF3	1.149418354
UTP14A	-0.147980839
FRS2	0.671018004
CLPX	0.087610677
PGRMC1	0.137721539
MALT1	0.051282525
CPSF4	-0.089453563
BLCAP	-1.139035225
TCERG1	-0.030685246
RNPS1	0.699165821
TOMM34	0.422200382
PDIA5	0.304769605
MLLT11	-0.029887974
EBNA1BP2	0.37097311
TMED10	0.59730351
ASCC3	0.022925347
SLC27A3	0.531687081
KIF2C	-0.265174448
CCDC85B	0.340150118
TLK2	1.483655453
KDELR2	-0.467508465
RAB31	0.397874147
B4GAT1	-0.201719627
PAPD7	-0.627877355
UBE2C	0.042764872
DUSP14	0.637558818
TOPBP1	1.052012563
PRSS23	0.679762602
PWP1	-0.72962141
PKIG	-0.159509689
CORO1A	-0.896659434
LSM6	-0.036157183
PSIP1	-0.205418617
SLC2A6	0.111260429
NISCH	0.460545182
CHEK2	-1.546230316
PRAF2	-0.025571495
POLG2	-0.101391241
CHP1	-0.046507962
PNKP	-0.155671716
ECD	0.221629739
DDX42	-0.480945289
TWF2	-0.303498566
CASC3	-0.230012044
COG2	-1.376636982
ATF5	0.189512536
MTF2	0.792512715
PUF60	-0.825283825
RAB11FIP2	0.174996376
CLSTN1	-0.37768051
FOXJ3	0.531710744
KIAA0907	0.18612361
EPN2	-0.723347247
SACM1L	0.146314457
ATF6	-0.597751856
RPIA	-0.183537573
RAB21	0.038016438
SPEN	-1.028738976
FBXO21	0.276774645
RBM34	0.345427752
WDTC1	-0.431481779
XPO7	5.074227333
TBC1D9B	0.749538183
RRP1B	-0.206075609
MYCBP2	-0.009395391
CDK19	0.807106435
GPATCH8	0.071107239
MAST2	-0.277329028
DCUN1D4	-2.694320202
FCHO1	0.356778741
SNX13	0.225325108
ATP11B	-0.542980492
JMJD6	0.35882777
RRS1	0.220242456
RRP12	-0.704729319
SYNE2	-0.091988616
PDS5A	0.385144889
CAMSAP2	0.184912071
ATMIN	-0.346613497
TRIM2	-0.015009969
KIAA1033	0.224913895
USP22	-0.198405385
WDR7	-0.475394219
JADE2	0.213249117
ARHGEF12	-0.664848328
PPP1R13B	0.751877785
RRP8	-0.340626836
NUDCD3	1.132939458
SIRT3	0.859589696
SLC35A3	-0.542464912
ICMT	-0.886799455
MACF1	1.942260981
SUZ12	-0.066860281
KAT6B	-1.671699286
NNT	2.54932642
ADAT1	1.611301661
TMEM50A	0.124924161
KLHDC2	-0.231299371
ACOT9	0.457238257
SSBP2	0.027381971
NUP62	-0.317314774
ARFIP2	-0.556916952
LSM5	-0.145620346
PLA2G15	0.163197309
TMEM2	-0.526412308
ZNF318	-0.369832069
FBXO7	2.023722649
SPDEF	-0.760118365
BAMBI	-0.206507295
BACE2	0.32464087
COG4	0.371860206
MPC2	0.033013195
CLIC4	1.133610845
C2CD2	0.16983065
TIPARP	0.237153962
TSKU	-0.720225751
RNF167	0.152474403
LRP10	0.029669091
ZNF451	0.034303434
SENP6	-1.612833023
RAI14	0.414164096
KIF1BP	0.270239234
TES	0.172838017
PHGDH	-1.21329236
MYCBP	-0.071525812
CHIC2	0.871260285
TIMM9	0.172422081
AKAP8L	-0.497948855
ATP2C1	0.507057905
TRAPPC3	0.240747496
ATP5S	-0.095926009
TNFRSF21	-0.266439706
SESN1	0.717593729
HTATSF1	0.272959352
TMEM97	-0.696998358
BZW2	2.014256239
CHMP4A	0.288615644
GTPBP8	0.095898032
DNAJC15	1.253962278
PACSIN3	1.062628865
RBM15B	0.402540743
HOOK2	1.489382267
SNX11	0.300086945
TIMM22	-0.192288071
NENF	0.095767714
UBQLN2	-0.569862604
ERO1A	-0.357957363
DNTTIP2	-0.150721848
PIK3R4	0.210324556
HDGFRP3	0.331327707
COPS7A	0.315495253
NSDHL	-0.165278316
HEBP1	-0.852275729
MTERF3	0.988017917
AMDHD2	0.391764879
ISOC1	-2.74716115
MRPS16	0.104132414
FIS1	0.318210781
GOLT1B	-0.641716242
GLOD4	0.460567772
GMNN	0.304097146
LAP3	0.093773849
NOSIP	-0.144055605
DERA	0.226233989
SCCPDH	-0.492180943
MRPS2	-0.214866579
VPS28	-0.503207684
HSD17B11	-0.518324494
NUSAP1	0.460476547
SCAND1	-0.466019481
CD320	0.146104455
NGRN	0.077701293
SNX7	0.060297042
ATP6V1D	-0.040877163
ZNF589	0.385107875
PRKAG2	0.078955337
UBE2J1	1.508380651
EVL	-0.172285348
HACD3	-0.031477273
UFM1	-0.362773955
LSR	0.018955424
DHRS7	-0.910205126
CAB39	0.20012638
ARID4B	-0.496683955
NUDT9	-4.824330807
CYCS	-0.247725278
TERF2IP	0.272396207
GFOD1	0.721515059
KCTD5	0.049270198
TMCO1	-0.492655277
DHX29	0.171295643
EXOSC4	-0.916497111
DDIT4	0.318245977
PAF1	0.199470982
P4HTM	1.602580071
SLC35F2	-0.492057443
ZNF586	1.790637493
FBXL12	-0.620811045
TEX10	-0.147050917
YTHDF1	-0.787859321
TXNL4B	0.182753921
HERC6	0.289792508
PIH1D1	-0.132042274
PPP2R3C	0.913221955
FKBP14	0.378544629
CDCA4	0.494928181
PLEKHJ1	0.337647498
HEATR1	-0.272482723
ANO10	-0.368870437
UBR7	0.31886819
FAIM	0.114275619
ADI1	0.16723907
ABCF3	-0.143011451
ENOSF1	0.269907624
LRRC16A	0.279644221
ANKRD10	-0.654218435
STAP2	-0.419934958
IARS2	1.077926278
NUP133	0.659061432
CNDP2	-0.320822746
FAM63A	0.232922256
KDM3A	-0.792116225
PECR	-0.145188332
EAPP	0.037224196
CISD1	0.641228616
ZNF395	0.385893345
KLHL9	-0.446503937
NPDC1	-0.233338058
TM9SF3	0.032715678
PAK6	0.491728127
DUSP22	-0.191092908
ADCK3	0.376251131
CIAPIN1	-0.168083996
PLSCR3	-0.090355262
SCYL3	0.020049751
LYRM1	-0.164965972
ZMIZ1	0.064213201
MCOLN1	0.250654072
THAP11	0.187112182
ABHD6	-0.134410471
TRIB3	0.765945017
POLD4	-0.254196942
SQRDL	0.427822053
ENOPH1	0.399602652
PRUNE	0.833827019
SNX6	-0.571612775
FASTKD5	-0.05521071
ELAC2	0.23812142
ABHD4	0.680989981
MCUR1	-0.062104881
RBKS	0.300845444
ATG3	-0.160086632
NARFL	-0.844415188
ZDHHC6	-0.313467175
ACBD3	-0.346689582
CERK	-0.675768614
NT5DC2	0.070200622
ACD	0.451016605
INTS3	-1.492322803
TRAK2	0.193971366
METRN	0.330891311
ELOVL6	0.206466943
TMEM109	0.415086627
CCDC86	-1.095961571
TRAPPC6A	0.291333765
CHAC1	-0.037507385
MBOAT7	-0.479832798
PRR15L	0.143099353
CRELD2	0.009654457
FSD1	0.582119882
TCTN1	0.143724963
CHMP6	-0.10676188
NPEPL1	-0.27168256
FAM57A	-0.479129821
NUP85	-1.85056138
TCEAL4	0.38842994
DHDDS	0.454780877
DENND2D	1.407128215
FBXO11	0.247075617
CCDC92	0.614747882
COASY	0.418884397
WDR61	-0.078347594
TSEN2	0.907029688
PRR7	-0.12508373
ITFG1	0.285499752
GDPD5	-0.066134192
GRWD1	0.433187783
ARID5B	0.552748263
TUBB6	0.405248791
PSRC1	-0.210101694
ADO	-0.460358471
HIST1H2BK	-0.024120264
MICALL1	1.118359447
UBE3B	-0.287707001
HN1L	-0.711858034
SLC25A46	-0.338928312
COG7	0.134307623
MAPK1IP1L	0.100722618
TBC1D31	-0.416537046
H2AFV	-0.005082116
RPL39L	-0.032156348
CANT1	-0.103389934
WIPF2	-0.191127226
TICAM1	0.850412667
TXLNA	0.540048659
SPRED2	0.179675028
EML3	-0.590742111
TMEM110	-0.281666577
FAM69A	0.321648717
