Gene_Id	radicicol_HEPG2_6 h_10 µM
CSNK2A2	-0.244699985
CSRP1	-3.592550039
CTNND1	0.391799986
CTSD	-0.981949985
CTSL	0.257250011
CYB561	-0.238349974
DAG1	-1.397200108
DAXX	1.039999962
DCK	-1.917899966
DCTD	-0.57494998
DDB2	1.017850041
GADD45A	-1.263700008
DDX10	-2.363699913
DECR1	-0.042750001
DFFA	-0.905350029
DFFB	2.68295002
DLD	-0.448100001
DNM1	0.031950001
DNMT1	-2.554549932
DNMT3A	0.995699942
DPH2	1.06704998
DSG2	0.292250007
TSC22D3	-1.473850012
DUSP3	-1.29035008
DUSP4	-0.559249997
DUSP6	1.380949974
TOR1A	0.163599998
E2F2	-0.9824
ECH1	-0.640150011
EDN1	-1.448199987
EGF	-4.833749771
EGFR	0.934200048
EGR1	0.956049979
EIF4EBP1	0.365150005
EIF4G1	-0.060549997
EIF5	-0.984300017
ELAVL1	-1.274950027
CTTN	-1.174449921
EPB41L2	0.575100005
EPHA3	-0.325349987
EPHB2	0.798049986
EPRS	4.296700001
NR2F6	1.161049962
ERBB2	1.327450037
ERBB3	0.916299939
ETFB	0.158999979
ETS1	2.540600061
ETV1	1.049400091
EXT1	0.197300002
EZH2	4.113900185
FAH	-2.566649914
PTK2B	2.29885006
FAT1	-2.227100134
FDFT1	0.376999974
FGFR2	-2.640749931
FGFR4	1.078449965
FHL2	0.039600015
FKBP4	-1.692000031
FOXO3	0.546050012
FOS	0.215749994
FPGS	-1.696650028
FUT1	-0.345799983
FYN	-0.530300021
SLC37A4	-1.396600008
GAA	0.58585
GABPB1	-2.729899883
GALE	-0.154349983
GAPDH	1.872849941
GATA2	0.983550012
GATA3	1.894450068
GFPT1	0.103950001
GHR	0.914300025
GLI2	0.339300007
GLRX	-0.689499974
GNA11	0.925449967
GNA15	0.444599986
GNAI1	0.452749997
GNAI2	0.719150007
GNAS	0.714950025
SFN	1.901650071
GPC1	0.870900035
GPER1	0.375200003
GRB7	0.11445
GRB10	0.910950005
GRN	0.072049998
NR3C1	-0.404350013
CXCL2	0.505549967
GSTM2	-0.202899992
GSTZ1	3.020200014
MSH6	-2.034150124
GTF2A2	-2.447599888
GTF2E2	-2.855100155
HSD17B10	-0.711700022
HADH	-2.305749893
HDAC2	0.232850015
HIF1A	0.818300009
HK1	0.431650013
HLA-DMA	0.547450006
HLA-DRA	0.537899971
HMGCR	-0.657100022
HMGCS1	1.121249914
HMOX1	-0.467649996
HOXA5	-0.384600013
HOXA10	-0.157650054
HPRT1	-0.285600007
HES1	-0.692099988
DNAJB2	1.945850015
HSPA1A	-1.301650047
HSPA4	-3.096399784
HSPA8	0.371399999
HSPB1	0.007200003
HSPD1	-0.864750028
DNAJB1	-0.111550003
ICAM1	-0.304049999
ICAM3	-0.623600006
ID2	1.014000058
IDE	0.091049999
IFNAR1	-0.17719999
IGF1R	-0.072050005
IGF2R	0.980050027
IGFBP3	-2.11864996
IGHMBP2	-0.646499991
IKBKB	0.169450015
IL1B	1.041100025
IL4R	1.076499939
IL13RA1	0.179700002
ILK	1.332700014
INPP1	-2.548650026
INSIG1	-0.499050021
ITGAE	0.403899968
ITGB5	-2.912699938
JUN	1.407000065
KCNK1	1.827100039
KIF5C	-1.812700033
KIT	0.860799968
KTN1	0.928499937
LAMA3	-1.233099937
STMN1	0.174700022
LBR	1.092000008
LGALS8	1.202299953
LIG1	2.351300001
LIPA	-1.79095006
LOXL1	1.811950088
LRPAP1	1.14470005
LYN	-0.637400031
SMAD3	0.566599965
MAN2B1	0.480599999
MAT2A	0.450399995
MBNL1	0.428749979
MCM3	-5.376250267
ME2	1.215000033
MEF2C	-1.362400055
MAP3K4	-0.261900008
MEST	0.513700008
MIF	-2.774249792
FOXO4	-0.451550007
MMP1	-0.399849951
MMP2	-1.984950066
MNAT1	-2.675849915
MSRA	1.117449999
MUC1	-0.376900017
MYBL2	0.111799985
MYC	-0.126300007
GADD45B	-1.083299994
MYLK	0.801900029
MYO10	-0.299199969
NCK1	-0.930549979
NFATC3	-2.707049847
NFATC4	-3.196749926
NFE2L2	0.441300005
NFIL3	-1.768000007
NFKB2	3.105949879
NFKBIA	-2.455849886
NFKBIB	-1.131000042
NFKBIE	0.689149976
NIT1	-0.981850028
NMT1	-5.220300198
NOS3	0.404050022
CNOT4	-0.249699995
NOTCH1	-1.174000025
PNP	-0.661850035
NPC1	2.482300043
SLC11A2	-0.854499996
NRAS	-2.168050051
NUCB2	0.523849964
NUP88	-0.266049981
NVL	-1.431450009
ORC1	0.263800025
OXA1L	-0.220550001
OXCT1	-1.656599998
PAFAH1B1	-2.303600073
PAFAH1B3	-0.154500008
SERPINE1	-2.192399979
PAK1	-0.280800015
PCBD1	-0.513400018
PCCB	3.967350006
PCK2	0.673449993
PCM1	-1.112800002
PCMT1	0.342649996
PCNA	1.070250034
PDGFA	-0.932900012
PFKL	1.737999916
PGAM1	0.875849962
PGM1	-0.245099962
PHKA1	1.112600088
PHKB	-3.932700157
PHKG2	1.752650023
PIK3C2B	-3.549600124
PIK3C3	5.182250023
PIK3CA	6.399250031
PIN1	0.107749999
PLA2G4A	1.132699966
PLCB3	-0.080750003
PLK1	-0.975499988
PLP2	0.806699991
PLS1	0.059199989
PLSCR1	0.385299981
PMAIP1	-1.179050088
PMM2	1.757649899
POLB	2.109250069
POLE2	-0.356600016
POLR2I	1.035599947
POLR2K	0.259449989
PPARD	-1.156599998
PPARG	-2.107800007
PPIC	1.247300029
PPOX	0.605449975
PPP2R5A	-0.76789999
PPP2R5E	0.419200003
PRCP	0.701900005
PRKACA	-4.113800049
PRKCD	-0.048149999
PRKCH	-0.945449948
PRKCQ	0.157799989
MAPK9	-5.463299751
MAPK13	-2.124650002
MAP2K5	-0.524299979
PRKX	0.526849985
PROS1	-0.657700002
LGMN	-0.05400002
HTRA1	-2.084500074
PSMB8	0.62135005
PSMB10	0.870700002
PSMD2	-0.2667
PSMD4	-0.945450068
PSMD9	-1.456249952
PSMD10	0.721050024
PSME1	-0.46269998
PSME2	-1.394550085
PTGS2	0.644800007
PTK2	0.040250003
PTPN1	1.348150015
PTPN6	-1.059650064
PTPN12	-2.373000145
PTPRC	-1.359149933
PTPRF	1.693549991
PTPRK	1.188499928
PXMP2	-1.58404994
PXN	-0.594649971
PYCR1	0.437049985
PYGL	1.268700004
RAB4A	0.194399998
RAB27A	1.793599963
RAC2	1.245849967
RAD9A	3.822350025
RAD51C	-0.038450003
MOK	-0.35284999
RALA	-0.731249988
RALB	-0.558349967
RALGDS	-1.434949994
RAP1GAP	-0.544399977
RASA1	3.140300035
RB1	3.067200184
KDM5A	0.767549992
RELB	2.386350155
RFC2	0.949450016
RFC5	-1.857650042
RFNG	2.756299973
RFX5	4.712349892
RGS2	0.565199971
RHEB	-0.66989994
RNH1	-3.632249832
RPA1	0.006649993
RPA2	1.334500074
RPA3	0.054499999
MRPL12	0.09830001
RPN1	1.950099945
RPS5	0.437950015
RPS6	0.919849992
RPS6KA1	-0.366750002
RSU1	-0.111500002
RTN2	-1.147300005
S100A4	1.307600021
S100A13	0.117149994
SATB1	-0.438650012
SCP2	-1.060299993
CCL2	1.309649944
SDHB	0.577549994
SGCB	-0.741150022
SHB	-0.395350009
SHC1	1.316699982
SKIV2L	0.37165001
SKP1	0.549950004
SLC1A4	1.574299932
SMARCA4	1.452049971
SMARCC1	-0.410850018
SMARCD2	0.502650023
SNAP25	0.41080001
SNCA	-0.481000006
SOX2	0.02465
SOX4	0.484899998
SPAG4	-3.029299974
SPP1	-1.756299973
SPR	-0.169149995
SPTAN1	-0.882050037
SRC	-0.038949966
STAT1	1.35165
STAT3	0.044649988
STAT5B	1.150749922
AURKA	2.139199972
STK10	-0.438399971
STX1A	-0.952049971
STX4	0.306849986
STXBP1	-2.403899908
STXBP2	2.029999971
SUPV3L1	0.898150027
SUV39H1	-2.068300009
SYK	-0.880899966
SYPL1	-0.328700006
TARBP1	-1.79855001
TBP	-0.406050026
TBX2	0.669999957
TBXA2R	1.445600033
TCEA2	-1.060549974
VPS72	0.899800003
TCTA	-0.008000001
DYNLT3	-0.894050002
TERT	0.046350002
TESK1	-0.543599963
TFAP2A	-0.552049994
TFDP1	2.42234993
TGFB3	-1.644099951
TGFBR2	1.934599996
TIAM1	-0.866600037
TIMP2	1.32404995
TJP1	0.526650012
TLE1	0.113349989
TLR4	0.805450022
TSPAN6	0.936649978
TSPAN4	-3.516449928
TOP2A	1.124050021
TP53	1.091350079
TP53BP1	-0.466400027
TP53BP2	-0.02575
TPD52L2	-0.812699974
TPM1	-0.322849989
TSTA3	0.555649996
TXNRD1	0.659950018
UBE2A	-0.421400011
UGDH	3.866250038
NR1H2	-0.785849988
USP1	-0.21950002
VDAC1	3.926450014
WFS1	-0.664849997
WRB	0.400599986
XBP1	0.348750025
XPNPEP1	0.221250013
ZFP36	-2.504350185
ZNF131	0.521200001
ZMYM2	1.497349977
PAX8	-1.990149975
CXCR4	2.095299959
IFRD2	1.398400068
MAPKAPK3	1.098150015
USP7	-0.354149997
REEP5	-1.29399991
ST7	-0.179150015
KAT6A	-0.57889998
PDHX	-4.037549973
FOSL1	0.164700001
HMGA2	-0.311949968
NCOA3	-1.591750026
NRIP1	-2.928249836
SMC1A	0.485050023
LAGE3	1.310799956
AXIN1	-0.602050006
CDC45	-2.46085
FZD1	-0.377949983
FZD7	0.111200005
HIST2H2BE	0.452149987
PIP4K2B	-5.331299782
NCK2	-2.305500031
DYRK3	-1.275850058
DUSP11	-2.223550081
RAE1	-6.202199936
PIK3R3	-4.003349781
NIPSNAP1	1.740700006
IKBKAP	-0.397400022
HAT1	-1.021800041
MAPKAPK5	-1.719949961
BHLHE40	-6.530650139
MKNK1	0.621000051
CASK	0.831800044
AKR7A2	2.479599953
RUVBL1	0.289250016
PSMG1	0.549050033
BECN1	1.290250063
MBTPS1	0.19174996
EED	0.692649961
CTNNAL1	-0.890150011
RNMT	1.180099964
PEX11A	0.416949987
CREG1	0.429250002
INPP4B	0.580550015
IQGAP1	1.658200026
SOCS2	-1.457700014
CFLAR	-1.630849957
CDK5R1	-1.550400019
ST3GAL5	0.999049962
IER3	-0.634450078
SQSTM1	0.801249981
SLC5A6	0.397350013
CPNE3	1.305400014
CCNA1	0.509500027
TIMELESS	-3.705749989
P4HA2	0.603049994
PLOD3	0.873549998
NOL3	-0.979399979
SLC25A14	1.161800027
MPZL1	-1.641649961
MAP7	0.158299997
DNAJA3	-0.18824999
USP14	0.140900016
MTA1	1.809649944
PDLIM1	0.855399966
SMC3	1.254600048
PRPF4	1.957899928
CCNB2	-1.284999967
CCNE2	-2.974500179
SYNGR3	0.718250036
LPAR2	-1.961649895
ARHGEF2	1.84829998
ZW10	3.252350092
AURKB	-1.121600032
VAPB	0.414599985
NOLC1	1.634350061
UBE2L6	3.17840004
MAPKAPK2	-0.18599996
CYTH1	0.587549984
ITGB1BP1	-0.747449994
BCL7B	1.105550051
COPB2	0.5176
ADGRG1	-0.585449994
TM9SF2	-0.838799953
MAP4K4	0.065299988
HOMER2	1.250249982
SH3BP5	-0.50545001
PIGB	1.912100077
PSMF1	-0.32585001
SPTLC2	2.45965004
TBPL1	1.432699919
BAG3	-1.107900023
POLR1C	3.552549839
SPAG7	-0.513000011
FEZ2	-0.244000003
IKBKE	-0.625150025
MTFR1	-0.623749971
HS2ST1	-2.019299984
IPO13	-0.219900012
VGLL4	-0.574749947
NUP93	0.539000034
UBE3C	0.83829999
EDEM1	0.0546
TRAM2	-0.863700032
CEP57	-1.173699975
KIAA0100	0.461599976
HERPUD1	-0.17324999
KIAA0355	0.709849954
USP6NL	0.296649992
CCP110	-2.403600216
MLEC	0.369100004
TATDN2	0.032700002
MRPL19	0.224449992
SCRN1	0.037499994
EFCAB14	0.54794997
KEAP1	-2.703399897
MELK	-0.2104
PLEKHM1	1.030050039
C2CD5	-0.190149993
KIAA0753	-0.148950011
C2CD2L	0.87864995
TOMM70A	0.874300003
KIAA0196	-1.942450047
KLHL21	0.544949949
ARNT2	2.09980011
FAM20B	1.631300092
NCAPD2	-0.95480001
PAN2	0.095449999
LPGAT1	-0.112649977
KIF14	-1.52060008
OXSR1	1.549300075
MVP	0.983749986
DMTF1	-0.062450022
GNPDA1	-1.083849907
HDAC6	0.570000052
PARP2	1.201250076
MAMLD1	-2.710050106
DNAJB6	-0.322050005
SMC4	0.35285002
ABCC5	-0.769050002
ABCB6	1.366750002
DNM1L	-0.266749978
TSPAN3	1.007750034
KIF20A	0.521850049
ARL4C	0.502250016
TRAP1	0.560900033
G3BP1	0.753549993
MBNL2	-1.407250047
CEBPZ	-1.999000072
SLC25A13	-1.974950075
SORBS3	1.442700028
RBM6	0.512699962
TXNDC9	-0.552450001
TRIM13	1.203299999
TRIB1	2.198549986
MFSD10	-0.944099963
SLC35B1	-0.054199994
TIMM17B	-0.367650002
AKAP8	0.831349969
STUB1	-0.183500051
NET1	0.298900008
SMNDC1	-0.265149981
PAK4	-1.232949972
TNIP1	1.015599966
IKZF1	0.10225001
TMEM5	-1.736400008
HMG20B	-0.031700015
MYL9	-1.132750034
LYPLA1	-0.327749997
PPIE	-0.950049996
VAV3	-1.174950004
LRRC41	1.602949977
CRTAP	0.813899994
VAT1	3.293400049
STK25	-1.123649955
APPBP2	0.231849968
CHERP	0.094099998
HYOU1	0.934650004
RPP38	-0.279750019
SLC35A1	-1.574300051
DRAP1	-2.808700085
PAICS	-0.061800003
ST6GALNAC2	0.847700059
STAMBP	-1.593549967
NPRL2	-0.582300007
IGF2BP2	-0.138750002
YKT6	-0.263099998
CGRRF1	-1.109549999
RRAGA	-0.0854
GNB5	1.038599968
EBP	0.859649956
CNPY3	0.322100043
YME1L1	1.193150043
TCFL5	0.268000007
KDM5B	-1.335999966
POP4	-2.162849903
ARPP19	-1.504999995
ZNF274	-1.282449961
MTHFD2	-3.19295001
WASF3	-0.31129998
UTP14A	-0.477450013
FRS2	-0.076550007
CLPX	-2.261349916
PGRMC1	-1.48150003
MALT1	0.983949959
CPSF4	0.210700005
BLCAP	-1.004649997
TCERG1	-2.22055006
RNPS1	-0.899299979
TOMM34	-1.964599967
PDIA5	0.656450033
MLLT11	1.462550044
EBNA1BP2	3.396100044
TMED10	-1.246600032
ASCC3	0.273999989
SLC27A3	-0.061500005
KIF2C	0.232050002
CCDC85B	-2.347450018
TLK2	-0.154700011
KDELR2	0.886600018
RAB31	-0.224649996
B4GAT1	-1.84224999
PAPD7	0.957700014
UBE2C	0.559800029
DUSP14	0.496850014
TOPBP1	-1.950199962
PRSS23	0.253350019
PWP1	1.092749953
PKIG	-1.343950033
CORO1A	-0.405550003
LSM6	4.259400368
PSIP1	-2.151450157
SLC2A6	-0.65534997
NISCH	-0.518700063
CHEK2	1.831650138
PRAF2	-0.78944999
POLG2	-1.872600079
CHP1	0.743250012
PNKP	0.345050007
ECD	-0.081699997
DDX42	-2.2421
TWF2	0.858250022
CASC3	-1.081099987
COG2	-0.612849951
ATF5	-0.791149974
MTF2	1.661600113
PUF60	0.44325
RAB11FIP2	-0.1127
CLSTN1	-0.820549965
FOXJ3	-1.542500019
KIAA0907	-0.089600004
EPN2	-0.374300033
SACM1L	-0.937150002
ATF6	-0.998700023
RPIA	-0.005249977
RAB21	4.01485014
SPEN	-0.655200005
FBXO21	-1.171999931
RBM34	0.042300016
WDTC1	0.265450001
XPO7	-1.876199961
TBC1D9B	1.300999999
RRP1B	0.12530002
MYCBP2	-0.008849978
CDK19	0.330000013
GPATCH8	-0.490350008
MAST2	0.247999996
DCUN1D4	0.488149971
FCHO1	0.756399989
SNX13	-0.346099973
ATP11B	-1.506399989
JMJD6	-0.716500044
RRS1	0.004150003
RRP12	-0.140900001
SYNE2	1.185549974
PDS5A	-0.446400017
CAMSAP2	-2.339950085
ATMIN	0.0255
TRIM2	0.414850026
KIAA1033	1.454400063
USP22	1.844700098
WDR7	2.260149956
JADE2	-2.94904995
ARHGEF12	0.496800005
PPP1R13B	-0.627799988
RRP8	-1.791499972
NUDCD3	-2.277750015
SIRT3	-1.344700098
SLC35A3	-0.138799995
ICMT	0.851000011
MACF1	3.766149998
SUZ12	-1.85984993
KAT6B	0.023699999
NNT	-0.787799954
ADAT1	2.604099989
TMEM50A	0.575299978
KLHDC2	0.484600008
ACOT9	1.477599978
SSBP2	-0.365500033
NUP62	-1.28305006
ARFIP2	-0.408349991
LSM5	-3.286600113
PLA2G15	-0.165450007
TMEM2	-0.686249971
ZNF318	2.498349905
FBXO7	0.922049999
SPDEF	-0.204750001
BAMBI	0.145300001
BACE2	-1.450949907
COG4	1.01335001
MPC2	-0.363799989
CLIC4	0.294550002
C2CD2	0.154300004
TIPARP	-0.228950024
TSKU	0.93204999
RNF167	-1.539099932
LRP10	0.434399992
ZNF451	-0.631049991
SENP6	-0.111749999
RAI14	-0.605149984
KIF1BP	0.150900006
TES	0.496099979
PHGDH	1.487900019
MYCBP	1.580150008
CHIC2	0.181949973
TIMM9	-0.894449949
AKAP8L	0.261000007
ATP2C1	1.784250021
TRAPPC3	0.089850008
ATP5S	-2.963750124
TNFRSF21	-0.994000018
SESN1	-0.042100012
HTATSF1	3.533949852
TMEM97	0.135949999
BZW2	0.018250003
CHMP4A	0.555100024
GTPBP8	-1.645400047
DNAJC15	-1.69145
PACSIN3	0.0174
RBM15B	3.734799862
HOOK2	-1.603700042
SNX11	-0.211050004
TIMM22	1.336149931
NENF	-1.923399925
UBQLN2	-0.536600053
ERO1A	0.700150013
DNTTIP2	-3.868849754
PIK3R4	1.519000053
HDGFRP3	-1.825099945
COPS7A	-0.743799984
NSDHL	0.640799999
HEBP1	-1.78579998
MTERF3	0.378099978
AMDHD2	-0.774900019
ISOC1	-4.937849998
MRPS16	0.199999988
FIS1	2.526750088
GOLT1B	1.059800029
GLOD4	1.068750024
GMNN	0.83375001
LAP3	-0.434750021
NOSIP	-2.330500126
DERA	1.256000042
SCCPDH	0.680149972
MRPS2	2.050549984
VPS28	0.995550036
HSD17B11	-0.089399993
NUSAP1	0.280900002
SCAND1	1.165600061
CD320	-1.340149999
NGRN	-0.01485002
SNX7	0.786499977
ATP6V1D	-1.898900032
ZNF589	1.541849971
PRKAG2	-1.92750001
UBE2J1	-0.305999994
EVL	-0.329149961
HACD3	2.650150061
UFM1	3.928249836
LSR	0.518750012
DHRS7	-0.329549998
CAB39	0.029449999
ARID4B	1.292200089
NUDT9	-1.236799955
CYCS	-1.84284997
TERF2IP	-0.412499994
GFOD1	-0.938349962
KCTD5	1.108749986
TMCO1	1.721100092
DHX29	-0.642099977
EXOSC4	2.798349857
DDIT4	-0.324099988
PAF1	1.957849979
P4HTM	0.570299983
SLC35F2	-0.558799982
ZNF586	0.754649937
FBXL12	0.664350033
TEX10	0.841700017
YTHDF1	-0.447449982
TXNL4B	0.754299998
HERC6	0.725799978
PIH1D1	0.447049975
PPP2R3C	0.391049981
FKBP14	-0.435850024
CDCA4	-5.413700104
PLEKHJ1	-0.712900043
HEATR1	-2.510550022
ANO10	2.93930006
UBR7	-0.473250002
FAIM	0.012100011
ADI1	-0.573149979
ABCF3	2.901350021
ENOSF1	-4.257450104
LRRC16A	-2.372050047
ANKRD10	-0.24000001
STAP2	0.920000017
IARS2	-0.940250039
NUP133	-0.049299985
CNDP2	0.805050015
FAM63A	-2.154049873
KDM3A	-0.449999988
PECR	0.082049996
EAPP	1.37349999
CISD1	0.085650004
ZNF395	-2.102200031
KLHL9	-0.291149974
NPDC1	-0.101750001
TM9SF3	-1.032000065
PAK6	-1.980749965
DUSP22	0.373899996
ADCK3	0.083650008
CIAPIN1	0.661949992
PLSCR3	1.816900015
SCYL3	0.514150023
LYRM1	-0.61620003
ZMIZ1	-0.539250016
MCOLN1	0.625450015
THAP11	-0.134649992
ABHD6	-0.373449981
TRIB3	0.320249975
POLD4	1.655550003
SQRDL	-5.392099857
ENOPH1	-0.410549998
PRUNE	1.927400112
SNX6	-0.360049993
FASTKD5	0.258399993
ELAC2	-0.040300004
ABHD4	-0.045499999
MCUR1	-0.183149993
RBKS	-0.592999995
ATG3	-0.057950005
NARFL	0.828549981
ZDHHC6	-0.413149983
ACBD3	-0.725149989
CERK	-0.006099999
NT5DC2	2.584300041
ACD	1.050499916
INTS3	4.984700203
TRAK2	-1.168249965
METRN	-0.97724998
ELOVL6	0.104900002
TMEM109	0.501699984
CCDC86	0.599849999
TRAPPC6A	-1.483449936
CHAC1	1.459800005
MBOAT7	0.116299987
PRR15L	-1.349900007
CRELD2	0.093599997
FSD1	-2.177150011
TCTN1	-2.57434988
CHMP6	-1.529099941
NPEPL1	6.613549709
FAM57A	-0.350899994
NUP85	0.220200002
TCEAL4	-0.141849995
DHDDS	6.466199875
DENND2D	-0.481600016
FBXO11	0.043949991
CCDC92	-0.416500032
COASY	0.963700056
WDR61	-0.234449998
TSEN2	0.607900023
PRR7	-2.974299908
ITFG1	-1.191699982
GDPD5	0.97874999
GRWD1	1.203949928
ARID5B	-1.664799929
TUBB6	0.082199931
PSRC1	0.472600013
ADO	-2.013050079
HIST1H2BK	0.158600017
MICALL1	2.743350029
UBE3B	0.123099998
HN1L	1.099449992
SLC25A46	0.896499991
COG7	-3.047850132
MAPK1IP1L	0.100749999
TBC1D31	1.477049947
H2AFV	0.250999987
RPL39L	-1.171750069
CANT1	-1.2227
WIPF2	-0.40990001
TICAM1	0.845450044
TXLNA	-2.410349846
SPRED2	-0.685250044
EML3	-0.716099977
TMEM110	-0.888200045
FAM69A	0.286750019
