Gene_Id	brefeldin-a_HEPG2_6 h_100 nM
DSG2	0.141927227
TSC22D3	0.253403366
DUSP3	1.185148954
DUSP4	0.69420886
DUSP6	0.091824025
TOR1A	-1.42051661
E2F2	0.261481881
ECH1	-1.690685391
EDN1	-0.56997323
EGF	-0.547375202
EGFR	0.120358542
EGR1	-0.264448702
EIF4EBP1	-2.062848568
EIF4G1	0.990509868
EIF5	-2.896061182
ELAVL1	-0.375029087
CTTN	-0.908824384
EPB41L2	0.308045506
EPHA3	-1.297704577
EPHB2	0.086947739
EPRS	-0.220226645
NR2F6	-1.404789209
ERBB2	-1.241186857
ERBB3	0.005803682
ETFB	-0.286462218
ETS1	-0.934018254
ETV1	-0.38231957
EXT1	-0.703068137
EZH2	3.620550156
FAH	-0.841949522
PTK2B	0.081839956
FAT1	-0.294018239
FDFT1	-0.840924501
FGFR2	-0.372378945
FGFR4	0.612158537
FHL2	-0.196323961
FKBP4	0.017754776
FOXO3	-0.329623669
FOS	0.174554974
FPGS	-0.600471616
FUT1	0.490574658
FYN	0.679604948
SLC37A4	-0.742148221
GAA	-0.193902194
GABPB1	0.168341443
GALE	-0.184048563
GAPDH	1.662347913
GATA2	-0.737035334
GATA3	0.696004748
GFPT1	0.877930701
GHR	-1.082906365
GLI2	-0.1515885
GLRX	-0.954658508
GNA11	-0.617504597
GNA15	0.140444666
GNAI1	1.078681707
GNAI2	1.145619392
GNAS	3.719894886
SFN	-1.15771246
GPC1	0.479543269
GPER1	-0.169152915
GRB7	0.558012784
GRB10	0.595179439
GRN	0.74780333
NR3C1	-0.98466748
CXCL2	-0.294395447
GSTM2	-1.143244267
GSTZ1	3.453440189
MSH6	-0.735167384
GTF2A2	0.090129837
GTF2E2	-0.518668294
HSD17B10	-0.999263942
HADH	-0.224797413
HDAC2	0.49437201
HIF1A	-0.387056023
HK1	-0.580747187
HLA-DMA	0.283496171
HLA-DRA	-0.845948875
HMGCR	-0.043302581
HMGCS1	-0.10575413
HMOX1	-1.554206848
HOXA5	0.378315896
HOXA10	-0.552963138
HPRT1	0.205789372
HES1	-0.597139835
DNAJB2	-2.032746792
HSPA1A	-0.289070487
HSPA4	0.987691462
HSPA8	0.259294331
HSPB1	0.196378082
HSPD1	-0.374337554
DNAJB1	-0.300441682
ICAM1	0.130386204
ICAM3	-0.52830267
ID2	1.231098413
IDE	-0.290865779
IFNAR1	-0.036221556
IGF1R	1.458890915
IGF2R	0.200611755
IGFBP3	-1.078505158
IGHMBP2	-0.169461071
IKBKB	-0.724606514
IL1B	0.302440315
IL4R	-0.001475036
IL13RA1	0.626738191
ILK	0.77894938
INPP1	-0.54801625
INSIG1	2.382000208
ITGAE	0.573535383
ITGB5	-0.209079146
JUN	0.042489789
KCNK1	2.216189861
KIF5C	3.069175243
KIT	-0.683349967
KTN1	0.125296205
LAMA3	0.103559613
STMN1	0.333951175
LBR	0.471899509
LGALS8	0.02343614
LIG1	0.11445348
LIPA	2.78164506
LOXL1	1.472760916
LRPAP1	-0.882309496
LYN	-0.761484861
SMAD3	-0.351801515
MAN2B1	0.034569226
MAT2A	0.39257133
MBNL1	-0.001476102
MCM3	-0.034097485
ME2	0.16567044
MEF2C	-0.736067533
MAP3K4	-1.423236609
MEST	-0.188237175
MIF	3.16057229
FOXO4	-0.407190859
MMP1	2.102655888
MMP2	1.979554415
MNAT1	-1.690310717
MSRA	-1.628562212
MUC1	-0.402163237
MYBL2	0.412468612
MYC	1.097569942
GADD45B	-0.88782382
MYLK	-0.058486745
MYO10	0.416873008
NCK1	0.029706955
NFATC3	0.844026089
NFATC4	-0.413798153
NFE2L2	-0.190954119
NFIL3	-1.238121033
NFKB2	2.321211815
NFKBIA	-0.07859017
NFKBIB	-1.393357039
NFKBIE	-1.130304813
NIT1	-0.263629258
NMT1	0.11027284
NOS3	0.531772017
CNOT4	-1.237791896
NOTCH1	0.189364374
PNP	-0.770779967
NPC1	-1.018413424
SLC11A2	-1.602150202
NRAS	-0.716812551
NUCB2	-0.220544353
NUP88	-0.530988216
NVL	-0.695892572
ORC1	0.001067966
OXA1L	-0.411112934
OXCT1	-0.631724954
PAFAH1B1	0.792951822
PAFAH1B3	0.659032464
SERPINE1	0.00019076
PAK1	-0.468738109
PCBD1	-1.438994408
PCCB	3.113432884
PCK2	-0.839253545
PCM1	0.979618073
PCMT1	-0.030764522
PCNA	-0.974387825
PDGFA	0.696331441
PFKL	1.507718563
PGAM1	2.917178631
PGM1	0.889808834
PHKA1	-0.701535463
PHKB	-0.745878875
PHKG2	1.265496969
PIK3C2B	1.153799057
PIK3C3	4.352651119
PIK3CA	-0.420938134
PIN1	-0.347969472
PLA2G4A	0.355731755
PLCB3	-0.20125179
PLK1	0.701746345
PLP2	-1.177057743
PLS1	-0.224340752
PLSCR1	0.133942544
PMAIP1	-1.36079669
PMM2	-0.56083101
POLB	1.548709154
POLE2	-0.084795848
POLR2I	0.006081082
POLR2K	1.298209786
PPARD	-1.332877159
PPARG	-0.758987427
PPIC	-1.599192858
PPOX	-1.119057894
PPP2R5A	-0.192397833
PPP2R5E	0.306701362
PRCP	4.972261429
PRKACA	0.085158482
PRKCD	-0.051937148
PRKCH	-0.777032614
PRKCQ	-3.033608913
MAPK9	0.309513152
MAPK13	-1.247079253
MAP2K5	-0.872891247
PRKX	1.187956929
PROS1	-0.251365095
LGMN	0.037736006
HTRA1	-1.096237063
PSMB8	-1.218623638
PSMB10	-0.541413665
PSMD2	2.012175798
PSMD4	-0.309173584
PSMD9	-0.541321278
PSMD10	0.121625394
PSME1	0.47231251
PSME2	-0.899366438
PTGS2	0.338868499
PTK2	-0.298228532
PTPN1	-0.863942087
PTPN6	-0.564646184
PTPN12	-0.020077743
PTPRC	-0.530301273
PTPRF	-0.624417663
PTPRK	-0.81154716
PXMP2	-0.013318241
PXN	-1.40182519
PYCR1	0.338846713
PYGL	0.180385575
RAB4A	-0.328983814
RAB27A	1.534176588
RAC2	-1.608976364
RAD9A	-2.438529015
RAD51C	0.025806032
MOK	2.192872047
RALA	-0.305625021
RALB	-0.350323498
RALGDS	-0.315935045
RAP1GAP	0.871786475
RASA1	-0.022499159
RB1	-1.823463082
KDM5A	0.247065648
RELB	-3.203294992
RFC2	-2.605700731
RFC5	0.161927432
RFNG	-0.686385155
RFX5	0.01447922
RGS2	-0.527984917
RHEB	0.23284252
RNH1	-3.468696117
RPA1	-0.095284671
RPA2	-0.100595646
RPA3	-0.411529154
MRPL12	-0.207752615
RPN1	-0.025141902
RPS5	-0.638445616
RPS6	-0.472846597
RPS6KA1	-0.235854179
RSU1	-0.580992579
RTN2	0.338054299
S100A4	0.283084691
S100A13	-0.717396736
SATB1	-0.310603946
SCP2	0.044845596
CCL2	0.517930269
SDHB	-0.858618259
SGCB	-0.720537782
SHB	-1.037742972
SHC1	-0.397532344
SKIV2L	0.280694366
SKP1	0.452992857
SLC1A4	2.546164513
SMARCA4	-0.219909355
SMARCC1	-1.310105085
SMARCD2	-0.048445575
SNAP25	-1.334464073
SNCA	0.025144815
SOX2	-1.400814176
SOX4	0.696674049
SPAG4	-1.604981303
SPP1	-0.455861509
SPR	-0.563119709
SPTAN1	-0.628166914
SRC	1.17954433
STAT1	0.543915391
STAT3	-0.85039711
STAT5B	-0.576310575
AURKA	-0.948360085
STK10	-0.549920917
STX1A	-0.799863577
STX4	-0.168774635
STXBP1	-1.215187073
STXBP2	-1.289997697
SUPV3L1	0.040189803
SUV39H1	-0.547934175
SYK	-0.13503167
SYPL1	-0.366705984
TARBP1	0.135548845
TBP	1.128527403
TBX2	-0.09864369
TBXA2R	0.464984864
TCEA2	-0.529150367
VPS72	-0.859026432
TCTA	0.637398124
DYNLT3	-1.125239134
TERT	1.267133713
TESK1	-0.660479903
TFAP2A	-1.533696294
TFDP1	3.541247845
TGFB3	1.648492098
TGFBR2	1.0734694
TIAM1	-1.81171608
TIMP2	-0.246372521
TJP1	0.43254137
TLE1	0.268865943
TLR4	1.821807623
TSPAN6	-0.422261715
TSPAN4	-1.140561581
TOP2A	-0.114430934
TP53	-0.002268153
TP53BP1	-1.441931486
TP53BP2	0.337568104
TPD52L2	0.054332439
TPM1	-0.007881224
TSTA3	0.155508235
TXNRD1	-0.024977997
UBE2A	0.182275817
UGDH	-0.056496125
NR1H2	0.048545938
USP1	-0.374446034
VDAC1	2.999527931
WFS1	0.146169484
WRB	0.522854447
XBP1	0.052360833
XPNPEP1	-0.087517276
ZFP36	-0.51098597
ZNF131	0.221603096
ZMYM2	0.05503796
PAX8	-0.696565926
CXCR4	-0.407257915
IFRD2	2.343235016
MAPKAPK3	0.523426175
USP7	1.167037368
REEP5	0.113472454
ST7	-0.705553532
KAT6A	-2.185871601
PDHX	0.103417851
FOSL1	-0.681795657
HMGA2	-0.473083615
NCOA3	-0.23268573
NRIP1	-0.464171469
SMC1A	0.113344677
LAGE3	3.070916891
AXIN1	-0.484631836
CDC45	-1.248745441
FZD1	0.191804275
FZD7	1.266569734
HIST2H2BE	-0.135736644
PIP4K2B	-0.893629193
NCK2	0.340192854
DYRK3	-0.183191299
DUSP11	1.006789804
RAE1	-0.114340439
PIK3R3	-0.735730171
NIPSNAP1	0.149250835
IKBKAP	0.263130665
HAT1	0.305033684
MAPKAPK5	-0.615450919
BHLHE40	-1.023205042
MKNK1	0.470380306
CASK	0.370527804
AKR7A2	-0.323019803
RUVBL1	-0.32223779
PSMG1	-0.403648257
BECN1	0.64018625
MBTPS1	-0.180311278
EED	-0.490043521
CTNNAL1	-0.424025953
RNMT	2.557555437
PEX11A	1.13255918
CREG1	-2.12405777
INPP4B	0.912019551
IQGAP1	0.693463802
SOCS2	-0.956086934
CFLAR	-1.105490804
CDK5R1	0.327023685
ST3GAL5	0.11074578
IER3	-0.598940849
SQSTM1	1.270988822
SLC5A6	0.347486496
CPNE3	0.106973335
CCNA1	0.014802486
TIMELESS	-0.54065007
P4HA2	0.230764419
PLOD3	-0.358762234
NOL3	2.5947299
SLC25A14	3.553991318
MPZL1	-0.197538793
MAP7	-0.377961934
DNAJA3	-1.150411963
USP14	0.277767569
MTA1	1.458052397
PDLIM1	1.123265982
SMC3	-1.240223765
PRPF4	-0.185169876
CCNB2	-0.943698406
CCNE2	-0.468533516
SYNGR3	1.304333925
LPAR2	-0.544935226
ARHGEF2	0.185652569
ZW10	1.017442942
AURKB	1.097246647
VAPB	0.534438729
NOLC1	0.078463748
UBE2L6	4.168325424
MAPKAPK2	1.252893329
CYTH1	-0.492165118
ITGB1BP1	-0.18402338
BCL7B	3.092030048
COPB2	-0.368264914
ADGRG1	-0.248987421
TM9SF2	-0.276871562
MAP4K4	0.004612118
HOMER2	-1.828593493
SH3BP5	1.60380888
PIGB	0.682056487
PSMF1	0.452607632
SPTLC2	0.042578802
TBPL1	0.664320946
BAG3	0.05912298
POLR1C	3.278432846
SPAG7	-0.768875957
FEZ2	-0.744822085
IKBKE	-0.071348339
MTFR1	-0.332464635
HS2ST1	-1.139999866
IPO13	-0.039195001
VGLL4	0.100815326
NUP93	-0.105233915
UBE3C	-2.316808224
EDEM1	0.829665244
TRAM2	-0.517327487
CEP57	-0.741432548
KIAA0100	0.061284624
HERPUD1	0.182731062
KIAA0355	-0.973448455
USP6NL	0.192082748
CCP110	-0.033538163
MLEC	-0.001442313
TATDN2	-0.649999857
MRPL19	-0.491548538
SCRN1	-0.990707397
EFCAB14	0.490586996
KEAP1	-0.409755766
MELK	-0.023499131
PLEKHM1	0.651201487
C2CD5	-1.32439661
KIAA0753	0.291919827
C2CD2L	0.077424437
TOMM70A	-0.430653512
KIAA0196	-0.349286228
KLHL21	-0.374863595
ARNT2	1.299612284
FAM20B	0.520148575
NCAPD2	-0.240226164
PAN2	-0.238812059
LPGAT1	-0.004143804
KIF14	-0.327528805
OXSR1	0.884233713
MVP	-0.198321924
DMTF1	-2.029973507
GNPDA1	-1.089755058
HDAC6	-0.341369957
PARP2	-0.020203233
MAMLD1	0.14451921
DNAJB6	-0.285864949
SMC4	-1.205119967
ABCC5	-0.34162885
ABCB6	0.410965413
DNM1L	-0.45188266
TSPAN3	0.601567447
KIF20A	-0.476638973
ARL4C	0.246216059
TRAP1	-0.415025353
G3BP1	-0.148436189
MBNL2	-0.272455633
CEBPZ	0.182739064
SLC25A13	-1.966038585
SORBS3	-0.455841154
RBM6	-0.491854876
TXNDC9	-0.226347625
TRIM13	0.12002039
TRIB1	2.226295948
MFSD10	-1.445743322
SLC35B1	0.06062245
TIMM17B	0.353906691
AKAP8	0.909349322
STUB1	0.384294927
NET1	0.280831724
SMNDC1	1.718405485
PAK4	0.004272342
TNIP1	-0.880029798
IKZF1	2.123239279
TMEM5	-0.600848794
HMG20B	-1.457537651
MYL9	-0.150396973
LYPLA1	0.294234514
PPIE	0.238123238
VAV3	0.38739413
LRRC41	-0.148926735
CRTAP	-0.087804288
VAT1	1.886071444
STK25	-0.919944167
APPBP2	-0.12014319
CHERP	1.325442195
HYOU1	-2.376931667
RPP38	1.588680625
SLC35A1	-1.323169947
DRAP1	-0.403479427
PAICS	-0.144424319
ST6GALNAC2	0.168354377
STAMBP	-2.021650791
NPRL2	-0.019920468
IGF2BP2	-0.452877283
YKT6	0.706313252
CGRRF1	1.864736557
RRAGA	-0.36828813
GNB5	0.930582821
EBP	-1.13726902
CNPY3	-0.369382083
YME1L1	-0.092447467
TCFL5	0.249344945
KDM5B	-0.965103269
POP4	-0.223487169
ARPP19	-0.45902127
ZNF274	-0.199783131
MTHFD2	-1.193360329
WASF3	1.953968763
UTP14A	0.158368587
FRS2	0.291769862
CLPX	-1.641682386
PGRMC1	-0.372513741
MALT1	-0.106726423
CPSF4	0.488833427
BLCAP	0.232155472
TCERG1	-1.133617878
RNPS1	4.089962959
TOMM34	-0.837114811
PDIA5	0.014683694
MLLT11	-0.536858797
EBNA1BP2	0.455851734
TMED10	0.007567137
ASCC3	-0.195531502
SLC27A3	1.986277342
KIF2C	-0.759530783
CCDC85B	-0.839748144
TLK2	0.404251456
KDELR2	-0.032701448
RAB31	1.829355359
B4GAT1	-1.233745217
PAPD7	-1.112825632
UBE2C	0.466498256
DUSP14	4.938704491
TOPBP1	0.68393147
PRSS23	0.988901258
PWP1	0.540169239
PKIG	0.770839512
CORO1A	-0.630039215
LSM6	2.117576122
PSIP1	4.009933949
SLC2A6	-2.113755226
NISCH	-0.861805797
CHEK2	-0.063074209
PRAF2	0.539417505
POLG2	-0.823881805
CHP1	-0.170157731
PNKP	0.446334958
ECD	0.423977673
DDX42	1.451123476
TWF2	0.04158774
CASC3	-0.196859002
COG2	0.591512203
ATF5	-0.423099339
MTF2	-1.176039934
PUF60	-0.437482685
RAB11FIP2	-1.681484342
CLSTN1	-0.34208405
FOXJ3	-0.004156683
KIAA0907	-1.531713128
EPN2	-0.98368001
SACM1L	-1.592217803
ATF6	-0.081079774
RPIA	-0.352011383
RAB21	-0.05792284
SPEN	-0.578933716
FBXO21	-0.685193896
RBM34	-3.087475061
WDTC1	0.327284694
XPO7	-1.001969576
TBC1D9B	0.346568286
RRP1B	-0.487655759
MYCBP2	-1.392502546
CDK19	-0.500030816
GPATCH8	-0.486636728
MAST2	0.084239282
DCUN1D4	-0.670056105
FCHO1	-0.134433299
SNX13	0.208269894
ATP11B	-0.188681498
JMJD6	0.555757701
RRS1	-0.086171918
RRP12	-1.871667743
SYNE2	0.107155323
PDS5A	0.781224608
CAMSAP2	-0.880297601
ATMIN	0.032754064
TRIM2	0.282577932
KIAA1033	-0.061115861
USP22	-1.699183345
WDR7	1.228268147
JADE2	0.482125759
ARHGEF12	0.277487159
PPP1R13B	-0.427905142
RRP8	-1.162710905
NUDCD3	-0.327419847
SIRT3	0.343627214
SLC35A3	0.753721952
ICMT	-0.927610517
MACF1	0.004492313
SUZ12	-2.370013714
KAT6B	1.013314009
NNT	-0.193757385
ADAT1	-0.740555406
TMEM50A	-0.537763476
KLHDC2	-0.019160211
ACOT9	-0.26556927
SSBP2	1.340209961
NUP62	-0.603394508
ARFIP2	0.443674564
LSM5	2.295548677
PLA2G15	2.12208581
TMEM2	0.47890842
ZNF318	-0.526418984
FBXO7	0.455430269
SPDEF	0.274786651
BAMBI	-0.937465906
BACE2	-0.502515316
COG4	-0.186988384
MPC2	-0.436704487
CLIC4	-0.030282725
C2CD2	0.0223355
TIPARP	-0.169385612
TSKU	-0.891287923
RNF167	1.109323144
LRP10	-3.192039013
ZNF451	-0.931877494
SENP6	-0.185142964
RAI14	0.042940006
KIF1BP	-0.331818312
TES	0.547651649
PHGDH	1.880322218
MYCBP	-0.063427538
CHIC2	-0.108382493
TIMM9	-0.344078422
AKAP8L	-0.579676032
ATP2C1	0.318263203
TRAPPC3	-0.36094898
ATP5S	-0.689097464
TNFRSF21	-0.899654627
SESN1	-0.478494138
HTATSF1	3.195153952
TMEM97	3.397598982
BZW2	-1.183481336
CHMP4A	0.409670979
GTPBP8	1.433841705
DNAJC15	-0.380443454
PACSIN3	1.905461311
RBM15B	-0.490844876
HOOK2	-0.328974754
SNX11	-3.044386387
TIMM22	-0.127212718
NENF	-0.936699867
UBQLN2	2.400705814
ERO1A	-1.350705862
DNTTIP2	-0.915537655
PIK3R4	0.762795568
HDGFRP3	0.133270755
COPS7A	-0.819153845
NSDHL	-0.588002205
HEBP1	-0.797311723
MTERF3	-3.364245892
AMDHD2	0.292126626
ISOC1	0.175121248
MRPS16	-0.252672374
FIS1	-0.449636698
GOLT1B	-0.107938051
GLOD4	3.227004766
GMNN	0.079829887
LAP3	-2.144536018
NOSIP	-0.801162839
DERA	0.393268973
SCCPDH	0.337227404
MRPS2	0.309708476
VPS28	-0.511562347
HSD17B11	0.494415939
NUSAP1	1.427268863
SCAND1	-1.351006985
CD320	0.528860569
NGRN	-0.70216614
SNX7	0.533033967
ATP6V1D	-0.4564358
ZNF589	-2.033491373
PRKAG2	-0.243029639
UBE2J1	1.012348652
EVL	0.334950209
HACD3	-0.725102603
UFM1	-0.66573143
LSR	0.301000476
DHRS7	0.607693076
CAB39	-0.622083604
ARID4B	-0.74218601
NUDT9	-0.167813972
CYCS	-0.681757629
TERF2IP	0.727804422
GFOD1	0.191725701
KCTD5	0.160805017
TMCO1	0.6565696
DHX29	-1.323744655
EXOSC4	-0.451962262
DDIT4	-1.584556818
PAF1	2.620340109
P4HTM	-3.868347168
SLC35F2	0.321709275
ZNF586	0.150178671
FBXL12	-0.275494248
TEX10	0.204062551
YTHDF1	0.010816246
TXNL4B	-0.398966879
HERC6	-1.526891112
PIH1D1	-0.601584613
PPP2R3C	0.67811656
FKBP14	-0.563480854
CDCA4	-0.755212486
PLEKHJ1	-0.894952893
HEATR1	-0.031165615
ANO10	-0.162410975
UBR7	-3.671170473
FAIM	-0.744873047
ADI1	-1.648293614
ABCF3	1.038866997
ENOSF1	-1.149457216
LRRC16A	0.737919629
ANKRD10	0.538476467
STAP2	0.009745568
IARS2	-0.292531848
NUP133	1.322199702
CNDP2	0.437888205
FAM63A	-1.813857913
KDM3A	-1.44086349
PECR	0.991524696
EAPP	-0.882506371
CISD1	-1.173012137
ZNF395	1.559446931
KLHL9	-0.853082001
NPDC1	-0.200315326
TM9SF3	0.034149602
PAK6	1.111686111
DUSP22	-1.037953854
ADCK3	-1.813190103
CIAPIN1	-0.112043604
PLSCR3	2.682094574
SCYL3	-0.199085951
LYRM1	0.11374899
ZMIZ1	0.870563984
MCOLN1	-0.030906722
THAP11	-0.01199764
ABHD6	-0.191967309
TRIB3	0.430979073
POLD4	-1.212168455
SQRDL	-0.344725043
ENOPH1	-0.712640405
PRUNE	2.314677477
SNX6	0.264931172
FASTKD5	-1.360425472
ELAC2	0.405570149
ABHD4	2.019823074
MCUR1	0.676863551
RBKS	0.357478857
ATG3	0.570414245
NARFL	0.26583302
ZDHHC6	-0.520235002
ACBD3	-1.005781412
CERK	-0.534539044
NT5DC2	0.993273497
ACD	0.12824288
INTS3	-0.664833426
TRAK2	0.673268437
METRN	-0.630469203
ELOVL6	0.339187503
TMEM109	0.600272357
CCDC86	0.009327427
TRAPPC6A	-0.775037169
CHAC1	-0.046081081
MBOAT7	1.129850745
PRR15L	-0.254582405
CRELD2	0.164278954
FSD1	-0.088181749
TCTN1	-0.193382949
CHMP6	-0.709587276
NPEPL1	3.338765144
FAM57A	-1.128191113
NUP85	0.775709987
TCEAL4	-0.859763682
DHDDS	5.738879204
DENND2D	-0.066070043
FBXO11	0.715180516
CCDC92	0.337428689
COASY	-0.830557346
WDR61	1.265406251
TSEN2	-0.114171758
PRR7	-1.714599133
ITFG1	-0.375969142
GDPD5	0.210018903
GRWD1	-1.434388399
ARID5B	-0.433526456
TUBB6	-0.648739934
PSRC1	0.04749085
ADO	1.143255591
HIST1H2BK	0.262000889
MICALL1	1.282508612
UBE3B	-0.651114881
HN1L	-0.494012058
SLC25A46	-1.484001517
COG7	-3.726083755
MAPK1IP1L	0.274537891
TBC1D31	-0.744386613
H2AFV	0.400905877
RPL39L	0.340061456
CANT1	0.273267478
WIPF2	-0.332672596
TICAM1	-0.741026282
TXLNA	-0.915531814
SPRED2	-0.310472548
EML3	-2.999909878
TMEM110	-0.377301693
FAM69A	0.612340569
