ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-8878159	Transcriptional regulation by RUNX3	14/90	50/3250	2.32694228222624e-11	1.36231893613973e-09	5.56684756513454e-10	1499/6714/2033/9794/4851/4609/4088/7157/1387/2309/3845/1026/4193/6932	14
R-HSA-9006925	Intracellular signaling by second messengers	26/90	213/3250	2.7298780585382e-11	1.46503455808217e-09	5.98657468977676e-10	207/208/10000/1385/1956/2099/2931/3725/5594/2475/5515/5580/6714/7409/2534/3932/2308/8841/7157/2309/2885/5781/1026/2932/4193/1958	26
R-HSA-9616222	Transcriptional regulation of granulopoiesis	11/90	28/3250	5.7776392892251e-11	2.86215361712382e-09	1.16956260915488e-09	1051/1385/1869/2033/6774/4609/1026/2624/1050/2313/4602	11
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	11/90	37/3250	1.87582876358089e-09	8.62881231247209e-08	3.52599391650543e-08	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718/3091	11
R-HSA-2262752	Cellular responses to stress	23/90	206/3250	3.06799685567825e-09	1.31719331670453e-07	5.38245062399694e-08	545/1051/1869/3725/5594/2475/1432/367/2033/5970/6774/472/10524/7157/1387/4790/5241/5925/6667/1026/2932/4193/3091	23
R-HSA-8953897	Cellular responses to external stimuli	23/90	209/3250	4.09309415756936e-09	1.64747039842167e-07	6.73206275916013e-08	545/1051/1869/3725/5594/2475/1432/367/2033/5970/6774/472/10524/7157/1387/4790/5241/5925/6667/1026/2932/4193/3091	23
R-HSA-3700989	Transcriptional Regulation by TP53	23/90	217/3250	8.60479307964727e-09	3.25969808428991e-07	1.3320113126389e-07	207/208/10000/545/1020/1869/1874/3725/2475/5515/1432/2033/472/10524/7157/604/672/1387/983/1026/1647/4193/6872	23
R-HSA-5633007	Regulation of TP53 Activity	16/90	105/3250	1.33224036160231e-08	4.76645996039939e-07	1.94771982690397e-07	207/208/10000/545/1020/2475/5515/1432/2033/472/10524/7157/672/983/4193/6872	16
R-HSA-198323	AKT phosphorylates targets in the cytosol	7/90	13/3250	1.4824119330946e-08	5.02459623638382e-07	2.05320212339973e-07	207/208/10000/2931/1026/2932/4193	7
R-HSA-2559583	Cellular Senescence	15/90	93/3250	1.80188598745551e-08	5.80207287960674e-07	2.37090261507304e-07	1051/1869/3725/5594/1432/5970/6774/472/10524/7157/4790/5925/6667/1026/4193	15
R-HSA-389513	CTLA4 inhibitory signaling	8/90	20/3250	2.42860767799011e-08	7.447730212503e-07	3.04336801753146e-07	207/208/10000/5515/6714/2534/3932/5781	8
R-HSA-6804757	Regulation of TP53 Degradation	9/90	28/3250	2.87128819771883e-08	8.40504363332238e-07	3.43455526042922e-07	207/208/10000/2475/5515/472/7157/983/4193	9
R-HSA-388841	Costimulation by the CD28 family	11/90	47/3250	3.04549121080876e-08	8.52737539026452e-07	3.48454371946082e-07	207/208/10000/2475/5515/6714/7409/2534/3932/2885/5781	11
R-HSA-186712	Regulation of beta-cell development	9/90	29/3250	4.0696531013283e-08	1.00802176817516e-06	4.11908208636468e-07	207/208/10000/2033/2308/9794/4851/1387/3172	9
R-HSA-389356	CD28 co-stimulation	9/90	29/3250	4.0696531013283e-08	1.00802176817516e-06	4.11908208636468e-07	207/208/10000/2475/6714/7409/2534/3932/2885	9
R-HSA-6806003	Regulation of TP53 Expression and Degradation	9/90	29/3250	4.0696531013283e-08	1.00802176817516e-06	4.11908208636468e-07	207/208/10000/2475/5515/472/7157/983/4193	9
R-HSA-453279	Mitotic G1-G1/S phases	14/90	87/3250	5.86226383740343e-08	1.39825848566215e-06	5.71370744386299e-07	25/207/208/10000/1869/1874/5515/6714/4149/4609/5925/983/1026/4605	14
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	27/90	325/3250	6.83292952986857e-08	1.57157379186977e-06	6.42192624987648e-07	207/208/10000/1020/1385/1499/1956/2099/5594/2475/5515/5580/6714/6772/7409/2534/3932/1432/6774/5241/2885/3265/3845/5781/5771/6778/4208	27
R-HSA-1433557	Signaling by SCF-KIT	10/90	41/3250	8.87165806015632e-08	1.97011992784161e-06	8.05050640667542e-07	6714/6772/7409/2534/3932/6774/2885/3265/3845/5781	10
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	10/90	42/3250	1.1382040058418e-07	2.44334459920707e-06	9.98424566527897e-07	1051/1024/2033/8841/9612/5970/1387/4790/79718/1050	10
R-HSA-9614085	FOXO-mediated transcription	11/90	54/3250	1.42774304826904e-07	2.96602104221053e-06	1.21200598325046e-06	207/208/10000/2033/2308/4088/604/1387/2309/1026/1647	11
R-HSA-1227986	Signaling by ERBB2	10/90	44/3250	1.83391177342537e-07	3.69074744401855e-06	1.50815112946165e-06	207/208/10000/1956/5580/6714/2534/2885/3265/3845	10
R-HSA-449147	Signaling by Interleukins	27/90	342/3250	2.01394701316566e-07	3.93024811054147e-06	1.60601835180675e-06	207/1385/2625/3725/5594/5515/6772/7409/2534/3932/1432/2308/5970/6774/4609/4088/7157/604/2309/4790/2885/5781/5771/6778/1026/3091/4208	27
R-HSA-5621575	CD209 (DC-SIGN) signaling	7/90	18/3250	2.45506736342702e-07	4.6501864177853e-06	1.90020693763701e-06	2534/2033/5970/1387/4790/3265/3845	7
R-HSA-69202	Cyclin E associated events during G1/S transition 	9/90	36/3250	3.26194553845472e-07	6.00197979075668e-06	2.45259063041708e-06	207/208/10000/1869/1874/4149/4609/5925/1026	9
R-HSA-9018519	Estrogen-dependent gene expression	11/90	59/3250	3.72602335266919e-07	6.61446150553912e-06	2.7028691997136e-06	1655/2099/2625/3725/2033/10524/4609/1387/5241/6667/4602	11
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	7/90	19/3250	3.80023409479732e-07	6.61446150553912e-06	2.7028691997136e-06	25/5594/6714/367/8841/5925/4094	7
R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	10/90	48/3250	4.41351455722135e-07	6.76738898773941e-06	2.76535999825899e-06	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718	10
R-HSA-2644603	Signaling by NOTCH1 in Cancer	10/90	48/3250	4.41351455722135e-07	6.76738898773941e-06	2.76535999825899e-06	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718	10
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	10/90	48/3250	4.41351455722135e-07	6.76738898773941e-06	2.76535999825899e-06	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718	10
R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	10/90	48/3250	4.41351455722135e-07	6.76738898773941e-06	2.76535999825899e-06	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718	10
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	10/90	48/3250	4.41351455722135e-07	6.76738898773941e-06	2.76535999825899e-06	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718	10
R-HSA-1980143	Signaling by NOTCH1	11/90	61/3250	5.31881423188594e-07	7.89878778157974e-06	3.22768379436897e-06	1024/2033/8841/9794/9612/4851/55294/4609/1387/79718/3091	11
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	9/90	38/3250	5.39668730418492e-07	7.89878778157974e-06	3.22768379436897e-06	207/208/10000/1869/1874/4149/4609/5925/1026	9
R-HSA-186763	Downstream signal transduction	8/90	29/3250	6.74396345895267e-07	9.65136103903448e-06	3.94383828008928e-06	6714/6772/6774/2885/3265/3845/5781/6778	8
R-HSA-9009391	Extra-nuclear estrogen signaling	11/90	63/3250	7.48555701215127e-07	1.04797798170118e-05	4.28235527010942e-06	207/208/10000/1385/1956/2099/5594/6714/2309/3265/3845	11
R-HSA-166520	Signaling by NTRKs	13/90	91/3250	7.71318796481389e-07	1.05687086156173e-05	4.31869426921271e-06	1020/1385/5594/5515/6714/2534/1432/6774/2885/3265/3845/5781/4208	13
R-HSA-1912408	Pre-NOTCH Transcription and Translation	7/90	23/3250	1.6890289000784e-06	2.26611377427185e-05	9.26002686446489e-06	1869/3725/2033/9794/4851/7157/1387	7
R-HSA-69206	G1/S Transition	11/90	69/3250	1.93419985257883e-06	2.54209123481789e-05	1.03877543103052e-05	207/208/10000/1869/1874/5515/4149/4609/5925/983/1026	11
R-HSA-4420097	VEGFA-VEGFR2 Pathway	12/90	84/3250	2.14057767776532e-06	2.75706404896173e-05	1.1266198304028e-05	207/208/10000/1499/2475/5580/6714/7409/2534/1432/3265/3845	12
R-HSA-9006115	Signaling by NTRK2 (TRKB)	7/90	24/3250	2.33120084776794e-06	2.88710258838953e-05	1.1797575140526e-05	1020/6714/2534/2885/3265/3845/5781	7
R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	7/90	24/3250	2.33120084776794e-06	2.88710258838953e-05	1.1797575140526e-05	207/208/10000/1385/1956/5594/2309	7
R-HSA-199418	Negative regulation of the PI3K/AKT network	13/90	102/3250	2.93357152062124e-06	3.56456614958506e-05	1.45658963288046e-05	207/208/10000/1956/2099/5594/5515/6714/7409/2534/3932/2885/5781	13
R-HSA-8941326	RUNX2 regulates bone development	7/90	25/3250	3.16540065416938e-06	3.77503337275015e-05	1.54259291138859e-05	25/5594/6714/367/8841/5925/4094	7
R-HSA-1640170	Cell Cycle	23/90	299/3250	3.33775388574141e-06	3.90820636803176e-05	1.59701142858441e-05	25/207/208/10000/545/1869/1874/5594/5515/6714/4149/2033/472/10524/4609/7157/672/5925/983/1026/2932/4193/4605	23
R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK	6/90	17/3250	3.69596616157192e-06	4.25036108580771e-05	1.7368262037462e-05	1385/1956/5594/2885/3265/3845	6
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	14/90	121/3250	3.81579661734434e-06	4.31118073959606e-05	1.76167895537596e-05	1655/2099/367/2033/9612/8856/5970/7157/672/1387/1487/5241/10155/4193	14
R-HSA-2990846	SUMOylation	14/90	123/3250	4.64929386492736e-06	5.16231939485038e-05	2.10947997501241e-05	1655/2099/367/2033/9612/8856/5970/7157/672/1387/1487/5241/10155/4193	14
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	7/90	27/3250	5.58918992471408e-06	6.10074290087435e-05	2.49294822690191e-05	1956/2099/2033/4609/1387/1026/4605	7
R-HSA-194138	Signaling by VEGF	12/90	92/3250	5.73144543787747e-06	6.15175143665515e-05	2.51379185871819e-05	207/208/10000/1499/2475/5580/6714/7409/2534/1432/3265/3845	12
R-HSA-9614399	Regulation of localization of FOXO transcription factors	5/90	11/3250	5.90527692009495e-06	6.23442350252647e-05	2.54757416742664e-05	207/208/10000/2308/2309	5
R-HSA-186797	Signaling by PDGF	8/90	38/3250	6.26271633232635e-06	6.50514406131962e-05	2.65819878282103e-05	6714/6772/6774/2885/3265/3845/5781/6778	8
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	12/90	94/3250	7.20835787346753e-06	7.33126148394706e-05	2.99577536938013e-05	207/2625/6772/2308/6774/4609/7157/604/2309/6778/1026/3091	12
R-HSA-2871796	FCERI mediated MAPK activation	7/90	28/3250	7.28572569833248e-06	7.33126148394706e-05	2.99577536938013e-05	3725/4214/5594/7409/2885/3265/3845	7
R-HSA-389357	CD28 dependent PI3K/Akt signaling	6/90	20/3250	1.08234551051676e-05	0.000107235462888122	4.38196562962252e-05	207/208/10000/2475/2534/3932	6
R-HSA-1912422	Pre-NOTCH Expression and Processing	7/90	30/3250	1.19733544041144e-05	0.000115087167705219	4.70281005660423e-05	1869/3725/2033/9794/4851/7157/1387	7
R-HSA-375165	NCAM signaling for neurite out-growth	7/90	30/3250	1.19733544041144e-05	0.000115087167705219	4.70281005660423e-05	1385/5594/6714/2534/2885/3265/3845	7
R-HSA-1538133	G0 and Early G1	6/90	21/3250	1.4817562482634e-05	0.000140331032923769	5.73435080597289e-05	1869/1874/4149/4609/983/4605	6
R-HSA-1295596	Spry regulation of FGF signaling	5/90	13/3250	1.5741834324959e-05	0.00014692378703295	6.00375069601791e-05	5594/5515/6714/2885/5781	5
R-HSA-2559585	Oncogene Induced Senescence	6/90	22/3250	1.99234548205243e-05	0.000183295784348823	7.49002060921964e-05	1869/5594/7157/5925/6667/4193	6
R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	7/90	33/3250	2.34794671414526e-05	0.000211324045748095	8.63534021527031e-05	1869/1874/2033/7157/983/1026/1647	7
R-HSA-69242	S Phase	10/90	73/3250	2.3719943556853e-05	0.000211324045748095	8.63534021527031e-05	207/208/10000/1869/1874/4149/4609/5925/1026/2932	10
R-HSA-210745	Regulation of gene expression in beta cells	5/90	14/3250	2.39544337571598e-05	0.000211324045748095	8.63534021527031e-05	207/208/10000/2308/3172	5
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	6/90	23/3250	2.63591345571521e-05	0.000229395711551432	9.37380318533148e-05	1499/2033/10524/4609/1387/6932	6
R-HSA-187037	Signaling by NTRK1 (TRKA)	10/90	74/3250	2.68080480335389e-05	0.000230191772447987	9.40633264334697e-05	1385/5594/5515/6714/1432/6774/2885/3265/3845/4208	10
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	7/90	34/3250	2.89065717575747e-05	0.000244945160682606	0.000100092007470826	1499/2033/5970/5591/1387/4790/6778	7
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	9/90	61/3250	3.40033022793526e-05	0.000284378712941255	0.000116205750629804	545/1020/1432/472/10524/7157/672/4193/6872	9
R-HSA-9614657	FOXO-mediated transcription of cell death genes	5/90	15/3250	3.51500645158778e-05	0.000284378712941255	0.000116205750629804	2033/2308/604/1387/2309	5
R-HSA-9617828	FOXO-mediated transcription of cell cycle genes	5/90	15/3250	3.51500645158778e-05	0.000284378712941255	0.000116205750629804	2308/4088/2309/1026/1647	5
R-HSA-5654741	Signaling by FGFR3	7/90	35/3250	3.53265481914603e-05	0.000284378712941255	0.000116205750629804	5594/5515/6714/2885/3265/3845/5781	7
R-HSA-6807070	PTEN Regulation	9/90	62/3250	3.88818290290402e-05	0.0003091345419099	0.000126321731738272	207/208/10000/3725/5594/2475/8841/7157/1958	9
R-HSA-5654743	Signaling by FGFR4	7/90	36/3250	4.28747630966198e-05	0.000336723749197843	0.000137595516998138	5594/5515/6714/2885/3265/3845/5781	7
R-HSA-350054	Notch-HLH transcription pathway	6/90	25/3250	4.42220389955434e-05	0.000343120398953373	0.000140209381723346	8841/9794/9612/4851/1387/79718	6
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	11/90	95/3250	4.58050268366931e-05	0.000351171872414647	0.000143499457508437	207/1956/2099/5594/5515/6714/7409/2534/3932/2885/5781	11
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	10/90	79/3250	4.79685366879563e-05	0.000363432207376987	0.000148509401510701	3725/4214/5594/7409/2534/5970/4790/2885/3265/3845	10
R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	5/90	16/3250	5.00156976014312e-05	0.000374536154131648	0.000153046810285897	1874/2033/7157/983/1647	5
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	7/90	37/3250	5.16987061711893e-05	0.000378825516524046	0.000154799573604138	1051/3725/5594/5970/6774/4790/1026	7
R-HSA-1989781	PPARA activates gene expression	8/90	50/3250	5.23532157929194e-05	0.000378825516524046	0.000154799573604138	1024/2033/8841/9612/1387/6667/79718/9575	8
R-HSA-400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	8/90	50/3250	5.23532157929194e-05	0.000378825516524046	0.000154799573604138	1024/2033/8841/9612/1387/6667/79718/9575	8
R-HSA-69278	Cell Cycle, Mitotic	18/90	236/3250	5.48271251697792e-05	0.000392318540103754	0.000160313231490583	25/207/208/10000/1869/1874/5594/5515/6714/4149/2033/4609/7157/5925/983/1026/2932/4605	18
R-HSA-5218920	VEGFR2 mediated vascular permeability	6/90	26/3250	5.6218215835567e-05	0.000397851988990167	0.000162574366210431	207/208/10000/1499/2475/7409	6
R-HSA-400253	Circadian Clock	8/90	51/3250	6.06996801071122e-05	0.000424897760749786	0.000173626087262907	1385/2033/8841/1387/79718/9575/3091/4208	8
R-HSA-9013694	Signaling by NOTCH4	7/90	38/3250	6.19584458122226e-05	0.000429045581753456	0.000175321012485067	207/2033/9794/4851/55294/4088/1387	7
R-HSA-6804758	Regulation of TP53 Activity through Acetylation	5/90	17/3250	6.93155857013726e-05	0.000469886707280884	0.000192009932690783	207/208/10000/2033/7157	5
R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	5/90	17/3250	6.93155857013726e-05	0.000469886707280884	0.000192009932690783	2033/9794/4851/4088/1387	5
R-HSA-5654736	Signaling by FGFR1	7/90	39/3250	7.38270592423106e-05	0.000495256522417167	0.000202376807133527	5594/5515/6714/2885/3265/3845/5781	7
R-HSA-69231	Cyclin D associated events in G1	7/90	40/3250	8.74910352486838e-05	0.000574941088777065	0.000234938333106025	25/1869/1874/5515/6714/5925/1026	7
R-HSA-69236	G1 Phase	7/90	40/3250	8.74910352486838e-05	0.000574941088777065	0.000234938333106025	25/1869/1874/5515/6714/5925/1026	7
R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	5/90	18/3250	9.3890351019521e-05	0.000610761475318904	0.00024957562737778	6772/2033/9794/4851/1387	5
R-HSA-5688426	Deubiquitination	12/90	121/3250	9.5558203207473e-05	0.000615394828656126	0.000251468955809139	2099/2625/367/2033/4609/4088/7157/672/983/4193/3091/3607	12
R-HSA-210990	PECAM1 interactions	4/90	10/3250	0.000101716361119725	0.000635974141369929	0.000259878285947176	6714/2534/3932/5781	4
R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	4/90	10/3250	0.000101716361119725	0.000635974141369929	0.000259878285947176	8841/6774/55294/7157	4
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	4/90	10/3250	0.000101716361119725	0.000635974141369929	0.000259878285947176	2885/3265/3845/5781	4
R-HSA-5621481	C-type lectin receptors (CLRs)	9/90	70/3250	0.000103886429225465	0.000643296734819226	0.000262870519295205	5580/6714/2534/2033/5970/1387/4790/3265/3845	9
R-HSA-109582	Hemostasis	20/90	299/3250	0.000129608249950659	0.000794930599697377	0.000324832706643256	25/207/1020/2625/5594/5515/5580/6714/7409/2534/3932/1432/7157/2885/3265/3845/5781/2624/3660/4602	20
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	6/90	30/3250	0.000132599589692712	0.000805605054359497	0.000329194611948144	1385/3725/5594/5515/1432/4208	6
R-HSA-8878171	Transcriptional regulation by RUNX1	10/90	90/3250	0.000148216892730259	0.000892071765591468	0.00036452752761992	25/2099/2625/6714/2033/1387/5781/2624/1997/4602	10
R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	4/90	11/3250	0.000156465552090942	0.00091603468678697	0.000374319502609909	1869/1874/983/4605	4
R-HSA-389359	CD28 dependent Vav1 pathway	4/90	11/3250	0.000156465552090942	0.00091603468678697	0.000374319502609909	7409/2534/3932/2885	4
R-HSA-6804759	Regulation of TP53 Activity through Association with Co-factors	4/90	11/3250	0.000156465552090942	0.00091603468678697	0.000374319502609909	207/208/10000/7157	4
R-HSA-167044	Signalling to RAS	5/90	20/3250	0.000162599535448888	0.000943370277739495	0.000385489652557819	6714/1432/2885/3265/3845	5
R-HSA-201681	TCF dependent signaling in response to WNT	11/90	110/3250	0.000177639954064282	0.00102142973586962	0.000417387110113444	207/208/1499/5515/2033/10524/4609/1387/1487/2932/6932	11
R-HSA-1236394	Signaling by ERBB4	7/90	45/3250	0.000190251735612362	0.00108426652862266	0.000443064125785659	1956/2099/6714/5241/2885/3265/3845	7
R-HSA-5654738	Signaling by FGFR2	7/90	46/3250	0.000219398318709315	0.0011992399566739	0.000490045748886034	5594/5515/6714/2885/3265/3845/5781	7
R-HSA-6806834	Signaling by MET	7/90	46/3250	0.000219398318709315	0.0011992399566739	0.000490045748886034	6714/6774/2885/3265/3845/5781/5771	7
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	9/90	77/3250	0.000219736513800498	0.0011992399566739	0.000490045748886034	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	9/90	77/3250	0.000219736513800498	0.0011992399566739	0.000490045748886034	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-975871	MyD88 cascade initiated on plasma membrane	9/90	77/3250	0.000219736513800498	0.0011992399566739	0.000490045748886034	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-187687	Signalling to ERKs	6/90	33/3250	0.000231324652261265	0.00124144230046879	0.000507290904081722	5594/6714/1432/2885/3265/3845	6
R-HSA-3899300	SUMOylation of transcription cofactors	6/90	33/3250	0.000231324652261265	0.00124144230046879	0.000507290904081722	1655/2033/9612/1387/1487/10155	6
R-HSA-1250196	SHC1 events in ERBB2 signaling	5/90	22/3250	0.000264327857053876	0.00139530442575981	0.000570163626086877	1956/5580/2885/3265/3845	5
R-HSA-2424491	DAP12 signaling	5/90	22/3250	0.000264327857053876	0.00139530442575981	0.000570163626086877	2534/3932/2885/3265/3845	5
R-HSA-171007	p38MAPK events	4/90	13/3250	0.00032486025713931	0.00164732287872217	0.000673145994901182	6714/1432/3265/3845	4
R-HSA-179812	GRB2 events in EGFR signaling	4/90	13/3250	0.00032486025713931	0.00164732287872217	0.000673145994901182	1956/2885/3265/3845	4
R-HSA-210744	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	4/90	13/3250	0.00032486025713931	0.00164732287872217	0.000673145994901182	2033/9794/4851/1387	4
R-HSA-6804760	Regulation of TP53 Activity through Methylation	4/90	13/3250	0.00032486025713931	0.00164732287872217	0.000673145994901182	2033/472/7157/4193	4
R-HSA-8941856	RUNX3 regulates NOTCH signaling	4/90	13/3250	0.00032486025713931	0.00164732287872217	0.000673145994901182	2033/9794/4851/1387	4
R-HSA-109606	Intrinsic Pathway for Apoptosis	7/90	49/3250	0.000329093815704472	0.00164958992480964	0.000674072378559022	207/208/10000/1869/5594/6774/7157	7
R-HSA-2172127	DAP12 interactions	5/90	23/3250	0.000330430279969633	0.00164958992480964	0.000674072378559022	2534/3932/2885/3265/3845	5
R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	9/90	82/3250	0.000356223796155055	0.00175575587933813	0.000717455001364061	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-5683057	MAPK family signaling cascades	15/90	203/3250	0.000357149099679029	0.00175575587933813	0.000717455001364061	1956/3725/5594/5515/6714/2534/2308/4609/2309/369/2885/3265/3845/5781/983	15
R-HSA-3371556	Cellular response to heat stress	7/90	50/3250	0.000374144611038912	0.00181510509200241	0.000741706886238317	545/5594/2475/2033/472/1387/2932	7
R-HSA-168249	Innate Immune System	24/90	427/3250	0.000376706588609113	0.00181510509200241	0.000741706886238317	25/1385/1499/3725/4214/5594/5515/5580/6714/7409/2534/3932/1432/2033/5970/5591/1387/4790/2885/3265/3845/5781/6778/4208	24
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	6/90	36/3250	0.000380495632640257	0.00181510509200241	0.000741706886238317	1874/1024/9612/4609/4088/6667	6
R-HSA-9012852	Signaling by NOTCH3	6/90	36/3250	0.000380495632640257	0.00181510509200241	0.000741706886238317	1956/6772/2033/9794/4851/1387	6
R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	9/90	83/3250	0.000390557217715147	0.0018359040015223	0.000750205950278807	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-975155	MyD88 dependent cascade initiated on endosome	9/90	83/3250	0.000390557217715147	0.0018359040015223	0.000750205950278807	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	5/90	24/3250	0.000408341288963323	0.00189188338195957	0.000773080819695803	1385/5594/5515/1432/4208	5
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	5/90	24/3250	0.000408341288963323	0.00189188338195957	0.000773080819695803	472/10524/7157/5925/1026	5
R-HSA-190236	Signaling by FGFR	7/90	51/3250	0.000424010850050789	0.00191223762740356	0.00078139818053431	5594/5515/6714/2885/3265/3845/5781	7
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	9/90	84/3250	0.000427581084388375	0.00191223762740356	0.00078139818053431	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	9/90	84/3250	0.000427581084388375	0.00191223762740356	0.00078139818053431	1385/3725/4214/5594/5515/1432/5970/4790/4208	9
