,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_time_unit,pert_itime,distil_id
41865,CPC001_VCAP_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC001_VCAP_6H_X1.A2_F1B5_DUO52HI53LO:A03|CPC001_VCAP_6H_X1_F1B5_DUO52HI53LO:A03|CPC001_VCAP_6H_X2_B5_DUO52HI53LO:A03|CPC001_VCAP_6H_X3_F1B5_DUO52HI53LO:A03|CPC001_VCAP_6H_X4_B5_DUO52HI53LO:A03|CPC001_VCAP_6H_X5_B5_DUO52HI53LO:A03
41986,CPC001_VCAP_6H:BRD-K09668667-001-02-0:10,BRD-K09668667,benzo(a)pyrene,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC001_VCAP_6H_X1.A2_F1B5_DUO52HI53LO:L20|CPC001_VCAP_6H_X1_F1B5_DUO52HI53LO:L20|CPC001_VCAP_6H_X2_B5_DUO52HI53LO:L20|CPC001_VCAP_6H_X3_F1B5_DUO52HI53LO:L20|CPC001_VCAP_6H_X4_B5_DUO52HI53LO:L20|CPC001_VCAP_6H_X5_B5_DUO52HI53LO:L20
42985,CPC002_HCC515_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC002_HCC515_24H_X1_B3_DUO52HI53LO:A03|CPC002_HCC515_24H_X2_B3_DUO52HI53LO:A03|CPC002_HCC515_24H_X3_B3_DUO52HI53LO:A03
43226,CPC002_HCC515_24H:BRD-K60476892-001-02-1:10,BRD-K60476892,YC-1,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC002_HCC515_24H_X1_B3_DUO52HI53LO:B11|CPC002_HCC515_24H_X2_B3_DUO52HI53LO:B11|CPC002_HCC515_24H_X3_B3_DUO52HI53LO:B11
43327,CPC002_HCC515_24H:BRD-K97399794-001-08-8:10,BRD-K97399794,quercetin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC002_HCC515_24H_X1_B3_DUO52HI53LO:E02|CPC002_HCC515_24H_X2_B3_DUO52HI53LO:E02|CPC002_HCC515_24H_X3_B3_DUO52HI53LO:E02
43364,CPC002_HCC515_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC002_HCC515_6H_X1_B3_DUO52HI53LO:A03|CPC002_HCC515_6H_X2_B3_DUO52HI53LO:A03|CPC002_HCC515_6H_X3_B3_DUO52HI53LO:A03
43606,CPC002_HCC515_6H:BRD-K60476892-001-02-1:10,BRD-K60476892,YC-1,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC002_HCC515_6H_X1_B3_DUO52HI53LO:B11|CPC002_HCC515_6H_X2_B3_DUO52HI53LO:B11|CPC002_HCC515_6H_X3_B3_DUO52HI53LO:B11
43707,CPC002_HCC515_6H:BRD-K97399794-001-08-8:10,BRD-K97399794,quercetin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC002_HCC515_6H_X1_B3_DUO52HI53LO:E02|CPC002_HCC515_6H_X2_B3_DUO52HI53LO:E02|CPC002_HCC515_6H_X3_B3_DUO52HI53LO:E02
44505,CPC002_VCAP_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC002_VCAP_24H_X1_B3_DUO52HI53LO:A03|CPC002_VCAP_24H_X2_B3_DUO52HI53LO:A03|CPC002_VCAP_24H_X3_B3_DUO52HI53LO:A03
44743,CPC002_VCAP_24H:BRD-K60476892-001-02-1:10,BRD-K60476892,YC-1,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC002_VCAP_24H_X1_B3_DUO52HI53LO:B11|CPC002_VCAP_24H_X2_B3_DUO52HI53LO:B11|CPC002_VCAP_24H_X3_B3_DUO52HI53LO:B11
44842,CPC002_VCAP_24H:BRD-K97399794-001-08-8:10,BRD-K97399794,quercetin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC002_VCAP_24H_X1_B3_DUO52HI53LO:E02|CPC002_VCAP_24H_X2_B3_DUO52HI53LO:E02|CPC002_VCAP_24H_X3_B3_DUO52HI53LO:E02
44880,CPC002_VCAP_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC002_VCAP_6H_X1_F1B5_DUO52HI53LO:A03|CPC002_VCAP_6H_X2_F1B5_DUO52HI53LO:A03|CPC002_VCAP_6H_X4_B5_DUO52HI53LO:A03|CPC002_VCAP_6H_X5_B5_DUO52HI53LO:A03
45122,CPC002_VCAP_6H:BRD-K60476892-001-02-1:10,BRD-K60476892,YC-1,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC002_VCAP_6H_X1_F1B5_DUO52HI53LO:B11|CPC002_VCAP_6H_X2_F1B5_DUO52HI53LO:B11|CPC002_VCAP_6H_X4_B5_DUO52HI53LO:B11|CPC002_VCAP_6H_X5_B5_DUO52HI53LO:B11
45221,CPC002_VCAP_6H:BRD-K97399794-001-08-8:10,BRD-K97399794,quercetin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC002_VCAP_6H_X1_F1B5_DUO52HI53LO:E02|CPC002_VCAP_6H_X2_F1B5_DUO52HI53LO:E02|CPC002_VCAP_6H_X4_B5_DUO52HI53LO:E02|CPC002_VCAP_6H_X5_B5_DUO52HI53LO:E02
46026,CPC003_HCC515_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC003_HCC515_24H_X1_B3_DUO52HI53LO:A03|CPC003_HCC515_24H_X2_B3_DUO52HI53LO:A03|CPC003_HCC515_24H_X3_B3_DUO52HI53LO:A03
46403,CPC003_HCC515_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC003_HCC515_6H_X1_B3_DUO52HI53LO:A03|CPC003_HCC515_6H_X2_B3_DUO52HI53LO:A03|CPC003_HCC515_6H_X3_B3_DUO52HI53LO:A03
47542,CPC003_VCAP_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC003_VCAP_24H_X1_B3_DUO52HI53LO:A03|CPC003_VCAP_24H_X3_B3_DUO52HI53LO:A03
47913,CPC003_VCAP_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC003_VCAP_6H_X1_F2B4_DUO52HI53LO:A03|CPC003_VCAP_6H_X2_B5_DUO52HI53LO:A03|CPC003_VCAP_6H_X3_B5_DUO52HI53LO:A03|CPC003_VCAP_6H_X4_B5_DUO52HI53LO:A03|CPC003_VCAP_6H_X5_F1B5_DUO52HI53LO:A03
49432,CPC004_HCC515_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC004_HCC515_24H_X1_B3_DUO52HI53LO:A03|CPC004_HCC515_24H_X2_B3_DUO52HI53LO:A03|CPC004_HCC515_24H_X3_B3_DUO52HI53LO:A03
49466,CPC004_HCC515_24H:BRD-A48237631-001-03-0:10,BRD-A48237631,mitomycin-c,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC004_HCC515_24H_X1_B3_DUO52HI53LO:D05|CPC004_HCC515_24H_X2_B3_DUO52HI53LO:D05|CPC004_HCC515_24H_X3_B3_DUO52HI53LO:D05
49676,CPC004_HCC515_24H:BRD-K55468218-001-16-2:10,BRD-K55468218,spiperone,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC004_HCC515_24H_X1_B3_DUO52HI53LO:E14|CPC004_HCC515_24H_X2_B3_DUO52HI53LO:E14|CPC004_HCC515_24H_X3_B3_DUO52HI53LO:E14
49806,CPC004_HCC515_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC004_HCC515_6H_X1_B3_DUO52HI53LO:A03|CPC004_HCC515_6H_X2_B3_DUO52HI53LO:A03|CPC004_HCC515_6H_X3_B3_DUO52HI53LO:A03
49841,CPC004_HCC515_6H:BRD-A48237631-001-03-0:10,BRD-A48237631,mitomycin-c,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC004_HCC515_6H_X1_B3_DUO52HI53LO:D05|CPC004_HCC515_6H_X2_B3_DUO52HI53LO:D05|CPC004_HCC515_6H_X3_B3_DUO52HI53LO:D05
50052,CPC004_HCC515_6H:BRD-K55468218-001-16-2:10,BRD-K55468218,spiperone,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC004_HCC515_6H_X1_B3_DUO52HI53LO:E14|CPC004_HCC515_6H_X2_B3_DUO52HI53LO:E14|CPC004_HCC515_6H_X3_B3_DUO52HI53LO:E14
50187,CPC004_HEPG2_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A03|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A03|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A03
50222,CPC004_HEPG2_6H:BRD-A48237631-001-03-0:10,BRD-A48237631,mitomycin-c,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D05|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D05|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D05
50433,CPC004_HEPG2_6H:BRD-K55468218-001-16-2:10,BRD-K55468218,spiperone,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:E14|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E14|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E14
52090,CPC004_VCAP_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC004_VCAP_24H_X1_F1B5_DUO52HI53LO:A03|CPC004_VCAP_24H_X2_B5_DUO52HI53LO:A03|CPC004_VCAP_24H_X3_F1B5_DUO52HI53LO:A03|CPC004_VCAP_24H_X4.A2_F1B5_DUO52HI53LO:A03|CPC004_VCAP_24H_X4_F1B5_DUO52HI53LO:A03|CPC004_VCAP_24H_X5_B5_DUO52HI53LO:A03
52122,CPC004_VCAP_24H:BRD-A48237631-001-03-0:10,BRD-A48237631,mitomycin-c,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC004_VCAP_24H_X2_B5_DUO52HI53LO:D05|CPC004_VCAP_24H_X4.A2_F1B5_DUO52HI53LO:D05|CPC004_VCAP_24H_X4_F1B5_DUO52HI53LO:D05|CPC004_VCAP_24H_X5_B5_DUO52HI53LO:D05
52329,CPC004_VCAP_24H:BRD-K55468218-001-16-2:10,BRD-K55468218,spiperone,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC004_VCAP_24H_X1_F1B5_DUO52HI53LO:E14|CPC004_VCAP_24H_X2_B5_DUO52HI53LO:E14|CPC004_VCAP_24H_X3_F1B5_DUO52HI53LO:E14|CPC004_VCAP_24H_X4.A2_F1B5_DUO52HI53LO:E14|CPC004_VCAP_24H_X4_F1B5_DUO52HI53LO:E14|CPC004_VCAP_24H_X5_B5_DUO52HI53LO:E14
52464,CPC004_VCAP_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC004_VCAP_6H_X1_B5_DUO52HI53LO:A03|CPC004_VCAP_6H_X2_F1B5_DUO52HI53LO:A03|CPC004_VCAP_6H_X3_F1B5_DUO52HI53LO:A03|CPC004_VCAP_6H_X5_B5_DUO52HI53LO:A03
52498,CPC004_VCAP_6H:BRD-A48237631-001-03-0:10,BRD-A48237631,mitomycin-c,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC004_VCAP_6H_X1_B5_DUO52HI53LO:D05|CPC004_VCAP_6H_X2_F1B5_DUO52HI53LO:D05|CPC004_VCAP_6H_X3_F1B5_DUO52HI53LO:D05|CPC004_VCAP_6H_X5_B5_DUO52HI53LO:D05
52708,CPC004_VCAP_6H:BRD-K55468218-001-16-2:10,BRD-K55468218,spiperone,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC004_VCAP_6H_X2_F1B5_DUO52HI53LO:E14|CPC004_VCAP_6H_X3_F1B5_DUO52HI53LO:E14|CPC004_VCAP_6H_X5_B5_DUO52HI53LO:E14
55119,CPC005_HCC515_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC005_HCC515_6H_X2_F1B4_DUO52HI53LO:A03|CPC005_HCC515_6H_X3_F1B3_DUO52HI53LO:A03
55413,CPC005_HCC515_6H:BRD-K69023402-001-02-5:10,BRD-K69023402,thapsigargin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC005_HCC515_6H_X2_F1B4_DUO52HI53LO:L20|CPC005_HCC515_6H_X3_F1B3_DUO52HI53LO:L20
57783,CPC005_VCAP_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC005_VCAP_24H_X1_B3_DUO52HI53LO:A03|CPC005_VCAP_24H_X2_B3_DUO52HI53LO:A03|CPC005_VCAP_24H_X3_B3_DUO52HI53LO:A03|CPC005_VCAP_24H_X4_F1B5_DUO52HI53LO:A03|CPC005_VCAP_24H_X5_F2B4_DUO52HI53LO:A03
58073,CPC005_VCAP_24H:BRD-K69023402-001-02-5:10,BRD-K69023402,thapsigargin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC005_VCAP_24H_X1_B3_DUO52HI53LO:L20|CPC005_VCAP_24H_X2_B3_DUO52HI53LO:L20|CPC005_VCAP_24H_X3_B3_DUO52HI53LO:L20|CPC005_VCAP_24H_X4_F1B5_DUO52HI53LO:L20|CPC005_VCAP_24H_X5_F2B4_DUO52HI53LO:L20
58160,CPC005_VCAP_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC005_VCAP_6H_X1_F1B3_DUO52HI53LO:A03|CPC005_VCAP_6H_X2_F1B3_DUO52HI53LO:A03|CPC005_VCAP_6H_X4_B5_DUO52HI53LO:A03|CPC005_VCAP_6H_X5_B5_DUO52HI53LO:A03
58452,CPC005_VCAP_6H:BRD-K69023402-001-02-5:10,BRD-K69023402,thapsigargin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC005_VCAP_6H_X1_F1B3_DUO52HI53LO:L20|CPC005_VCAP_6H_X2_F1B3_DUO52HI53LO:L20|CPC005_VCAP_6H_X4_B5_DUO52HI53LO:L20|CPC005_VCAP_6H_X5_B5_DUO52HI53LO:L20
64140,CPC006_HCC515_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:A03|CPC006_HCC515_24H_X2_B4_DUO52HI53LO:A03|CPC006_HCC515_24H_X3_B4_DUO52HI53LO:A03|CPC006_HCC515_24H_X4_B4_DUO52HI53LO:A03|CPC006_HCC515_24H_X4_F1B3_DUO52HI53LO:A03|CPC006_HCC515_24H_X5_B1_DUO52HI53LO:A03
64149,CPC006_HCC515_24H:BRD-A31107743-001-01-3:0.09,BRD-A31107743,brefeldin-a,trt_cp,HCC515,0.09,µM,100 nM,24,h,24 h,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:K20|CPC006_HCC515_24H_X2_B4_DUO52HI53LO:K20|CPC006_HCC515_24H_X3_B4_DUO52HI53LO:K20|CPC006_HCC515_24H_X4_B4_DUO52HI53LO:K20|CPC006_HCC515_24H_X4_F1B3_DUO52HI53LO:K20|CPC006_HCC515_24H_X5_B1_DUO52HI53LO:K20
64170,CPC006_HCC515_24H:BRD-A62809825-001-01-7:10,BRD-A62809825,thapsigargin,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:A20|CPC006_HCC515_24H_X2_B4_DUO52HI53LO:A20|CPC006_HCC515_24H_X3_B4_DUO52HI53LO:A20|CPC006_HCC515_24H_X4_B4_DUO52HI53LO:A20|CPC006_HCC515_24H_X4_F1B3_DUO52HI53LO:A20|CPC006_HCC515_24H_X5_B1_DUO52HI53LO:A20
64295,CPC006_HCC515_24H:BRD-K32107296-001-03-7:10,BRD-K32107296,temozolomide,trt_cp,HCC515,10.0,µM,10 µM,24,h,24 h,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:A06|CPC006_HCC515_24H_X2_B4_DUO52HI53LO:A06|CPC006_HCC515_24H_X3_B4_DUO52HI53LO:A06|CPC006_HCC515_24H_X4_B4_DUO52HI53LO:A06|CPC006_HCC515_24H_X4_F1B3_DUO52HI53LO:A06|CPC006_HCC515_24H_X5_B1_DUO52HI53LO:A06
64518,CPC006_HCC515_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC006_HCC515_6H_X1_B4_DUO52HI53LO:A03|CPC006_HCC515_6H_X2_B4_DUO52HI53LO:A03|CPC006_HCC515_6H_X2_B5_DUO52HI53LO:A03|CPC006_HCC515_6H_X3_B4_DUO52HI53LO:A03
64527,CPC006_HCC515_6H:BRD-A31107743-001-01-3:0.09,BRD-A31107743,brefeldin-a,trt_cp,HCC515,0.09,µM,100 nM,6,h,6 h,CPC006_HCC515_6H_X1_B4_DUO52HI53LO:K20|CPC006_HCC515_6H_X2_B4_DUO52HI53LO:K20|CPC006_HCC515_6H_X2_B5_DUO52HI53LO:K20|CPC006_HCC515_6H_X3_B4_DUO52HI53LO:K20
64549,CPC006_HCC515_6H:BRD-A62809825-001-01-7:10,BRD-A62809825,thapsigargin,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC006_HCC515_6H_X1_B4_DUO52HI53LO:A20|CPC006_HCC515_6H_X2_B4_DUO52HI53LO:A20|CPC006_HCC515_6H_X2_B5_DUO52HI53LO:A20|CPC006_HCC515_6H_X3_B4_DUO52HI53LO:A20
64675,CPC006_HCC515_6H:BRD-K32107296-001-03-7:10,BRD-K32107296,temozolomide,trt_cp,HCC515,10.0,µM,10 µM,6,h,6 h,CPC006_HCC515_6H_X1_B4_DUO52HI53LO:A06|CPC006_HCC515_6H_X2_B4_DUO52HI53LO:A06|CPC006_HCC515_6H_X2_B5_DUO52HI53LO:A06|CPC006_HCC515_6H_X3_B4_DUO52HI53LO:A06
65656,CPC006_HEPG2_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC006_HEPG2_6H_X1.L2_F1B6_DUO52HI53LO:A03|CPC006_HEPG2_6H_X4_B4_DUO52HI53LO:A03|CPC006_HEPG2_6H_X5_B4_DUO52HI53LO:A03
65665,CPC006_HEPG2_6H:BRD-A31107743-001-01-3:0.09,BRD-A31107743,brefeldin-a,trt_cp,HEPG2,0.09,µM,100 nM,6,h,6 h,CPC006_HEPG2_6H_X1.L2_F1B6_DUO52HI53LO:K20|CPC006_HEPG2_6H_X4_B4_DUO52HI53LO:K20|CPC006_HEPG2_6H_X5_B4_DUO52HI53LO:K20
65687,CPC006_HEPG2_6H:BRD-A62809825-001-01-7:10,BRD-A62809825,thapsigargin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC006_HEPG2_6H_X1.L2_F1B6_DUO52HI53LO:A20|CPC006_HEPG2_6H_X4_B4_DUO52HI53LO:A20|CPC006_HEPG2_6H_X5_B4_DUO52HI53LO:A20
65812,CPC006_HEPG2_6H:BRD-K32107296-001-03-7:10,BRD-K32107296,temozolomide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC006_HEPG2_6H_X1.L2_F1B6_DUO52HI53LO:A06|CPC006_HEPG2_6H_X4_B4_DUO52HI53LO:A06|CPC006_HEPG2_6H_X5_B4_DUO52HI53LO:A06
79498,CPC006_VCAP_24H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC006_VCAP_24H_X1_B3_DUO52HI53LO:A03|CPC006_VCAP_24H_X2_B3_DUO52HI53LO:A03|CPC006_VCAP_24H_X3_B3_DUO52HI53LO:A03|CPC006_VCAP_24H_X4_B4_DUO52HI53LO:A03|CPC006_VCAP_24H_X5_B4_DUO52HI53LO:A03
79507,CPC006_VCAP_24H:BRD-A31107743-001-01-3:0.09,BRD-A31107743,brefeldin-a,trt_cp,VCAP,0.09,µM,100 nM,24,h,24 h,CPC006_VCAP_24H_X1_B3_DUO52HI53LO:K20|CPC006_VCAP_24H_X2_B3_DUO52HI53LO:K20|CPC006_VCAP_24H_X3_B3_DUO52HI53LO:K20|CPC006_VCAP_24H_X4_B4_DUO52HI53LO:K20|CPC006_VCAP_24H_X5_B4_DUO52HI53LO:K20
79529,CPC006_VCAP_24H:BRD-A62809825-001-01-7:10,BRD-A62809825,thapsigargin,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC006_VCAP_24H_X1_B3_DUO52HI53LO:A20|CPC006_VCAP_24H_X2_B3_DUO52HI53LO:A20|CPC006_VCAP_24H_X3_B3_DUO52HI53LO:A20|CPC006_VCAP_24H_X4_B4_DUO52HI53LO:A20|CPC006_VCAP_24H_X5_B4_DUO52HI53LO:A20
79654,CPC006_VCAP_24H:BRD-K32107296-001-03-7:10,BRD-K32107296,temozolomide,trt_cp,VCAP,10.0,µM,10 µM,24,h,24 h,CPC006_VCAP_24H_X1_B3_DUO52HI53LO:A06|CPC006_VCAP_24H_X2_B3_DUO52HI53LO:A06|CPC006_VCAP_24H_X3_B3_DUO52HI53LO:A06|CPC006_VCAP_24H_X4_B4_DUO52HI53LO:A06|CPC006_VCAP_24H_X5_B4_DUO52HI53LO:A06
79874,CPC006_VCAP_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC006_VCAP_6H_X1_B4_DUO52HI53LO:A03|CPC006_VCAP_6H_X3_B4_DUO52HI53LO:A03|CPC006_VCAP_6H_X4_B4_DUO52HI53LO:A03|CPC006_VCAP_6H_X5_B4_DUO52HI53LO:A03
79883,CPC006_VCAP_6H:BRD-A31107743-001-01-3:0.09,BRD-A31107743,brefeldin-a,trt_cp,VCAP,0.09,µM,100 nM,6,h,6 h,CPC006_VCAP_6H_X1_B4_DUO52HI53LO:K20|CPC006_VCAP_6H_X3_B4_DUO52HI53LO:K20|CPC006_VCAP_6H_X4_B4_DUO52HI53LO:K20|CPC006_VCAP_6H_X5_B4_DUO52HI53LO:K20
79905,CPC006_VCAP_6H:BRD-A62809825-001-01-7:10,BRD-A62809825,thapsigargin,trt_cp,VCAP,10.0,µM,10 µM,6,h,6 h,CPC006_VCAP_6H_X1_B4_DUO52HI53LO:A20|CPC006_VCAP_6H_X3_B4_DUO52HI53LO:A20|CPC006_VCAP_6H_X5_B4_DUO52HI53LO:A20
