Gene ID	Gene Name	HepG2
ENSG00000017260	ATP2C1	2633
ENSG00000017483	SLC38A5	3321
ENSG00000018236	CNTN1	261
ENSG00000018408	WWTR1	105
ENSG00000018510	AGPS	21384
ENSG00000018610	CXorf56	2405
ENSG00000018699	TTC27	27399
ENSG00000019144	PHLDB1	377
ENSG00000019186	CYP24A1	3078
ENSG00000019582	CD74	40118
ENSG00000020129	NCDN	4649
ENSG00000020426	MNAT1	5492
ENSG00000020577	SAMD4A	16
ENSG00000020922	MRE11	22258
ENSG00000021355	SERPINB1	190577
ENSG00000021574	SPAST	4872
ENSG00000021776	AQR	15165
ENSG00000021826	CPS1	13625
ENSG00000022267	FHL1	1533
ENSG00000022277	RTF2	7422
ENSG00000022840	RNF10	26
ENSG00000023041	ZDHHC6	114
ENSG00000023287	RB1CC1	230
ENSG00000023318	ERP44	377601
ENSG00000023516	AKAP11	255
ENSG00000023572	GLRX2	236
ENSG00000023608	SNAPC1	116
ENSG00000023697	DERA	37348
ENSG00000023734	STRAP	229811
ENSG00000023839	ABCC2	8569
ENSG00000023892	DEF6	3816
ENSG00000023909	GCLM	96896
ENSG00000024048	UBR2	3189
ENSG00000024422	EHD2	1689
ENSG00000024862	CCDC28A	200
ENSG00000025708	TYMP	8380
ENSG00000025772	TOMM34	213749
ENSG00000025796	SEC63	103343
ENSG00000025800	KPNA6	19219
ENSG00000026025	VIM	19140
ENSG00000026103	FAS	2466
ENSG00000026297	RNASET2	59996
ENSG00000027001	MIPEP	10760
ENSG00000027075	PRKCH	6853
ENSG00000027847	B4GALT7	230
ENSG00000028116	VRK2	1783
ENSG00000028203	VEZT	96
ENSG00000028310	BRD9	151
ENSG00000028528	SNX1	73811
ENSG00000028839	TBPL1	326
ENSG00000029363	BCLAF1	61752
ENSG00000029534	ANK1	890
ENSG00000029639	TFB1M	72520
ENSG00000029725	RABEP1	2736
ENSG00000029993	HMGB3	249056
ENSG00000030110	BAK1	10785
ENSG00000030582	GRN	13915
ENSG00000031698	SARS	282103
ENSG00000031823	RANBP3	27030
ENSG00000032219	ARID4A	765
ENSG00000032389	EIPR1	18301
ENSG00000032444	PNPLA6	8045
ENSG00000033011	ALG1	62859
ENSG00000033030	ZCCHC8	8210
ENSG00000033100	CHPF2	13
ENSG00000033170	FUT8	1347
ENSG00000033178	UBA6	63507
ENSG00000033627	ATP6V0A1	31226
ENSG00000033800	PIAS1	2200
ENSG00000033867	SLC4A7	774
ENSG00000034152	MAP2K3	19516
ENSG00000034693	PEX3	7179
ENSG00000034713	GABARAPL2	30948
ENSG00000035141	FAM136A	164159
ENSG00000035403	VCL	69143
ENSG00000035681	NSMAF	695
ENSG00000035687	ADSS	81353
ENSG00000035928	RFC1	5079
ENSG00000036054	TBC1D23	8256
ENSG00000036257	CUL3	27126
ENSG00000036672	USP2	215
ENSG00000037241	RPL26L1	249282
ENSG00000037474	NSUN2	85415
ENSG00000037637	FBXO42	31
ENSG00000037757	MRI1	16251
ENSG00000037897	METTL1	29579
ENSG00000038002	AGA	16104
ENSG00000038210	PI4K2B	188
ENSG00000038219	BOD1L1	457
ENSG00000038274	MAT2B	108440
ENSG00000038358	EDC4	41470
ENSG00000038382	TRIO	696
ENSG00000038532	CLEC16A	908
ENSG00000039068	CDH1	1201
ENSG00000039123	MTREX	54394
ENSG00000039319	ZFYVE16	2824
ENSG00000039523	RIPOR1	937
ENSG00000039560	RAI14	3754
ENSG00000039650	PNKP	1634
ENSG00000040275	SPDL1	75
ENSG00000040341	STAU2	2511
ENSG00000040633	PHF23	1231
ENSG00000040933	INPP4A	141
ENSG00000041353	RAB27B	1550
ENSG00000041357	PSMA4	448037
ENSG00000041802	LSG1	12691
ENSG00000042088	TDP1	549
ENSG00000042286	AIFM2	71084
ENSG00000042429	MED17	56
ENSG00000042445	RETSAT	27443
ENSG00000042493	CAPG	52677
ENSG00000042753	AP2S1	80248
ENSG00000043093	DCUN1D1	32498
ENSG00000044090	CUL7	1320
ENSG00000044115	CTNNA1	28311
ENSG00000044446	PHKA2	873
ENSG00000044574	HSPA5	4491452
ENSG00000046604	DSG2	11229
ENSG00000046647	GEMIN8	4044
ENSG00000046651	OFD1	861
ENSG00000047056	WDR37	160
ENSG00000047188	YTHDC2	2033
ENSG00000047230	CTPS2	31711
ENSG00000047249	ATP6V1H	51946
ENSG00000047315	POLR2B	24981
ENSG00000047410	TPR	73182
ENSG00000047457	CP	1113
ENSG00000047578	KIAA0556	8
ENSG00000047579	DTNBP1	2789
ENSG00000047648	ARHGAP6	10
ENSG00000047849	MAP4	67825
ENSG00000047932	GOPC	51063
ENSG00000048028	USP28	538
ENSG00000048162	NOP16	124292
ENSG00000048392	RRM2B	29468
ENSG00000048405	ZNF800	498
ENSG00000048544	MRPS10	31057
ENSG00000048649	RSF1	2493
ENSG00000048707	VPS13D	151
ENSG00000048740	CELF2	459
ENSG00000048828	FAM120A	16532
ENSG00000048991	R3HDM1	3193
ENSG00000049239	H6PD	20051
ENSG00000049245	VAMP3	223413
ENSG00000049247	UTS2	747612
ENSG00000049283	EPN3	1023
ENSG00000049449	RCN1	327853
ENSG00000049541	RFC2	16966
ENSG00000049618	ARID1B	1028
ENSG00000049759	NEDD4L	1211
ENSG00000049860	HEXB	203941
ENSG00000050393	MCUR1	1282
ENSG00000050405	LIMA1	6842
ENSG00000050426	LETMD1	2158
ENSG00000050748	MAPK9	3460
ENSG00000050820	BCAR1	2584
ENSG00000051009	FAM160A2	1400
ENSG00000051128	HOMER3	185
ENSG00000051180	RAD51	345
ENSG00000051382	PIK3CB	521
ENSG00000051523	CYBA	20837
ENSG00000051596	THOC3	33945
ENSG00000051620	HEBP2	118893
ENSG00000051825	MPHOSPH9	337
ENSG00000052126	PLEKHA5	141
ENSG00000052344	PRSS8	6780
ENSG00000052749	RRP12	111004
ENSG00000052802	MSMO1	202358
ENSG00000052841	TTC17	406
ENSG00000053371	AKR7A2	178116
ENSG00000053372	MRTO4	278431
ENSG00000053501	USE1	1453
ENSG00000053770	AP5M1	104
ENSG00000053900	ANAPC4	5044
ENSG00000054116	TRAPPC3	34951
ENSG00000054118	THRAP3	57343
ENSG00000054148	PHPT1	105930
ENSG00000054267	ARID4B	928
ENSG00000054523	KIF1B	846
ENSG00000054611	TBC1D22A	161
ENSG00000054654	SYNE2	209
ENSG00000054793	ATP9A	37
ENSG00000055044	NOP58	537821
ENSG00000055130	CUL1	15146
ENSG00000055147	FAM114A2	3621
ENSG00000055163	CYFIP2	2147
ENSG00000055332	EIF2AK2	75994
ENSG00000055483	USP36	1299
ENSG00000055609	KMT2C	19
ENSG00000055917	PUM2	2307
ENSG00000055950	MRPL43	121529
ENSG00000056050	HPF1	2472
ENSG00000056097	ZFR	29362
ENSG00000056277	ZNF280C	406
ENSG00000057252	SOAT1	27763
ENSG00000057294	PKP2	6101
ENSG00000057608	GDI2	1049255
ENSG00000057663	ATG5	31732
ENSG00000057704	TMCC3	486
ENSG00000057757	PITHD1	10690
ENSG00000057935	MTA3	4079
ENSG00000058056	USP13	354
ENSG00000058063	ATP11B	1007
ENSG00000058262	SEC61A1	291854
ENSG00000058272	PPP1R12A	14390
ENSG00000058453	CROCC	15849
ENSG00000058668	ATP2B4	21408
ENSG00000058673	ZC3H11A	6727
ENSG00000058729	RIOK2	4138
ENSG00000058799	YIPF1	5940
ENSG00000058804	NDC1	7419
ENSG00000059378	PARP12	152
ENSG00000059573	ALDH18A1	1342182
ENSG00000059588	TARBP1	62
ENSG00000059691	GATB	8711
ENSG00000059758	CDK17	85
ENSG00000059769	DNAJC25	142
ENSG00000060069	CTDP1	1513
ENSG00000060138	YBX3	52744
ENSG00000060237	WNK1	3809
ENSG00000060339	CCAR1	39001
ENSG00000060491	OGFR	18971
ENSG00000060688	SNRNP40	71552
ENSG00000060749	QSER1	167
ENSG00000060971	ACAA1	125592
ENSG00000060982	BCAT1	119287
ENSG00000061273	HDAC7	72
ENSG00000061676	NCKAP1	31337
ENSG00000061794	MRPS35	91515
ENSG00000061936	SFSWAP	3654
ENSG00000061987	MON2	6326
ENSG00000062194	GPBP1	24
ENSG00000062485	CS	855692
ENSG00000062582	MRPS24	25027
ENSG00000062598	ELMO2	11550
ENSG00000062650	WAPL	4149
ENSG00000062716	VMP1	10025
ENSG00000062725	APPBP2	6
ENSG00000062822	POLD1	906
ENSG00000063046	EIF4B	83674
ENSG00000063177	RPL18	3617153
ENSG00000063241	ISOC2	171474
ENSG00000063244	U2AF2	524424
ENSG00000063245	EPN1	13863
ENSG00000063601	MTMR1	3085
ENSG00000063761	ADCK1	1439
ENSG00000063854	HAGH	173233
ENSG00000064012	CASP8	28641
ENSG00000064042	LIMCH1	1311
ENSG00000064102	INTS13	6163
ENSG00000064313	TAF2	887
ENSG00000064419	TNPO3	38673
ENSG00000064490	RFXANK	24
ENSG00000064545	TMEM161A	521
ENSG00000064601	CTSA	335971
ENSG00000064607	SUGP2	7340
ENSG00000064651	SLC12A2	1786
ENSG00000064652	SNX24	1585
ENSG00000064666	CNN2	58513
ENSG00000064703	DDX20	3489
ENSG00000064933	PMS1	99
ENSG00000064961	HMG20B	120
ENSG00000064999	ANKS1A	1487
ENSG00000065000	AP3D1	41851
ENSG00000065054	SLC9A3R2	6665
ENSG00000065057	NTHL1	396
ENSG00000065060	UHRF1BP1	2203
ENSG00000065135	GNAI3	44252
ENSG00000065150	IPO5	253168
ENSG00000065154	OAT	311656
ENSG00000065183	WDR3	45335
ENSG00000065243	PKN2	10208
ENSG00000065268	WDR18	82154
ENSG00000065308	TRAM2	11806
ENSG00000065357	DGKA	1401
ENSG00000065427	KARS	432320
ENSG00000065485	PDIA5	103671
ENSG00000065491	TBC1D22B	39
ENSG00000065518	NDUFB4	192191
ENSG00000065526	SPEN	326
ENSG00000065534	MYLK	6643
ENSG00000065548	ZC3H15	47808
ENSG00000065559	MAP2K4	7336
ENSG00000065613	SLK	5780
ENSG00000065615	CYB5R4	1324
ENSG00000065675	PRKCQ	46
ENSG00000065809	FAM107B	4595
ENSG00000065833	ME1	3588
ENSG00000065882	TBC1D1	242
ENSG00000065883	CDK13	250
ENSG00000065911	MTHFD2	109199
ENSG00000065978	YBX1	360308
ENSG00000066027	PPP2R5A	4718
ENSG00000066032	CTNNA2	1039
ENSG00000066044	ELAVL1	339559
ENSG00000066084	DIP2B	6684
ENSG00000066117	SMARCD1	2529
ENSG00000066135	KDM4A	213
ENSG00000066136	NFYC	9179
ENSG00000066248	NGEF	1595
ENSG00000066279	ASPM	3
ENSG00000066427	ATXN3	967
ENSG00000066455	GOLGA5	3526
ENSG00000066557	LRRC40	12273
ENSG00000066583	ISOC1	228189
ENSG00000066629	EML1	961
ENSG00000066651	TRMT11	6481
ENSG00000066654	THUMPD1	119685
ENSG00000066739	ATG2B	1330
ENSG00000066777	ARFGEF1	993
ENSG00000066813	ACSM2B	9340
ENSG00000066855	MTFR1	1176
ENSG00000066926	FECH	15081
ENSG00000066933	MYO9A	290
ENSG00000067048	DDX3Y	11709
ENSG00000067057	PFKP	20088
ENSG00000067064	IDI1	106225
ENSG00000067066	SP100	4541
ENSG00000067113	PLPP1	188
ENSG00000067141	NEO1	4
ENSG00000067167	TRAM1	100493
ENSG00000067177	PHKA1	440
ENSG00000067208	EVI5	198
ENSG00000067225	PKM	3106027
ENSG00000067248	DHX29	5398
ENSG00000067334	DNTTIP2	19468
ENSG00000067369	TP53BP1	3222
ENSG00000067533	RRP15	24596
ENSG00000067560	RHOA	575765
ENSG00000067596	DHX8	6294
ENSG00000067606	PRKCZ	2411
ENSG00000067704	IARS2	269750
ENSG00000067829	IDH3G	18327
ENSG00000067900	ROCK1	1374
ENSG00000067955	CBFB	67104
ENSG00000067992	PDK3	1867
ENSG00000068024	HDAC4	302
ENSG00000068079	IFI35	7479
ENSG00000068097	HEATR6	1751
ENSG00000068120	COASY	83976
ENSG00000068308	OTUD5	452
ENSG00000068354	TBC1D25	157
ENSG00000068366	ACSL4	326266
ENSG00000068383	INPP5A	1102
ENSG00000068394	GPKOW	13132
ENSG00000068400	GRIPAP1	5693
ENSG00000068438	FTSJ1	10895
ENSG00000068650	ATP11A	2436
ENSG00000068654	POLR1A	10550
ENSG00000068724	TTC7A	9
ENSG00000068784	SRBD1	2219
ENSG00000068796	KIF2A	10428
ENSG00000068878	PSME4	22794
ENSG00000068912	ERLEC1	23806
ENSG00000068971	PPP2R5B	241
ENSG00000069188	SDK2	12
ENSG00000069248	NUP133	22409
ENSG00000069275	NUCKS1	16786
ENSG00000069329	VPS35	186076
ENSG00000069345	DNAJA2	115002
ENSG00000069424	KCNAB2	4823
ENSG00000069535	MAOB	89911
ENSG00000069702	TGFBR3	5614
ENSG00000069849	ATP1B3	550288
ENSG00000069869	NEDD4	1401
ENSG00000069943	PIGB	95
ENSG00000069956	MAPK6	189
ENSG00000069974	RAB27A	13931
ENSG00000069998	HDHD5	6533
ENSG00000070010	UFD1	115319
ENSG00000070061	ELP1	48390
ENSG00000070081	NUCB2	131171
ENSG00000070087	PFN2	67907
ENSG00000070159	PTPN3	45
ENSG00000070182	SPTB	15
ENSG00000070214	SLC44A1	16662
ENSG00000070269	TMEM260	47
ENSG00000070366	SMG6	4953
ENSG00000070367	EXOC5	8193
ENSG00000070371	CLTCL1	41
ENSG00000070413	DGCR2	139
ENSG00000070423	RNF126	10918
ENSG00000070495	JMJD6	44522
ENSG00000070501	POLB	5800
ENSG00000070610	GBA2	2288
ENSG00000070614	NDST1	14
ENSG00000070669	ASNS	97521
ENSG00000070718	AP3M2	78
ENSG00000070756	PABPC1	488111
ENSG00000070761	CFAP20	54448
ENSG00000070770	CSNK2A2	142496
ENSG00000070785	EIF2B3	29545
ENSG00000070814	TCOF1	20612
ENSG00000070831	CDC42	303348
ENSG00000070882	OSBPL3	8124
ENSG00000070950	RAD18	56
ENSG00000070961	ATP2B1	25820
ENSG00000071051	NCK2	1935
ENSG00000071054	MAP4K4	6775
ENSG00000071073	MGAT4A	388
ENSG00000071082	RPL31	1343394
ENSG00000071127	WDR1	569437
ENSG00000071282	LMCD1	13194
ENSG00000071462	BUD23	7283
ENSG00000071537	SEL1L	37319
ENSG00000071539	TRIP13	1308
ENSG00000071553	ATP6AP1	36170
ENSG00000071626	DAZAP1	230804
ENSG00000071655	MBD3	11207
ENSG00000071794	HLTF	1205
ENSG00000071859	FAM50A	35708
ENSG00000071994	PDCD2	2191
ENSG00000072042	RDH11	155551
ENSG00000072062	PRKACA	63022
ENSG00000072110	ACTN1	279321
ENSG00000072134	EPN2	1667
ENSG00000072210	ALDH3A2	211942
ENSG00000072274	TFRC	144101
ENSG00000072364	AFF4	529
ENSG00000072415	MPP5	280
ENSG00000072501	SMC1A	42471
ENSG00000072506	HSD17B10	730141
ENSG00000072518	MARK2	2394
ENSG00000072571	HMMR	213
ENSG00000072682	P4HA2	7791
ENSG00000072756	TRNT1	55884
ENSG00000072778	ACADVL	103760
ENSG00000072786	STK10	1697
ENSG00000072803	FBXW11	570
ENSG00000072818	ACAP1	1717
ENSG00000072832	CRMP1	100
ENSG00000072849	DERL2	29073
ENSG00000072958	AP1M1	201586
ENSG00000073008	PVR	3411
ENSG00000073050	XRCC1	12010
ENSG00000073060	SCARB1	15739
ENSG00000073067	CYP2W1	4672
ENSG00000073111	MCM2	11828
ENSG00000073350	LLGL2	3764
ENSG00000073536	NLE1	20373
ENSG00000073578	SDHA	263550
ENSG00000073584	SMARCE1	21404
ENSG00000073614	KDM5A	87
ENSG00000073712	FERMT2	32546
ENSG00000073734	ABCB11	791
ENSG00000073756	PTGS2	631
ENSG00000073792	IGF2BP2	244738
ENSG00000073849	ST6GAL1	13829
ENSG00000073921	PICALM	50488
ENSG00000074054	CLASP1	3768
ENSG00000074071	MRPS34	83458
ENSG00000074181	NOTCH3	245
ENSG00000074201	CLNS1A	66087
ENSG00000074266	EED	7719
ENSG00000074319	TSG101	22125
ENSG00000074356	NCBP3	4267
ENSG00000074370	ATP2A3	93
ENSG00000074416	MGLL	43
ENSG00000074582	BCS1L	32827
ENSG00000074603	DPP8	70
ENSG00000074695	LMAN1	577097
ENSG00000074696	HACD3	557047
ENSG00000074755	ZZEF1	1047
ENSG00000074800	ENO1	5831574
ENSG00000074842	MYDGF	872841
ENSG00000074935	TUBE1	140
ENSG00000074964	ARHGEF10L	8808
ENSG00000075089	ACTR6	175
ENSG00000075142	SRI	12986
ENSG00000075188	NUP37	60896
ENSG00000075218	GTSE1	48
ENSG00000075234	TTC38	66634
ENSG00000075239	ACAT1	748797
ENSG00000075240	GRAMD4	180
ENSG00000075275	CELSR1	217
ENSG00000075292	ZNF638	3317
ENSG00000075303	SLC25A40	1005
ENSG00000075336	TIMM21	7098
ENSG00000075391	RASAL2	367
ENSG00000075413	MARK3	43
ENSG00000075415	SLC25A3	943031
ENSG00000075420	FNDC3B	25457
ENSG00000075426	FOSL2	589
ENSG00000075539	FRYL	812
ENSG00000075568	TMEM131	829
ENSG00000075618	FSCN1	180082
ENSG00000075624	ACTB	1.09E+07
ENSG00000075643	MOCOS	525
ENSG00000075651	PLD1	2614
ENSG00000075673	ATP12A	8127
ENSG00000075702	WDR62	1040
ENSG00000075711	DLG1	18599
ENSG00000075785	RAB7A	810054
ENSG00000075856	SART3	97629
ENSG00000075914	EXOSC7	17863
ENSG00000075945	KIFAP3	911
ENSG00000075975	MKRN2	1318
ENSG00000076003	MCM6	19473
ENSG00000076043	REXO2	88114
ENSG00000076053	RBM7	17348
ENSG00000076108	BAZ2A	862
ENSG00000076201	PTPN23	7698
ENSG00000076242	MLH1	2373
ENSG00000076248	UNG	13650
ENSG00000076356	PLXNA2	14
ENSG00000076382	SPAG5	557
ENSG00000076513	ANKRD13A	106
ENSG00000076554	TPD52	129799
ENSG00000076555	ACACB	548
ENSG00000076641	PAG1	1578
ENSG00000076650	GPATCH1	761
ENSG00000076685	NT5C2	58417
ENSG00000076706	MCAM	771
ENSG00000076770	MBNL3	12635
ENSG00000076826	CAMSAP3	1859
ENSG00000076864	RAP1GAP	406
ENSG00000076924	XAB2	6226
ENSG00000076928	ARHGEF1	19698
ENSG00000076944	STXBP2	19556
ENSG00000076984	MAP2K7	17
ENSG00000077097	TOP2B	16814
ENSG00000077147	TM9SF3	130937
ENSG00000077150	NFKB2	7480
ENSG00000077152	UBE2T	3458
ENSG00000077232	DNAJC10	25153
ENSG00000077235	GTF3C1	6406
ENSG00000077254	USP33	48
ENSG00000077312	SNRPA	203126
ENSG00000077348	EXOSC5	34345
ENSG00000077380	DYNC1I2	92868
ENSG00000077454	LRCH4	2885
ENSG00000077549	CAPZB	660622
ENSG00000077721	UBE2A	39443
ENSG00000077942	FBLN1	246
ENSG00000078061	ARAF	2663
ENSG00000078070	MCCC1	24607
ENSG00000078114	NEBL	768
ENSG00000078140	UBE2K	145631
ENSG00000078142	PIK3C3	2162
ENSG00000078177	N4BP2	16
ENSG00000078237	TIGAR	93810
ENSG00000078269	SYNJ2	1598
ENSG00000078304	PPP2R5C	3573
ENSG00000078369	GNB1	453317
ENSG00000078618	NRDC	19530
ENSG00000078668	VDAC3	691356
ENSG00000078747	ITCH	7942
ENSG00000078808	SDF4	124052
ENSG00000078902	TOLLIP	26092
ENSG00000079134	THOC1	25207
ENSG00000079150	FKBP7	7496
ENSG00000079246	XRCC5	605169
ENSG00000079257	LXN	470
ENSG00000079277	MKNK1	1441
ENSG00000079308	TNS1	293
ENSG00000079332	SAR1A	572181
ENSG00000079385	CEACAM1	99338
ENSG00000079387	SENP1	484
ENSG00000079459	FDFT1	122185
ENSG00000079462	PAFAH1B3	109288
ENSG00000079616	KIF22	1060
ENSG00000079689	SCGN	3901
ENSG00000079691	CARMIL1	104
ENSG00000079739	PGM1	370007
ENSG00000079785	DDX1	275604
ENSG00000079805	DNM2	90529
ENSG00000079819	EPB41L2	49861
ENSG00000079950	STX7	70879
ENSG00000079999	KEAP1	2246
ENSG00000080200	CRYBG3	67
ENSG00000080345	RIF1	3411
ENSG00000080371	RAB21	235810
ENSG00000080493	SLC4A4	12
ENSG00000080503	SMARCA2	2952
ENSG00000080546	SESN1	901
ENSG00000080603	SRCAP	523
ENSG00000080608	PUM3	59932
ENSG00000080802	CNOT4	1898
ENSG00000080815	PSEN1	605
ENSG00000080819	CPOX	130065
ENSG00000080824	HSP90AA1	2489962
ENSG00000080839	RBL1	33
ENSG00000080845	DLGAP4	20246
ENSG00000080986	NDC80	1921
ENSG00000081014	AP4E1	396
ENSG00000081019	RSBN1	881
ENSG00000081026	MAGI3	119
ENSG00000081051	AFP	131233
ENSG00000081087	OSTM1	5558
ENSG00000081154	PCNP	39208
ENSG00000081177	EXD2	2193
ENSG00000081181	ARG2	126400
ENSG00000081248	CACNA1S	3646
ENSG00000081277	PKP1	95
ENSG00000081307	UBA5	46553
ENSG00000081721	DUSP12	12854
ENSG00000081760	AACS	16482
ENSG00000081803	CADPS2	52
ENSG00000081870	HSPB11	17010
ENSG00000081923	ATP8B1	46
ENSG00000082068	WDR70	1433
ENSG00000082074	FYB1	207
ENSG00000082153	BZW1	222840
ENSG00000082212	ME2	48027
ENSG00000082213	C5orf22	8881
ENSG00000082397	EPB41L3	729
ENSG00000082438	COBLL1	6681
ENSG00000082515	MRPL22	58323
ENSG00000082516	GEMIN5	25071
ENSG00000082701	GSK3B	18285
ENSG00000082781	ITGB5	3515
ENSG00000082898	XPO1	198782
ENSG00000082996	RNF13	332
ENSG00000083067	TRPM3	322
ENSG00000083123	BCKDHB	13265
ENSG00000083168	KAT6A	42
ENSG00000083223	TUT7	925
ENSG00000083307	GRHL2	5
ENSG00000083312	TNPO1	100419
ENSG00000083444	PLOD1	63100
ENSG00000083520	DIS3	51887
ENSG00000083635	NUFIP1	199
ENSG00000083642	PDS5B	16194
ENSG00000083720	OXCT1	6420
ENSG00000083845	RPS5	1056342
ENSG00000083857	FAT1	511
ENSG00000083937	CHMP2B	1345
ENSG00000084070	SMAP2	17195
ENSG00000084072	PPIE	132640
ENSG00000084073	ZMPSTE24	143095
ENSG00000084090	STARD7	36
ENSG00000084092	NOA1	2073
ENSG00000084093	REST	176
ENSG00000084207	GSTP1	5814
ENSG00000084234	APLP2	6856
ENSG00000084463	WBP11	12875
