source,interaction,target
ITCH,inhibits,TRPV4
LCK,activates,TRPV4
LYN,activates,TRPV4
MAP7,activates,TRPV4
OS9,inhibits,TRPV4
PACSIN3,activates,TRPV4
SRC,activates,TRPV4
PKD2,activates,TRPV4
YES1,activates,TRPV4
BSPRY,inhibits,TRPV5
CALB1,activates,TRPV5
CALM2,inhibits,TRPV5
PPIB,activates,TRPV5
FKBP4,inhibits,TRPV5
KL,activates,TRPV5
RAB11A,activates,TRPV5
S100A10,activates,TRPV5
TGM2,inhibits,TRPV5
MCOLN3,activates,TRPV5
TRPV5,activates,MCOLN3
TRPV6,activates,TRPV5
TRPV5,activates,TRPV6
CALM2,inhibits,TRPV6
PPIB,activates,TRPV6
FYN,activates,TRPV6
KL,activates,TRPV6
PDZD3,activates,TRPV6
NIPSNAP1,inhibits,TRPV6
NUMB,inhibits,TRPV6
PTPN1,inhibits,TRPV6
RAB11A,activates,TRPV6
RGS2,inhibits,TRPV6
S100A10,activates,TRPV6
SRC,activates,TRPV6
NYX,activates,TRPM1
CALM2,activates,TRPM2
EFHC1,activates,TRPM2
PTPN13,inhibits,TRPM2
CALM2,activates,TRPM4
RACK1,inhibits,TRPM6
PHB2,inhibits,TRPM6
TRPM6,activates,TRPM7
TRPM7,activates,ANXA1
RACK1,inhibits,TRPM7
HTR1B,activates,TRPM8
OPRM1,inhibits,TRPM8
PRKACA,inhibits,MCOLN1
MCOLN2,activates,MCOLN1
MCOLN1,activates,MCOLN2
MCOLN1,activates,MCOLN3
MCOLN2,activates,MCOLN3
PRKCSH,inhibits,PKD2
KIF3A,activates,PKD2
PKD1,activates,PKD2
STX5,inhibits,PKD2
PKD1,activates,PKD2L1
PKD1L3,activates,PKD2L1
TNNI1,inhibits,PKD2L1
TNNI3,inhibits,PKD2L1
RACK1,inhibits,PKD2L2
CASP3,inhibits,EIF3J
CASP3,inhibits,ITGB4
MAPK14,activates,MAPKAPK2
MAPKAPK2,activates,HNRNPA0
TIA1,inhibits,GADD45A
HNRNPD,inhibits,GADD45A
MAPKAPK2,inhibits,PARN
HNRNPA0,activates,GADD45A
JAK2,activates,EPOR
ESPN,activates,MYO15A
GJB6,activates,GJB2
GJB2,activates,GJB6
MAPK14,inhibits,TIAL1
PARN,activates,GADD45A
NUMB,inhibits,NOTCH1
TIAL1,inhibits,GADD45A
ZIC1,inhibits,ATOH1
MAPK14,activates,ZFP36
HES5,inhibits,ATOH1
ATOH1,activates,HES5
MAPKAPK2,inhibits,ZFP36
JAG2,activates,NOTCH1
DLL1,activates,NOTCH1
SIX1,activates,LFNG
SIX1,activates,OTX2
SIX1,activates,HMX3
SIX1,inhibits,DLX5
SIX1,activates,OTX1
SIX1,activates,DACH1
SIX1,inhibits,DACH2
MYO7A,activates,PCDH15
PCDH15,activates,MYO7A
GABPA,activates,TXNRD1
GABPA,activates,TXN
MAPK3,activates,GABPA
MAPK1,activates,GABPA
TUB,activates,MAPK1
TUB,activates,MAPK3
PROX1,inhibits,GFI1
GFI1,activates,CDKN1C
KEAP1,inhibits,GABPA
PROX1,inhibits,ATOH1
GATA3,activates,FGF10
IGF2BP1,activates,BTRC
PAX3,activates,DACH2
DACH2,activates,PAX3
NFAT5,activates,AKR1B1
FOXI1,activates,PAX8
FGF3,activates,FOXI1
NFAT5,activates,SLC6A12
AKT1,activates,CHUK
NFAT5,activates,SLC5A3
CHUK,activates,NFKB1
PIK3R1,activates,AKT1
CDC73,activates,CPSF3
SYMPK,activates,CSTF1
CDK1,activates,RRM2
CASP3,activates,ACIN1
CDKN1A,inhibits,CDK1
TP53,inhibits,PRC1
TP53,activates,ATF3
ATM,activates,TERF2
MYCN,activates,MCM6
MDM2,inhibits,RRM2B
ATR,activates,XPA
MYCN,activates,MCM4
MYCN,activates,MCM5
MYCN,activates,MCM2
MYCN,activates,MCM3
E2F1,activates,CDCA4
KLF2,inhibits,CXCR4
IGF1,activates,IGF1R
CCL2,activates,MMP14
MMP14,activates,MMP2
ABL1,activates,TP73
PRKDC,activates,ABL1
MYCN,activates,MCM7
MYCN,activates,MCM8
ARNTL,activates,CRY2
CRY2,inhibits,ARNTL
ARNTL,activates,CRY1
CRY1,inhibits,ARNTL
NPAS2,activates,PER2
NPAS2,activates,PER1
ATAD2,activates,ESR1
ATAD2,activates,E2F1
USP28,activates,CLSPN
PRKN,inhibits,CCNE1
PCNA,activates,POLI
PRKN,inhibits,SEPT5
PCNA,activates,POLH
MYCN,activates,TP53
ATAD2,activates,MYC
ATAD2,activates,AR
USP7,activates,MDM2
USP7,activates,MDM4
RELA,inhibits,PTEN
E2F4,inhibits,RBL1
RBL2,activates,E2F5
RBL2,activates,E2F4
MDC1,activates,TP53BP1
RNF8,activates,HIST2H2AC
MDC1,activates,RNF8
PRKN,inhibits,RANBP2
PRKN,inhibits,PUF60
PRKN,inhibits,SNCAIP
DCLRE1C,activates,XRCC4
PRKN,activates,CTNNB1
PRKN,inhibits,JUN
PRKN,inhibits,HSPA1B
PRKN,inhibits,ATXN2
BACE2,activates,APP
PRKN,inhibits,SNCA
BACE1,activates,APP
XRCC4,activates,PNKP
TP53BP1,activates,HDAC4
ADAM10,activates,APP
PREX2,inhibits,PTEN
PINK1,activates,TRAP1
PTPRD,inhibits,STAT3
XRCC1,activates,PNKP
PEBP1,activates,RAF1
USP28,inhibits,FBXW7
CDK2,activates,MYC
HBP1,inhibits,MYC
RPL11,inhibits,TRRAP
TRRAP,activates,MYC
MYC,activates,JAG2
FBXW7,inhibits,MYC
PAK1,activates,PXN
CASP3,activates,PRKDC
CASP3,inhibits,GSN
SMG1,activates,UPF1
ATM,activates,USP28
MAP2K4,activates,MAPK8
ULK1,activates,ATG13
ULK1,activates,RB1CC1
MTOR,inhibits,ATG13
SH3GLB1,activates,UVRAG
ATG13,activates,RB1CC1
MTOR,inhibits,ULK2
BECN1,activates,PIK3R4
TIAM1,activates,RAC1
HRAS,activates,TIAM1
ATG10,activates,ATG12
MTOR,activates,RPTOR
AKT1,inhibits,AKT1S1
DAPK1,inhibits,CAMKK2
DAPK1,inhibits,MAPK6
UVRAG,activates,PIK3R4
ULK2,activates,ATG13
UVRAG,activates,BECN1
AKT1S1,inhibits,RPTOR
MTOR,inhibits,AKT1S1
ULK2,activates,RB1CC1
MCL1,activates,BAD
ATG10,activates,ATG5
ATG7,activates,ATG3
HRAS,activates,PLCE1
MAPK14,activates,MAPKAPK5
MAPKAPK5,activates,TP53
ATG5,activates,ATG16L1
TP53,activates,MCL1
BNIP3,inhibits,BCL2
BNIP3,inhibits,BCL2L1
SPNS1,inhibits,BCL2
SPNS1,inhibits,BCL2L1
ATG4B,activates,MAP1LC3B
CALM1,activates,DAPK1
DAPK1,activates,MCM3
SH3GLB1,activates,PIK3C3
CAPN1,inhibits,BCL2
CAPN2,inhibits,BCL2
CAPN1,inhibits,BCL2L1
CAPN2,activates,BID
CAPN1,activates,BID
CASP3,inhibits,EIF4EBP1
CASP3,inhibits,SPTAN1
CASP3,inhibits,EIF4G1
CASP3,inhibits,BCAR1
CASP3,inhibits,EIF4G2
CASP3,inhibits,EIF4G3
CASP3,inhibits,BCL2
CASP2,activates,CYCS
CASP2,activates,DIABLO
CASP6,inhibits,NUMA1
CASP6,inhibits,VIM
CAPN2,inhibits,BCL2L1
CASP2,activates,AIFM1
CASP2,activates,RIPK1
CASP10,inhibits,RIPK1
CASP10,activates,BID
TOPBP1,activates,ATR
SGK1,activates,KCNQ4
POU4F3,activates,BDNF
ATOH1,activates,POU4F3
POU4F3,activates,GFI1
MYO15A,activates,WHRN
SOX2,activates,ATOH1
ATOH1,activates,BARHL1
ADGRV1,inhibits,ADCY6
ID3,inhibits,ATOH1
ID2,inhibits,ATOH1
NOTCH1,activates,PAX8
ID1,inhibits,ATOH1
KCNE1,activates,KCNQ4
NOTCH1,inhibits,FOXI2
WNT1,inhibits,FOXI2
E2F1,activates,BRCA1
TIRAP,activates,MYD88
SIX1,activates,PAX2
SIX1,inhibits,EYA1
FOXI1,activates,SIX1
PDPK1,activates,PRKCG
PDK1,activates,PRKCG
JAG1,activates,CDKN1B
E2F1,activates,EZH2
E2F2,activates,CCNB1
WNT1,activates,JAG1
WNT1,activates,NOTCH1
NOTCH1,activates,WNT1
NOTCH1,inhibits,ATOH1
WNT1,activates,DLX5
POU4F3,activates,NTF3
NOTCH1,activates,HES5
NOTCH1,activates,SOX2
NOTCH1,activates,BMP4
MYC,activates,NME1
RALB,activates,RALBP1
RALGDS,activates,RALA
RALBP1,inhibits,CDC42
RALBP1,inhibits,RAC1
WNT1,activates,GBX2
WNT1,activates,PAX2
WNT1,activates,PAX8
WNT1,activates,HES1
JAG1,activates,NOTCH1
NOTCH1,activates,HES1
WNT1,activates,SOX9
KIT,activates,GRB2
SIX1,activates,BMP4
SIX1,activates,FGF10
SIX1,activates,FGF3
EYA1,activates,FGF3
KCNQ4,activates,SLC26A5
PRKACG,activates,KCNQ4
SIX1,activates,GATA3
IKBKE,activates,IRF7
ERBB2,activates,GRB2
E2F1,activates,PCNA
AKT2,inhibits,CDKN1A
AKT1,inhibits,CDKN1B
VDR,activates,CASP3
RAD18,activates,RAD51C
PRKCG,activates,RAF1
SFRP1,activates,WNT4
SFRP2,inhibits,WNT1
MAB21L1,activates,FOXE3
PAX6,activates,CDH2
PAX6,activates,SHROOM3
SFRP1,inhibits,WNT2
SFRP1,activates,WNT1
PKNOX1,activates,PAX6
PAX6,activates,SFRP2
PAX6,activates,SFRP1
PAX6,activates,FN1
PAX6,activates,MAB21L1
BIRC2,inhibits,CASP3
CASP2,activates,BID
CASP3,activates,CASP2
BBC3,inhibits,MCL1
MCL1,inhibits,BAK1
BIRC6,inhibits,CASP9
PMAIP1,inhibits,GMCL1
MCL1,inhibits,BCL2L11
CDH1,activates,ARPC1B
MTOR,inhibits,ULK1
RHEB,activates,MTOR
TSC2,inhibits,RHEB
TSC2,activates,TSC1
ATG7,activates,MAP1LC3B
RHOA,activates,DIAPH1
AKT1,inhibits,TSC2
PMAIP1,inhibits,MCL1
RHOA,activates,ROCK2
ATG7,activates,ATG10
ATG7,activates,ATG12
ATG12,activates,ATG5
ATG3,activates,MAP1LC3B
CAMKK2,activates,PRKAG1
FOXO1,activates,NOXA1
E2F6,inhibits,RBBP8
CASP3,inhibits,NUMA1
BCL2L2,inhibits,BIK
DYNLL1,inhibits,BCL2L11
CFLAR,inhibits,CASP10
CASP7,inhibits,VIM
CASP7,inhibits,TNFRSF1A
CASP7,inhibits,ITGB4
CASP3,inhibits,VIM
CASP8,activates,CASP3
CASP10,activates,CASP3
CASP3,inhibits,PXN
PPP1CA,activates,BAD
CASP3,inhibits,PTK2
BCL2L11,inhibits,BCL2A1
BCL2L1,inhibits,APAF1
BCL2L11,activates,VDAC1
BCL2L1,inhibits,VDAC1
BAK1,activates,VDAC1
BAX,activates,VDAC1
DAPK1,activates,TP53
DAPK3,activates,RPL13A
CDKN2A,inhibits,BCL2L1
SMAD2,activates,DAPK1
UNC5B,activates,PPP2R3B
RHEB,activates,MLST8
ATG101,activates,ATG13
PMAIP1,activates,BAX
PRKCI,inhibits,BAD
MAPK8,inhibits,BCL2
DAPK1,activates,PRKD1
MIB1,inhibits,DAPK1
DAPK1,activates,BECN1
DAPK1,inhibits,STX1A
DAPK1,inhibits,RPS6
BBC3,inhibits,BCL2A1
BBC3,activates,BAX
HRK,inhibits,BCL2L1
HRK,inhibits,BCL2
RHEB,inhibits,FKBP8
FKBP8,inhibits,MTOR
PMAIP1,inhibits,BCL2A1
PRKCZ,inhibits,FADD
PIDD1,activates,CASP2
PIDD1,activates,IKBKG
RPS6KA3,activates,RPTOR
FAS,activates,CASP8AP2
RPS6KA1,activates,RPTOR
CASP8AP2,activates,CASP8
MAP2K1,activates,MAPK3
MAPK3,activates,RPS6KA3
MAPK1,activates,RPS6KA1
DAPK3,activates,MYL9
MAPK1,activates,RPS6KA3
MAPK1,activates,DAPK1
SRC,inhibits,DAPK1
PTPRF,activates,DAPK1
DAPK1,activates,DAPK3
DAPK1,inhibits,TSC2
MAPK3,activates,DAPK1
HSP90AA1,activates,DAPK1
NEO1,activates,DAPK1
RRAS,activates,RAF1
UNC5B,activates,DAPK1
RPS6KA1,inhibits,DAPK1
RPS6KA3,inhibits,DAPK1
RAF1,activates,MAP2K1
GSN,activates,ACTG1
DAPK3,activates,NR3C1
DAPK3,activates,PPP1R14A
DAPK3,inhibits,PPP1R12A
CTNNB1,inhibits,DAPK2
DAPK3,activates,AR
ROCK1,activates,DAPK3
PPP1R14A,inhibits,PPP1CA
DAPK1,inhibits,TLN1
TLN1,activates,ITGB1
DAPK1,inhibits,ITGA3
DAPK1,activates,CDKN2A
SMAD4,activates,DAPK1
SMAD3,activates,DAPK1
STAT3,activates,WNT5A
ATM,activates,MDC1
TP53,activates,AIFM2
TP53,inhibits,ANLN
TP53,inhibits,ABCB1
TP53,activates,ACTA2
TP53,activates,ARID3A
TP53,activates,ADGRB1
TP53,inhibits,APC
ELAVL1,activates,SIRT1
CHEK2,activates,ELAVL1
E2F3,activates,CCNB1
CHEK1,activates,WEE1
E2F1,activates,EED
WNT5A,activates,FZD2
PUF60,inhibits,MYC
PUF60,inhibits,FUBP1
AKT1,inhibits,CDKN1A
FUBP1,activates,MYC
E2F3,activates,CDKN2A
E2F4,inhibits,CLSPN
E2F2,activates,CDKN2A
E2F1,activates,CDT1
E2F1,activates,CDKN2A
E2F2,activates,PCNA
E2F6,inhibits,BRCA1
E2F6,inhibits,CBX5
UBE2T,activates,FANCI
TP53,inhibits,DNMT1
UBE2T,activates,FANCD2
TP53,activates,EGFR
MAPKAPK2,inhibits,CDC25A
TP53,activates,EPHA2
CHEK1,inhibits,CDC25B
TP53,activates,EDN2
MAPKAPK2,inhibits,CDC25C
TP53,activates,EEF1A1
MAPKAPK2,inhibits,CDC25B
TP53,activates,HTT
TP53,activates,GPX1
TP53,activates,GML
TP53,activates,FANCC
TP53,activates,HGF
ATM,activates,SLX4
STAT1,activates,FAS
STAT1,activates,CDKN1A
NFE2L2,activates,PRDX1
ATM,activates,BID
KDM2B,activates,PRDX4
KDM2B,activates,NQO1
ATR,activates,RBBP8
ATR,activates,FANCI
E2F1,activates,APAF1
CDK1,activates,E2F1
E2F2,activates,EED
MTOR,activates,EIF4EBP3
MTOR,inhibits,EIF4EBP2
MAPKAPK2,inhibits,TSC1
TP53,activates,BDKRB2
TP53,activates,BID
MAP3K8,activates,MAP3K14
IKBKB,inhibits,TSC1
TP53,activates,BCL2L14
MAP3K8,activates,MAP2K4
AKT1,inhibits,RICTOR
EIF4EBP2,inhibits,EIF4E
EIF4EBP1,inhibits,EIF4E
MTOR,inhibits,EIF4EBP1
EIF4EBP3,activates,EIF4E
TP53,activates,CCNK
BCL10,activates,IKBKG
TP53,activates,CASP6
TP53,activates,CASP10
TP53,activates,CASP1
MAP3K14,activates,IKBKB
TP53,activates,RGCC
TP53,activates,BNIP3L
TP53,inhibits,BIRC5
TNIP1,activates,IKBKG
E2F2,activates,EZH2
E2F4,activates,CDT1
E2F1,activates,DBF4
CCNA2,activates,E2F1
IL22,activates,IL10RB
TP53,activates,CD82
EPO,activates,EPOR
TP53,inhibits,CDC25C
MAPKAPK2,inhibits,TSC2
TP53,activates,CHMP4C
TP53,activates,COL18A1
JAK2,activates,STAT3
TP53,activates,DKK1
TP53,activates,DDR1
KSR2,inhibits,MAP3K8
CHEK2,activates,TP53
NFKB1,inhibits,MAP3K8
TP53,activates,CTSD
ATM,activates,STK11
TP53,inhibits,CRYZ
TP53,activates,DDIT4
HIPK2,activates,TP53
TP53,activates,CX3CL1
ATM,activates,HIPK2
ATM,activates,PPP2R5D
ATM,activates,PPP2R5C
CASP1,inhibits,GAPDH
CXCL16,activates,CXCR6
CASP1,activates,IL37
CASP1,activates,CASP7
GTF2I,activates,CCND1
KLKB1,activates,PRKAG1
CASP1,activates,IL33
CCL3L1,activates,CCR5
ASF1A,activates,CHAF1B
TNFSF10,activates,TNFRSF10C
MAP3K7,activates,IKBKB
STK11,activates,PRKAG1
ASF1B,activates,CHAF1B
TNFRSF10A,activates,TNFRSF10B
KAT8,activates,HIST1H4E
PARP1,inhibits,SUPT16H
TNFRSF10A,activates,RIPK1
TNFRSF10B,activates,RIPK1
NMI,activates,STAT1
KRT18,inhibits,TRADD
MYC,inhibits,PMAIP1
ATM,activates,ABL1
TNFRSF10A,activates,TRADD
TNFRSF10B,activates,TRADD
BIRC2,inhibits,TRAF2
IRF1,activates,ISG20
PRKDC,activates,UPF1
STAT1,activates,SOCS1
IL10,activates,IL10RA
NLRP1,activates,CASP5
CASP1,activates,FGF2
CASP1,inhibits,PYCARD
CARD18,inhibits,CASP1
IRF1,activates,NOS2
ISG15,activates,JAK1
CARD16,inhibits,CASP1
JAK1,activates,IRS1
CASP1,activates,IL1A
JAK1,activates,IRS2
CASP1,activates,SREBF2
INSR,activates,IRS2
ATF2,activates,MMP2
E2F1,activates,TP53INP1
TP53,activates,FDXR
STAT1,activates,CDKN1B
CASP1,inhibits,ENO1
TRAF2,activates,MAP3K14
ABL1,activates,STAT1
IFIH1,activates,MAVS
TP53,activates,TIGAR
CASP1,inhibits,TPI1
TP73,activates,TP53INP1
NOD2,activates,MAP3K14
PRKDC,activates,CASP2
ABL1,activates,TOP1
PIDD1,activates,PRKDC
STAT1,inhibits,MYC
ANO9,activates,STAT1
STAT1,activates,IRF1
CASP1,inhibits,ALDOA
EIF2AK2,activates,STAT1
TICAM1,activates,RIPK1
TICAM1,activates,TBK1
TICAM1,activates,IKBKE
IFNG,activates,IFNGR1
IRF7,activates,IFNB1
IRF3,activates,IFIT1
IRF3,activates,CCL5
DAPK1,activates,TPM1
MAP1B,activates,DAPK1
DAPK1,activates,MAP1B
ATM,activates,SMC3
E2F1,activates,DAPK2
EPO,activates,DAPK2
DAPK3,activates,CDKN1A
ZDHHC9,activates,HRAS
ZDHHC9,activates,NRAS
KLF6,activates,DAPK2
IGF2,activates,IGF2R
FLT3LG,activates,FLT3
KITLG,activates,KIT
IGF2,activates,IGF1R
ATM,activates,STRAP
SMG1,activates,TP53
CHEK2,activates,STRAP
TLR4,activates,TIRAP
KAT2B,activates,HIST1H3D
TLR4,activates,TICAM2
TICAM2,activates,TICAM1
TRAF6,activates,MAP3K7
TICAM1,activates,TRAF6
TLR3,activates,TICAM1
MYD88,activates,IRAK4
ATG14,activates,BECN1
SIRT2,inhibits,FOXO1
FOXO1,activates,ATG7
RUBCN,inhibits,BECN1
CARD8,inhibits,CASP9
CARD8,inhibits,APAF1
SERPINB9,inhibits,CASP1
CASP1,inhibits,CARD8
DAPK3,activates,MYL12A
DAPK1,activates,MYL12A
ROCK1,activates,MYL12A
TP53,inhibits,BCL2
MTOR,activates,DAP
CFLAR,inhibits,ATG3
DAPK3,activates,MYL5
RPS6KA3,inhibits,BAD
CASP3,inhibits,EIF2S2
RPS6KB1,activates,RPS6
DAPK1,inhibits,BCL2
CDK1,activates,BIRC5
CASP3,inhibits,EIF2S3
TP53,activates,TYRP1
GAPDH,inhibits,RHEB
TP53,inhibits,UBD
USP3,activates,H2AFZ
TP53,activates,VCAN
TP53,activates,VDR
TP53,activates,TRIAP1
TP53,activates,TRIM22
TP53,activates,TSC2
TP53,inhibits,TRPM2
AKT1,inhibits,ITPR1
GAPDH,activates,APEX1
CAMKK1,activates,CRMP1
GAPDH,activates,POU2F1
POU2F1,activates,HIST1H2BJ
SFPQ,activates,NONO
NONO,activates,TOP1
APLF,activates,PARP1
ATM,inhibits,TRIM28
CHEK1,activates,RAD51
NOS1,inhibits,NFKBIA
GSK3B,inhibits,GYS1
PPP1R3A,activates,GYS1
GSK3B,activates,AXIN1
CSNK1A1,inhibits,PRKN
E2F7,inhibits,SP1
GSK3B,activates,LRP6
USP1,inhibits,FANCD2
MAPK8,inhibits,YWHAZ
BCL2,inhibits,BECN1
CHEK2,inhibits,CDC25A
PLK1,inhibits,WEE1
ATM,activates,HMGA2
AKT1,activates,NOS3
ATM,activates,HMGA1
CDK5,inhibits,PRKN
CSNK1A1,inhibits,CTNNB1
CSNK1A1,inhibits,CDC25A
CHEK1,activates,TP53
TP53,activates,PLAGL1
E2F1,activates,CASP3
TP53,activates,ODC1
TP53,inhibits,NOS3
TP53,activates,PERP
TP53,activates,P2RX6
PPARG,activates,KMT5A
TP53,activates,MMP2
E2F1,activates,XPC
TP53,activates,MET
TP53,activates,NLRC4
TP53,activates,NDRG1
TLX1,activates,ALDH1A1
ATR,activates,E2F1
YWHAQ,activates,E2F1
E2F1,activates,YWHAQ
E2F1,activates,DDB2
ATM,inhibits,MDM2
DDX17,activates,ESR1
DDX17,activates,MDM2
TP53,activates,RB1
TP53,activates,RABGGTA
TP53,activates,PYCARD
TP53,activates,PTEN
TP53,activates,PRKAB1
SGK1,inhibits,FOXO3
TP53,activates,PRDM1
TP53,activates,PPM1J
AKT1,inhibits,FOXO1
PLK3,activates,TP53
E2F1,activates,CCNB1
E2F1,activates,CASP7
TP53,activates,SERPINE1
TP53,activates,SERPINB5
TP53,activates,SFN
TP53,activates,SESN1
TP53,activates,RPS27L
TP53,activates,COP1
TP53,activates,S100A2
TP53,activates,SCN3B
TP53,inhibits,SCD
TP53,activates,TP73
GSK3B,inhibits,CCND1
TP53,activates,STEAP3
TP53,inhibits,SLC38A2
TP53,activates,SH2D1A
TP53,activates,TNFRSF10C
TP53,activates,TNFRSF10A
TP53,activates,TGFA
TP53,activates,TAP1
AXIN1,activates,MYC
GSK3B,inhibits,MYC
IKBKB,activates,IKBKG
CHEK1,inhibits,CDC25A
RPS6KA5,inhibits,H2AFZ
TAF1,activates,BCL2L11
CREBBP,activates,ASAH2B
KAT7,activates,HIST1H4E
KAT7,activates,HIST1H3D
CASP8,activates,CASP6
GTF3C4,activates,HIST1H3D
NCOA1,activates,HIST1H4E
NCOA1,activates,HIST1H3D
CDK1,activates,CSNK2B
MDM2,inhibits,JMY
NCOA3,activates,HIST1H3D
DYRK2,activates,TP53
TBK1,activates,IRF7
RUNX1,activates,IER3
MAVS,activates,TBK1
NCOA2,activates,HIST1H3D
NCOA3,activates,HIST1H4E
TLR5,activates,MYD88
RIPK2,activates,BCL10
KDM3A,activates,HIST1H3D
CLOCK,activates,HIST1H3D
NCOA2,activates,HIST1H4E
KDM4B,inhibits,HIST1H3D
KDM4A,inhibits,BCL2L11
ATR,activates,RFWD3
TNFRSF10A,activates,FADD
BAK1,activates,AIFM1
HIF1A,activates,TP53
CSNK2B,activates,TP53
ABL1,activates,WASL
APIP,inhibits,APAF1
ESCO1,activates,KDM1A
TNFAIP3,inhibits,IKBKG
ABL1,inhibits,YTHDC1
CASP1,activates,IL1B
ABL1,activates,ZDHHC16
XPC,activates,DDB1
CASP1,activates,IL18
ESCO1,activates,RAD21
ABL2,activates,WASL
ABL1,inhibits,WRN
CAPNS1,activates,CAPN2
XRCC5,activates,DDB2
PIK3R4,activates,PIK3C3
KMT2B,activates,RELB
KMT2B,activates,HIST1H3D
CARM1,activates,RELB
BID,activates,BAK1
BID,activates,BAX
ATM,inhibits,PLK1
DIABLO,inhibits,XIAP
PRMT6,inhibits,THBS1
ATR,inhibits,PLK1
WEE1,inhibits,CDK1
KMT5B,inhibits,HIST1H4E
XRCC5,activates,ATRIP
KMT2A,activates,RELB
PPM1A,inhibits,PRKAG1
MBD1,activates,SETDB1
MAPKAPK2,inhibits,HSPB1
E2F1,activates,HIC1
SMARCA4,activates,HIC1
RNF8,activates,RNF168
SOCS3,inhibits,TRAF6
SOCS3,inhibits,MAPK8IP1
MAP2K2,activates,MAPK3
MAPK8,activates,BMF
MAPK8,inhibits,IRS1
CASP5,activates,IL18
CASP5,activates,IL1B
MAPK8,activates,BAX
MAP2K1,activates,MAPK1
AKT1,inhibits,TBC1D1
AKT1,inhibits,TBC1D4
PPM1D,inhibits,ATM
PARP1,activates,XRCC1
PARP1,activates,APTX
HSP90AA1,activates,SMYD2
SMYD2,inhibits,TP53
SETD1A,activates,BCL2L11
CXCL9,activates,CXCR3
SETD2,activates,HIST1H3D
CCL5,activates,CCR5
CCL8,activates,CCR5
SMYD2,activates,HIST1H3D
CCL4,activates,CCR5
IL6,activates,IL6ST
SETDB2,activates,HIST1H3D
MAVS,activates,IKBKB
KMT2E,activates,HIST1H3D
PARP1,activates,HIST1H1A
RIOX1,inhibits,SP7
FKBP8,activates,BCL2L1
FKBP8,inhibits,BCL2
TP53,inhibits,RECQL4
MYC,activates,RIOX2
GSK3A,inhibits,BCL3
CTBP1,inhibits,ELK3
SETD7,activates,HIST1H3D
PPM1D,inhibits,CHEK2
PRDM2,inhibits,HIST1H3D
DOT1L,activates,HIST1H3D
KMT5A,inhibits,HIST1H4E
DIABLO,inhibits,BIRC2
ATG16L1,activates,CLTC
DIABLO,inhibits,BIRC3
CASP3,activates,ATG4D
FADD,activates,ATG5
ATG4D,activates,GABARAPL1
DIABLO,inhibits,BIRC5
FADD,activates,RIPK1
EGR1,activates,TOPBP1
E2F1,activates,PPM1D
E2F1,activates,MAP3K5
HTRA2,inhibits,BIRC6
HTRA2,inhibits,BIRC3
HTRA2,inhibits,BIRC2
ATG4B,activates,GABARAPL1
HTRA2,inhibits,XIAP
ATG4B,activates,GABARAP
BIRC6,inhibits,DIABLO
CASP7,inhibits,DFFA
BNIP3L,activates,GABARAPL1
ATG4A,activates,GABARAPL2
CASP3,inhibits,IKBKB
CASP3,inhibits,RELA
CASP3,inhibits,EIF4B
ATG4B,activates,GABARAPL2
ATM,activates,IKBKG
BIRC2,inhibits,CASP7
BIRC3,inhibits,CASP7
ATM,activates,H2AFX
H2AFX,activates,MDC1
