"","exp1","exp2","cor_coef"
"109","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.0945808011532661
"110","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.199993893588575
"111","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.270367450436217
"112","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.388652795818587
"113","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.0343124426173768
"114","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.302048836083832
"115","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.356734594107906
"116","brefeldin-a_HEPG2_6 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.275033745898252
"117","brefeldin-a_HEPG2_6 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.378996948288336
"118","brefeldin-a_HEPG2_6 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.240312218504161
"119","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.312205398722217
"120","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.386357832669087
"121","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.270684174507918
"122","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.435981448317848
"123","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.271288896077526
"124","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.155118918914409
"125","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.26737255117955
"126","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.231894001979951
"127","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.185084503300542
"128","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.132917808930453
"129","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.158475245500209
"130","brefeldin-a_HEPG2_6 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.243956711324276
"131","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.408862875896393
"132","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.29955158632658
"133","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.535665142170641
"134","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.368109907240887
"135","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.442673727905362
"136","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.196608201359625
"137","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.40072466645581
"138","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.130380855561492
"139","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.694971116430515
"140","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.148839753663655
"141","brefeldin-a_HEPG2_6 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.22178448917356
"142","brefeldin-a_HEPG2_6 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.166625351407698
"143","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.384848027556743
"144","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.552246367338532
"145","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.377781047970874
"146","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_6 h_20 µM",0.277925588205113
"147","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.178354569291535
"148","brefeldin-a_HEPG2_6 h_100 nM","benzo(a)pyrene_VCAP_24 h_10 µM",0.199987034608462
"149","brefeldin-a_HEPG2_6 h_100 nM","benzo(a)pyrene_VCAP_6 h_10 µM",0.589117446127579
"150","brefeldin-a_HEPG2_6 h_100 nM","brefeldin-a_HEPG2_6 h_10 µM",0.324291644312974
"151","brefeldin-a_HEPG2_6 h_100 nM","brefeldin-a_HEPG2_6 h_100 nM",1
"152","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.04 um",0.366689188653727
"153","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.04 µM",0.635035602273701
"154","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.12 um",0.521115779063251
"155","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.12 µM",0.774822887394332
"156","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.37 um",0.487692444461358
"157","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.37 µM",0.794854756715331
"158","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_1.11 um",0.558510252700195
"159","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_1.11 µM",0.708264631582163
"160","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_10 µM",0.585569998438801
"161","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_10.0 um",0.733442507342712
"162","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_3.33 um",0.430840415934648
"163","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_3.33 µM",0.508373945530976
"164","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_6 h_10 µM",0.459592761052704
"165","brefeldin-a_HEPG2_6 h_100 nM","mitomycin-c_HCC515_24 h_10 µM",0.693458049518389
"166","brefeldin-a_HEPG2_6 h_100 nM","mitomycin-c_HCC515_6 h_10 µM",0.650239707145477
"167","brefeldin-a_HEPG2_6 h_100 nM","quercetin_HEPG2_6 h_10 µM",0.801537733899792
"168","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_0.04 um",0.677721751310603
"169","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_0.12 um",0.589169590544876
"170","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_0.37 um",0.200812714999779
"171","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_1.11 um",0.722781707534383
"172","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_10.0 um",0.59103623670283
"173","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_3.33 um",0.478072687637496
"174","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_6 h_10 µM",0.823749203501361
"175","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_24 h_10 µM",0.49305034875947
"176","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_24 h_3 µM",0.864537941924258
"177","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_6 h_10 µM",0.466291775864899
"178","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_6 h_3 µM",0.43129429083677
"179","brefeldin-a_HEPG2_6 h_100 nM","temozolomide_HEPG2_6 h_10 µM",0.49066213028474
"180","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.740887580356207
"181","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.389187185861642
"182","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.794341520392205
"183","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.824382935588208
"184","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.43621009143258
"185","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.661366923436869
"186","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.926452100583137
"187","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.446967483788682
"188","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.421621118620292
"189","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.452615366553869
"190","brefeldin-a_HEPG2_6 h_100 nM","thapsigargin_HEPG2_6 h_10 µM",0.777999082669765
"191","brefeldin-a_HEPG2_6 h_100 nM","VU-0418946-1_HEPG2_6 h_10 µM",0.703128532695191
"192","brefeldin-a_HEPG2_6 h_100 nM","YC-1_HEPG2_24 h_20 µM",0.557206868920561
"193","brefeldin-a_HEPG2_6 h_100 nM","YC-1_HEPG2_24 h_5 µM",0.718031855495733
"194","brefeldin-a_HEPG2_6 h_100 nM","YC-1_HEPG2_6 h_10 µM",0.690849222300474
"195","brefeldin-a_HEPG2_6 h_100 nM","YC-1_HEPG2_6 h_20 µM",0.702677422769779
"196","brefeldin-a_HEPG2_6 h_100 nM","YC-1_HEPG2_6 h_5 µM",0.739768658986149
"197","geldanamycin_HEPG2_24 h_0.04 um","benzo(a)pyrene_VCAP_24 h_10 µM",0.493666935174383
"198","geldanamycin_HEPG2_24 h_0.04 um","benzo(a)pyrene_VCAP_6 h_10 µM",0.479278062548611
"199","geldanamycin_HEPG2_24 h_0.04 um","brefeldin-a_HEPG2_6 h_10 µM",0.215325461852344
"200","geldanamycin_HEPG2_24 h_0.04 um","brefeldin-a_HEPG2_6 h_100 nM",0.366689188653727
"201","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_0.04 um",1
"202","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_0.04 µM",0.54193939651703
"203","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_0.12 um",0.365494180842472
"204","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_0.12 µM",0.531088818121794
"205","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_0.37 um",0.514031453074277
"206","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_0.37 µM",0.521945511318618
"207","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_1.11 um",0.454944325282377
"208","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_1.11 µM",0.418602877677476
"209","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_10 µM",0.461496401571653
"210","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_10.0 um",0.474235121525975
"211","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_3.33 um",0.495209051188676
"212","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_24 h_3.33 µM",0.466598244821911
"213","geldanamycin_HEPG2_24 h_0.04 um","geldanamycin_HEPG2_6 h_10 µM",0.270079813249325
"214","geldanamycin_HEPG2_24 h_0.04 um","mitomycin-c_HCC515_24 h_10 µM",0.0600642513954705
"215","geldanamycin_HEPG2_24 h_0.04 um","mitomycin-c_HCC515_6 h_10 µM",0.655611448902902
"216","geldanamycin_HEPG2_24 h_0.04 um","quercetin_HEPG2_6 h_10 µM",0.448667260163887
"217","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_24 h_0.04 um",0.53216625407583
"218","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_24 h_0.12 um",0.495410242350322
"219","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_24 h_0.37 um",0.503865586277053
"220","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_24 h_1.11 um",0.499416207836924
"221","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_24 h_10.0 um",0.338715681189889
"222","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_24 h_3.33 um",0.462899154071134
"223","geldanamycin_HEPG2_24 h_0.04 um","radicicol_HEPG2_6 h_10 µM",0.494581243940128
"224","geldanamycin_HEPG2_24 h_0.04 um","spiperone_HEPG2_24 h_10 µM",0.47365491217257
"225","geldanamycin_HEPG2_24 h_0.04 um","spiperone_HEPG2_24 h_3 µM",0.294432445508137
"226","geldanamycin_HEPG2_24 h_0.04 um","spiperone_HEPG2_6 h_10 µM",0.514788722814503
"227","geldanamycin_HEPG2_24 h_0.04 um","spiperone_HEPG2_6 h_3 µM",0.493897971556317
"228","geldanamycin_HEPG2_24 h_0.04 um","temozolomide_HEPG2_6 h_10 µM",0.336596062890316
"229","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.631236455623883
"230","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.445483814250357
"231","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.563135790121592
"232","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.549122077437072
"233","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.28565490268215
"234","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.452247448186916
"235","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.373720576475298
"236","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.524161158618446
"237","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.639725501122457
"238","geldanamycin_HEPG2_24 h_0.04 um","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.455216925766218
"239","geldanamycin_HEPG2_24 h_0.04 um","thapsigargin_HEPG2_6 h_10 µM",0.29591647652446
"240","geldanamycin_HEPG2_24 h_0.04 um","VU-0418946-1_HEPG2_6 h_10 µM",0.456589282909024
"241","geldanamycin_HEPG2_24 h_0.04 um","YC-1_HEPG2_24 h_20 µM",0.484660207118258
"242","geldanamycin_HEPG2_24 h_0.04 um","YC-1_HEPG2_24 h_5 µM",0.578351875221857
